cluster_id,n,size_fraction,mono_centroid,local_peaks_centroid,pullback_centroid,ttp_rel_centroid
0,741,0.3223140496,0.009150547308,0.4534412955,0.007972920088,0.06198961832
1,595,0.2588081775,0.5135319934,10.18043845,0.4982891563,0.5022789878
2,476,0.207046542,0.5760435314,2.937238494,0.0682555029,0.2596104749
3,283,0.1230969987,0.5386081527,33.87632509,0.5478130647,0.7969028972
4,204,0.08873423227,0.509788512,9.676470588,1.111745765,0.6076807692
