trade_id,pair,entry_time,bars_held,final_r,mfe_r,mae_r
AUD_CAD_2022-06-20T20:00:00,AUD_CAD,2022-06-21T00:00:00,8,-1.0006926413122816,0.4024246024322792,-1.212814937795081
AUD_CAD_2024-06-20T16:00:00,AUD_CAD,2024-06-20T20:00:00,13,-1.0184388478472914,0.3872158047927748,-1.0694531751419871
AUD_CAD_2025-10-30T08:00:00,AUD_CAD,2025-10-30T12:00:00,21,-1.0084505278748852,0.5851990553345654,-1.117582311451238
AUD_CHF_2010-05-17T00:00:00,AUD_CHF,2010-05-17T04:00:00,3,-1.025143940266132,0.3500036485046577,-1.1274542815336748
AUD_CHF_2017-08-18T20:00:00,AUD_CHF,2017-08-21T00:00:00,29,-1.0225671908436051,0.4669073967645438,-1.0847815184829437
AUD_CHF_2018-07-16T16:00:00,AUD_CHF,2018-07-16T20:00:00,10,-1.0032844802761045,0.3054566656778473,-1.0827836643563185
AUD_CHF_2021-04-05T16:00:00,AUD_CHF,2021-04-05T20:00:00,9,-1.0120214745917289,0.2327794625487559,-1.579184616821406
AUD_CHF_2023-05-17T20:00:00,AUD_CHF,2023-05-18T00:00:00,25,-1.0024247398187307,0.7553064535367169,-1.1093184670723522
AUD_JPY_2012-01-05T20:00:00,AUD_JPY,2012-01-06T00:00:00,6,-1.03963413514244,0.4328047557552759,-1.5869507711028137
AUD_JPY_2012-09-19T00:00:00,AUD_JPY,2012-09-19T04:00:00,6,-1.0133363524581616,1.2549507663127375,-1.2216098851673525
AUD_JPY_2012-09-19T12:00:00,AUD_JPY,2012-09-19T16:00:00,3,-1.0113227899856216,0.3532710475514073,-1.0507549106657454
AUD_JPY_2013-12-03T16:00:00,AUD_JPY,2013-12-03T20:00:00,1,-1.0007306378316383,0.6217727947220478,-1.1010712122751605
AUD_JPY_2015-04-10T12:00:00,AUD_JPY,2015-04-10T16:00:00,3,-1.0027756258641711,0.5134907848738196,-1.035308447340168
AUD_JPY_2018-08-29T08:00:00,AUD_JPY,2018-08-29T12:00:00,7,-1.0191795039207905,0.937877741726025,-1.018431658193266
AUD_JPY_2021-04-19T16:00:00,AUD_JPY,2021-04-19T20:00:00,8,-1.0010028158100557,1.7900262209386597,-1.1301734179259606
AUD_JPY_2021-06-28T16:00:00,AUD_JPY,2021-06-28T20:00:00,4,-1.0099133282059876,0.1883532359141626,-1.2523837966922635
AUD_NZD_2013-06-05T00:00:00,AUD_NZD,2013-06-05T04:00:00,12,-1.0318887118695788,0.3207268520728999,-1.1093592263859782
AUD_NZD_2024-08-19T04:00:00,AUD_NZD,2024-08-19T08:00:00,16,-1.0113550979048336,0.5742435226157114,-1.0089815566864166
AUD_USD_2013-01-03T20:00:00,AUD_USD,2013-01-04T00:00:00,3,-1.0085005466366426,0.1258080902219439,-1.096570516123729
AUD_USD_2015-03-26T00:00:00,AUD_USD,2015-03-26T04:00:00,11,-1.004138978526639,0.8685942079467671,-1.1287585724781166
AUD_USD_2015-03-26T16:00:00,AUD_USD,2015-03-26T20:00:00,7,-1.0040259778250762,0.2559371617365433,-1.1174964163013308
AUD_USD_2016-09-08T16:00:00,AUD_USD,2016-09-08T20:00:00,4,-1.0070200625675103,0.1536613695333492,-1.2004306990447788
AUD_USD_2023-07-18T08:00:00,AUD_USD,2023-07-18T12:00:00,6,-1.007590631919408,0.3966105177882099,-1.0152470192186744
CAD_CHF_2014-11-25T20:00:00,CAD_CHF,2014-11-26T00:00:00,10,-1.0057633768989491,0.298048919630888,-1.3469835152378635
CAD_CHF_2017-11-10T08:00:00,CAD_CHF,2017-11-10T12:00:00,13,-1.0032153537750454,0.5241026653331272,-1.600174395383115
CAD_CHF_2020-09-28T08:00:00,CAD_CHF,2020-09-28T12:00:00,7,-1.0209823896024637,0.8228094208388259,-1.832961605985213
CAD_CHF_2022-02-10T20:00:00,CAD_CHF,2022-02-11T00:00:00,8,-1.005429846834198,1.254294618696791,-1.0099515111584254
CAD_CHF_2025-05-14T08:00:00,CAD_CHF,2025-05-14T12:00:00,26,-1.0018892498808778,0.561107214625942,-1.122214429251884
CAD_JPY_2011-01-24T08:00:00,CAD_JPY,2011-01-24T12:00:00,6,-1.0086796958702813,0.4658103450382755,-1.0111845688874253
CAD_JPY_2016-04-15T12:00:00,CAD_JPY,2016-04-15T16:00:00,2,-1.0016820056664617,0.3392044760729023,-1.6208927939284603
CAD_JPY_2021-06-28T04:00:00,CAD_JPY,2021-06-28T08:00:00,6,-1.0010813501891418,0.3795539163842943,-1.2251697642832202
CAD_JPY_2025-02-05T16:00:00,CAD_JPY,2025-02-05T20:00:00,13,-1.000760647806331,0.144523083202011,-1.1036999669795873
CHF_JPY_2019-01-10T12:00:00,CHF_JPY,2019-01-10T16:00:00,19,-1.0075956861578412,0.4721984894786341,-1.0722576959474408
CHF_JPY_2020-09-14T16:00:00,CHF_JPY,2020-09-14T20:00:00,7,-1.008707824813756,0.6217386917021502,-1.1041521863842134
EUR_AUD_2021-06-22T20:00:00,EUR_AUD,2021-06-23T00:00:00,12,-1.0105517895111154,0.1934494743707422,-1.0059372667279065
EUR_AUD_2025-06-02T12:00:00,EUR_AUD,2025-06-02T16:00:00,28,-1.0038878938294058,1.061395015429686,-1.032235811709072
EUR_CAD_2012-05-22T20:00:00,EUR_CAD,2012-05-23T00:00:00,5,-1.030484653019314,0.217747521566381,-1.207772919621496
EUR_CAD_2022-05-26T16:00:00,EUR_CAD,2022-05-26T20:00:00,15,-1.001207211716104,0.4345962177949647,-1.2047972926649262
EUR_CHF_2019-02-28T04:00:00,EUR_CHF,2019-02-28T08:00:00,14,-1.0238510189647347,0.3323241975753179,-1.4072101189194977
EUR_CHF_2020-09-28T08:00:00,EUR_CHF,2020-09-28T12:00:00,27,-1.0029540769789007,1.1579981757337772,-1.6483749542333583
