cluster_id,n,frac_of_pool,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
0,555,0.2578,0.5269328977,9.315315315,0.4779542211,0.5180924067
1,560,0.2601,0.004141156463,0.3321428571,0.004452318451,0.05676696675
2,315,0.1463,0.5367485341,33.22857143,0.5397425883,0.7794740387
3,120,0.0557,0.001388888889,1.591666667,0.2862054672,0.5883185397
4,228,0.1059,0.5108187879,8.846491228,1.000004977,0.6162947714
5,375,0.1742,0.5431674143,3.634666667,0.1265356386,0.230645259
