fold,oos_start,oos_end,n_trades,fold_roi_pct,annualised_roi_pct,max_dd_pct,worst_day_dd_pct,ending_equity,final_r_sign_positive
1,2020-10-01,2021-07-01,0,0,0,0,0,10000,0
2,2021-07-01,2022-04-01,50,61.68105513,89.73555361,2.014529721,1.032427306,16168.10551,1
3,2022-04-01,2023-01-01,24,14.76771553,20.07469359,1.0076661,1.0076661,11476.77155,1
4,2023-01-01,2023-10-01,32,25.8704313,36.04705757,1.608120373,1.011859017,12587.04313,1
5,2023-10-01,2024-07-01,39,26.57791082,36.91344566,2.517379311,1.045828893,12657.79108,1
6,2024-07-01,2025-04-01,44,41.82137409,59.32212919,2.030549833,2.00628536,14182.13741,1
7,2025-04-01,2026-01-01,47,47.34829814,67.33736772,1.42973938,1.033355692,14734.82981,1
