fold,date,n_trades,equity_start_of_day,intraday_peak,intraday_trough,intraday_running_peak_to_trough_dd_pct,day_start_to_low_dd_pct,day_dd_pct,net_day_pnl_dollars,trade_ids_in_day
7,2025-09-04,1,11043.52662,11113.42739,11043.52662,0,0,0,69.90076909,2023
7,2025-07-07,1,10494.69325,10585.92145,10494.69325,0,0,0,91.22819645,1964
7,2025-07-04,1,10362.97206,10494.69325,10362.97206,0,0,0,131.7211928,1958
7,2025-09-22,1,11231.05848,11283.42643,11231.05848,0,0,0,52.36795454,2042
7,2025-09-18,1,11111.16849,11231.05848,11111.16849,0,0,0,119.8899914,2037
7,2025-10-06,2,11456.30896,12275.48001,11456.30896,0,0,0,819.1710562,"2052,2053"
7,2025-09-30,1,11283.42643,11401.60897,11283.42643,0,0,0,118.1825375,2044
7,2025-10-08,1,12275.48001,12425.94881,12275.48001,0,0,0,150.4687935,2062
7,2025-10-29,1,12684.0271,12759.96155,12684.0271,0,0,0,75.93445324,2077
7,2025-11-04,1,12759.96155,12994.35167,12759.96155,0,0,0,234.3901163,2081
7,2025-10-01,1,11401.60897,11456.30896,11401.60897,0,0,0,54.69998862,2050
7,2025-11-07,1,12994.35167,13155.6857,12994.35167,0,0,0,161.3340295,2100
7,2025-11-10,2,13155.6857,13438.11743,13155.6857,0,0,0,282.4317267,"2095,2101"
7,2025-11-14,1,13438.11743,14109.06011,13438.11743,0,0,0,670.9426887,2105
7,2025-11-18,1,14109.06011,14123.17196,14109.06011,0,0,0,14.11184038,2113
7,2025-12-03,1,13978.21246,14007.97457,13978.21246,0,0,0,29.7621139,2132
7,2025-12-08,1,14007.97457,14387.35485,14007.97457,0,0,0,379.3802797,2126
7,2025-12-16,1,14387.35485,14640.39497,14387.35485,0,0,0,253.0401228,2137
7,2025-12-17,1,14640.39497,14734.82981,14640.39497,0,0,0,94.43484143,2139
