fold,oos_start,oos_end,n_oos_signals,n_train,n_train_pos,n_admitted,n_admitted_cluster0_true_pos,admit_rate,n_trades,final_r_mean,final_r_sign_positive,fold_roi_pct,annualised_roi_pct,max_dd_pct,ending_equity,note
1,2020-10-01,2021-07-01,336,0,0,0,0,0,0,,0,0,0,0,10000,no training data (Arc 9 data start coincides with F1 OOS start)
2,2021-07-01,2022-04-01,324,336,48,35,8,0.1080246914,35,0.07904037454,1,1.28762874,1.720116442,6.784409017,10128.76287,
3,2022-04-01,2023-01-01,335,660,95,18,3,0.05373134328,18,-0.0560623183,0,-0.534552667,-0.7093596226,2.817859471,9946.544733,
4,2023-01-01,2023-10-01,297,995,145,17,4,0.05723905724,17,0.1977023788,1,1.659802488,2.226874662,2.493649716,10165.98025,
5,2023-10-01,2024-07-01,277,1292,197,19,3,0.06859205776,19,-0.07651351983,0,-0.7440154614,-0.9905635659,1.499421426,9925.598454,
6,2024-07-01,2025-04-01,295,1569,267,50,11,0.1694915254,50,-0.2027625165,0,-4.99977822,-6.608733079,6.825440998,9500.022178,
7,2025-04-01,2026-01-01,289,1864,312,30,7,0.1038062284,30,0.1907829422,1,2.838777773,3.787865925,3.258740355,10283.87778,
