realized_bucket,n,pct_pool,prepeak_maxdip_atr_p10,prepeak_maxdip_atr_p25,prepeak_maxdip_atr_p50,prepeak_maxdip_atr_p75,prepeak_maxdip_atr_p90,fulllife_mae_atr_p10,fulllife_mae_atr_p25,fulllife_mae_atr_p50,fulllife_mae_atr_p75,fulllife_mae_atr_p90,terminal_peak_atr_p10,terminal_peak_atr_p25,terminal_peak_atr_p50,terminal_peak_atr_p75,terminal_peak_atr_p90,t_to_peak_p10,t_to_peak_p25,t_to_peak_p50,t_to_peak_p75,t_to_peak_p90
<0,1660,50.2877915783096,-9.36551172977736,-6.439054057967825,-4.039606860466921,-1.28001662191617,-0.506193100262653,-20.328240302570105,-13.866901736307486,-9.47235915074615,-6.200843385439266,-4.45175981013016,0.6470951407644904,1.5024926283805433,3.1312634371444705,7.368265087699088,12.29684884998344,1.0,11.0,94.5,195.0,232.0
0-1,1013,30.68767040290821,-4.348574920562867,-2.9665581001509103,-1.8183068262444737,-0.9233350586672968,-0.40117060308601094,-16.024188201058827,-9.699556930577929,-4.80777567246881,-2.372514876276432,-1.181690262542624,4.147074740328759,5.129864426353784,7.0660134098939045,10.939064105926745,16.702714157788368,23.0,48.0,115.0,198.0,232.0
1-2,534,16.176916086034534,-2.952580322419688,-2.1477406709358435,-1.2155860879281222,-0.5433462089160181,-0.27170761413595207,-9.149787925543029,-4.200971159345331,-2.215388090659972,-1.0512208367046558,-0.4539106839797632,8.43731828250227,9.550828470876107,12.338628476970003,15.698913852197496,21.149015990622736,43.0,76.0,137.5,208.0,235.0
2-3,75,2.2720387761284457,-2.6932154924380125,-2.052050030091978,-1.2495712664877574,-0.4433039965212963,-0.2254481436172055,-3.758051590101169,-2.3604926737973155,-1.4631792253913674,-0.5446453514644372,-0.2491148063468806,15.258285789205617,16.553137374622125,18.771996695250476,22.109902112140087,27.359031276384943,61.8,104.0,163.0,217.0,233.0
3-5,19,0.5755831566192063,-2.0709418348683997,-1.7218660241600632,-1.0774153028271107,-0.687040426089994,-0.2430114459656206,-2.0709418348683997,-1.7218660241600632,-1.0774153028271107,-0.687040426089994,-0.2430114459656206,24.521336141390517,28.267074437514864,31.188913065953447,42.7370971180258,49.73636061388396,82.6,109.0,193.0,232.5,237.2
