N,n,auc_y_win,auc_y_win_std,auc_y_peak2r,auc_y_peak2r_std
0,3301,0.6013555331506758,0.03728561249968787,0.5300350556384019,0.027649159229996206
1,3301,0.6361332180359154,0.02917777951348288,0.5479231121885635,0.019067541125990756
2,3301,0.6727738345055733,0.03566788682714449,0.5561163792046477,0.025726606829888532
3,3301,0.6973527148128673,0.021590784829131588,0.5624989889618108,0.01768658743895983
5,3301,0.7453160986003396,0.02897092376862364,0.5949404158019191,0.008643302292977917
8,3301,0.7955411342667638,0.01608289695212791,0.6144282501155222,0.016637206200802706
