cluster_id,classifier,fold,auc,threshold_auc_best,precision_at_threshold,recall_at_threshold,n_admit_at_threshold
0,lgbm,1,0.5154776786660169,0.25819914829126417,0.23809523809523808,0.11467889908256881,105
0,lgbm,2,0.4908908387864367,0.14591427199040805,0.16037735849056603,0.24878048780487805,318
0,lgbm,3,0.4532846715328468,0.032859162561276654,0.0934438583270535,0.9051094890510949,1327
0,lgbm,4,0.4965386673251842,0.0867893898127121,0.13164893617021275,0.5439560439560439,752
0,lgbm,5,0.45773315873708714,0.051888591059016775,0.12191358024691358,0.9080459770114943,1296
0,lr,1,0.5129422067786794,0.12594612657596535,0.1634182908545727,0.5,667
0,lr,2,0.5178948542534205,0.179918219770632,0.16195372750642673,0.3073170731707317,389
0,lr,3,0.49256849677351106,0.15211637667447497,0.09710391822827939,0.41605839416058393,587
0,lr,4,0.5177141210849077,0.15205775328042057,0.1736842105263158,0.1813186813186813,190
0,lr,5,0.48688816425740966,0.1586875639898402,0.16831683168316833,0.09770114942528736,101
0,rf,1,0.5410584006045582,0.13759330233899467,0.17985611510791366,0.3440366972477064,417
0,rf,2,0.5412477691850088,0.1258564753913201,0.15233160621761657,0.7170731707317073,965
0,rf,3,0.42926584153178887,0.10416291513165639,0.09207853757616791,0.9927007299270073,1477
0,rf,4,0.5077416965057414,0.1196430462805,0.1341301460823373,0.554945054945055,753
0,rf,5,0.48051197781600635,0.10403660950180767,0.11709770114942529,0.9367816091954023,1392
1,lgbm,1,0.5016607608886985,0.3725394938681103,0.36656891495601174,0.4725897920604915,682
1,lgbm,2,0.5171230174386491,0.24223566497585514,0.3786407766990291,0.6370235934664247,927
1,lgbm,3,0.5068421480758423,0.4685086900386384,0.43388429752066116,0.18324607329842932,242
1,lgbm,4,0.47227772227772225,0.12688702197082752,0.3793103448275862,1.0,1508
1,lgbm,5,0.5049259425493716,0.45476044014461586,0.4105960264900662,0.22262118491921004,302
1,lr,1,0.49057307730574073,0.3100522603171027,0.3543859649122807,0.5727788279773157,855
1,lr,2,0.4973678574246711,0.2804395624376383,0.3731454005934718,0.9128856624319419,1348
1,lr,3,0.5129133759280623,0.316302387910931,0.3935907970419063,0.8359511343804538,1217
1,lr,4,0.4773504273504273,0.42744985298724053,0.6,0.02097902097902098,20
1,lr,5,0.4817717684021544,0.3759153166256033,0.37218045112781956,0.35547576301615796,532
1,rf,1,0.5116387194538623,0.35611587447181026,0.37031900138696255,0.504725897920605,721
1,rf,2,0.5007082924703061,0.33719392946515436,0.37623762376237624,0.6896551724137931,1010
1,rf,3,0.5072008016091342,0.3569853426590533,0.4019448946515397,0.4328097731239092,617
1,rf,4,0.4994819994819995,0.3549697254041223,0.3854748603351955,0.7237762237762237,1074
1,rf,5,0.5091113105924596,0.3676362776627973,0.3908984830805134,0.6014362657091562,857
