cluster_label,pipeline_e_pass,pipeline_d1_pass,pipeline_d1_chosen_t,assigned_pipeline,e_rf_roc_auc,e_rf_pr_auc,d1_chosen_t_rf_roc_auc
c1,False,True,1,D1,0.4648735279980774,0.4203519410081663,0.617764030048608
c4,False,True,2,D1,0.5213842592592592,0.1739745149852508,0.6152524146695716
