group_label,archetype_label,cluster_ids,size_count,size_fraction_of_pool,centroid_monotonicity,centroid_local_peaks,centroid_pullback,centroid_time_to_peak_rel,final_r_mean,final_r_t_stat,final_r_p5,final_r_p25,final_r_p50,final_r_p75,final_r_p95,mfe_h240_p5,mfe_h240_p25,mfe_h240_p50,mfe_h240_p75,mfe_h240_p95,frac_reach_1R,frac_reach_2R,frac_wrong_way,pct_peak_and_collapse,shape_tag,gate_monotonicity,gate_local_peaks,gate_mfe_p50,gate_reach_1R,gate_wrong_way,gate_shape_tag,gate_size,gates_passed_count,capturability_verdict
Stepwise climber,Stepwise climber,0,472,0.287279367,0.5424137057,21.04237288,0.2616847682,0.8257537051,1.524575157,27.60085611,-0.5548524672,0.8447656166,1.453924782,2.187648186,3.281353489,0.9395370553,1.602295418,2.100700758,2.801822952,3.968604033,0.936440678,0.5466101695,0.05084745763,0.1673728814,tight_unimodal,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,5,FAIL
Early-peak hold,Early-peak hold,1,239,0.1454656117,0.0135385535,0.5439330544,0.01010363139,0.1094634907,-1.001249054,-338.7110699,-1.010031724,-1.001782394,-1.000807721,-1.000517235,-1.000269132,0.0020080228,0.04224208538,0.1000285405,0.1704712958,0.328147177,0,0,0.9958158996,0,no_magnitude,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,2,FAIL
unassigned (cluster 2),unassigned,2,617,0.3755325624,0.5324608615,6.557536467,0.1604603887,0.3025315911,-0.613187097,-22.61052721,-1.010698142,-1.001597218,-1.00062301,-0.3102106524,0.8256700977,0.1768650772,0.3624425078,0.7049684247,1.128995548,1.99958454,0.3111831442,0.05024311183,0.7179902755,0.2285251216,no_magnitude,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,2,FAIL
unassigned (cluster 3),unassigned,3,315,0.1917224589,0.5031343854,8.19047619,0.5753246452,0.6308163716,-0.1063250922,-1.823934377,-1.013824626,-1.000911359,-0.4378496495,0.6177036044,1.70206348,0.2848630126,0.6892119882,1.047744095,1.601043354,2.775300301,0.5238095238,0.146031746,0.4920634921,0.3047619048,heavy_right_tail,FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,3,FAIL
