variant,param,fill_window,fill_rate_pct,mean_entry_improve_atr,mean_R,win_rate_pct,worst_fold_dd_pct,net_mean_R_vs_full,note
baseline (bar-0 market),-,-,100.0,0.0,0.0013148264694815071,49.62132687064526,19.76531379623489,0.0013148264694815071,all trades filled at bar-0
C1 limit -L*ATR,L=0.25,1bar,73.18994244168434,0.25,0.012284545481916574,49.95860927152318,11.966958799685672,0.008991051767437273,885 no-fills foregone (counted as 0 in net)
C1 limit -L*ATR,L=0.25,3bar,85.5195395334747,0.25,0.02460368706326285,50.44279135671271,14.212176341089618,0.021040959884759472,478 no-fills foregone (counted as 0 in net)
C1 limit -L*ATR,L=0.5,1bar,42.38109663738261,0.5,0.016671001716083076,50.17869907076483,12.065641832462621,0.007065353347712882,1902 no-fills foregone (counted as 0 in net)
C1 limit -L*ATR,L=0.5,3bar,65.88912450772493,0.5,0.021351102439704017,50.3448275862069,12.92971876145197,0.014068054470268475,1126 no-fills foregone (counted as 0 in net)
C1 limit -L*ATR,L=0.75,1bar,24.174492578006664,0.75,-0.007849717545390145,48.1203007518797,9.49243545480248,-0.001897629385404828,2503 no-fills foregone (counted as 0 in net)
C1 limit -L*ATR,L=0.75,3bar,48.89427446228416,0.75,-0.012752141343759023,48.822800495662946,14.51880669158876,-0.006235066988435948,1687 no-fills foregone (counted as 0 in net)
C1 limit -L*ATR,L=1.0,1bar,13.299000302938504,1.0,-0.011730611206589768,47.60820045558087,5.465091836150922,-0.0015600540199009112,2862 no-fills foregone (counted as 0 in net)
C1 limit -L*ATR,L=1.0,3bar,34.98939715237807,1.0,-0.0038672575799970914,48.74458874458875,12.390736461681898,-0.0013531301135706272,2146 no-fills foregone (counted as 0 in net)
C1 limit -L*ATR,L=1.5,1bar,5.210542259921236,1.5,-0.04626713267143445,44.76744186046512,4.654320227412079,-0.002410768500298917,3129 no-fills foregone (counted as 0 in net)
C1 limit -L*ATR,L=1.5,3bar,19.32747652226598,1.5,-0.039358316923901404,46.55172413793103,7.866240375825516,-0.007606969463026083,2663 no-fills foregone (counted as 0 in net)
C2 delay N bars,N=1,market@N,100.0,0.05690318550505469,0.024255762270958357,50.49984853074826,17.3868707887063,0.024255762270958357,enter at bar-N close; all trades taken (few short-path drops)
C2 delay N bars,N=2,market@N,100.0,0.06212195091864103,0.022605092168782023,50.56043623144502,19.78420902918547,0.022605092168782023,enter at bar-N close; all trades taken (few short-path drops)
C2 delay N bars,N=3,market@N,100.0,0.06296947914894012,0.02456015273476437,50.56043623144502,16.843594282810713,0.02456015273476437,enter at bar-N close; all trades taken (few short-path drops)
