t,n_trades_alive,n_winners_alive,all_mfe_p10,all_mfe_p25,all_mfe_p50,all_mfe_p75,all_mfe_p90,all_mae_p10,all_mae_p25,all_mae_p50,all_mae_p75,all_mae_p90,win_mfe_p10,win_mfe_p25,win_mfe_p50,win_mfe_p75,win_mfe_p90,win_mae_p10,win_mae_p25,win_mae_p50,win_mae_p75,win_mae_p90
11,3301,1638,0.22964125274056313,0.6481921542129573,1.4114878969288984,2.4903323764739245,3.6156137364013117,-3.8338655014549463,-2.655917669688739,-1.518923893273914,-0.7620940413122486,-0.3396190986771993,0.6252963030274223,1.2118345105590764,2.1931787489711616,3.2977522457981254,4.442511802380319,-2.3772551888475695,-1.6765297467756788,-0.9828377876002463,-0.47292743408863336,-0.21110340549848125
12,3301,1638,0.2420056368791153,0.6810751938229995,1.4697705631720583,2.5839440961370888,3.732185945187148,-4.053311017046766,-2.782199963780214,-1.566922619133519,-0.7927228345552614,-0.3506510871929621,0.6823225223330815,1.3226009790992796,2.3308096328364822,3.418060229547922,4.663217132361769,-2.4586765196380806,-1.6986000143716744,-1.0190825338446658,-0.48615535532770443,-0.2163363129178354
13,3300,1638,0.2494653119106075,0.7058304209636254,1.514259960371081,2.6787506954284632,3.8369529324573883,-4.167984636641425,-2.8378726081807795,-1.6314126517881347,-0.8074360208971808,-0.36231110508729364,0.7286074485064641,1.4346057168002164,2.4764259174888608,3.544173090857413,4.781216567599071,-2.4701428969098203,-1.7599610978635805,-1.03353121464477,-0.49870352504053733,-0.22032291716753122
14,3300,1638,0.25668226642666125,0.7295372671715988,1.5585471484259261,2.7574235418513275,3.969359585603063,-4.305219446012979,-2.930774190422552,-1.677941974179774,-0.8352982775615871,-0.3692378198403145,0.756581047808306,1.475643698419083,2.5437757952667575,3.6802282644896436,4.9543390938241245,-2.5018140659425265,-1.783687416933297,-1.053111325004695,-0.5078804184703957,-0.22381046081447178
15,3299,1637,0.2785419415361406,0.7574446786362026,1.6041858675951535,2.8495913160843136,4.125485090541385,-4.388325039262145,-2.974880266913697,-1.7192199566867739,-0.8590254099942447,-0.38056973815383954,0.8370775032281378,1.53710285569168,2.663602350532283,3.7912982986642967,5.153394623983124,-2.5351644967704425,-1.8144766738969318,-1.061615916693502,-0.5149695649588537,-0.22740881551347475
16,3299,1637,0.28588969859844754,0.7790926541172536,1.657794084156561,2.941270764544373,4.292644882112385,-4.515781847620197,-3.0616318486508627,-1.771375228635329,-0.8798423303163385,-0.3820536778354128,0.9073350024237795,1.60208638734028,2.7450846103435818,3.9394947505317415,5.376238167531477,-2.555029357830541,-1.8172426642062547,-1.0726357860280384,-0.5189757362740264,-0.22740881551347475
17,3299,1637,0.2941492370305319,0.799990853214094,1.7120340018175124,3.0500817708030223,4.49998996057315,-4.627541900057262,-3.162657894363875,-1.822400685416216,-0.9104387240311134,-0.389766825942032,0.9588707165764212,1.7457783945761225,2.902910601695929,4.104495755611091,5.579258118863771,-2.5948727853872584,-1.8411078886065382,-1.0921999182389923,-0.5294093166569672,-0.23200614793126695
18,3299,1637,0.29504473546838367,0.8272919321054553,1.7737809648497083,3.144001421039827,4.6974149610062,-4.747980247566288,-3.2591562336580067,-1.8804957437778766,-0.9253139937911126,-0.39934799609654387,1.0510444128501986,1.859542705833061,3.0369428592346916,4.229655353117857,5.76730814791571,-2.630777599453661,-1.8697677515900888,-1.111826229719955,-0.5322018956353904,-0.23605607020126868
19,3299,1637,0.29888918469503145,0.8465867331762129,1.8349464225165606,3.2280208990528134,4.801845846171555,-4.831431506722252,-3.351446183717245,-1.9356340528002747,-0.9498878315746169,-0.41093649208550237,1.1043707490184342,1.930984471243417,3.137101110605859,4.370029121324718,5.87863240374102,-2.6498426006545186,-1.8846497507806832,-1.1363631072390572,-0.5378192137141614,-0.23916825137087716
20,3299,1637,0.3199289400575942,0.8691737792648832,1.888120020042271,3.3052875950570284,4.916401891937313,-4.924295062459792,-3.4112302506002976,-1.9701708742960928,-0.974387303506286,-0.4195502069887568,1.1648473790499625,2.0212357157589693,3.235843773899231,4.4907842556823,6.013962639480894,-2.6783557755059024,-1.9093818836303125,-1.1538098990176784,-0.5414689913099047,-0.24189070185464961
21,3299,1637,0.3294758900823192,0.8949346064490691,1.9079761877581316,3.378395256260119,5.044930400210744,-5.029327094785275,-3.476211483359116,-2.0179678282783895,-0.9918463956278983,-0.4257241946194136,1.236502138592933,2.0656314472962674,3.3152383097300175,4.660454243808501,6.159516248959501,-2.701246040357984,-1.9221190297767154,-1.1635044092019473,-0.5484759285898395,-0.24360216813182345
22,3299,1637,0.33870723232566047,0.9056330598808819,1.94977105729987,3.4585462592860137,5.127160832047196,-5.099998964514061,-3.5470490622879973,-2.0676166198792334,-1.0105963183385382,-0.42790205714804885,1.2835446910537238,2.154502318585166,3.411469979553265,4.757231728810341,6.281802888530258,-2.7313993274489667,-1.9334557251081494,-1.1797762274970178,-0.552056361981731,-0.24618706269050578
23,3299,1637,0.3506321519784992,0.9292436534622032,1.998026269804031,3.522599659698746,5.297880449249797,-5.273617132076899,-3.6224763156635937,-2.105928812925992,-1.0290566224843762,-0.43551501643196316,1.3303051764700902,2.243064858537962,3.502717912654973,4.87457955999117,6.389761463969191,-2.7730724316412854,-1.9586512653712973,-1.1897463069451375,-0.5639043506817413,-0.24898122394635772
