dataset,K,archetype_id,clean,meaty,predictable,size_viable,not_overlap,qualifies_as_v2_0_evidence,size_fraction_of_pool,monotonicity_centroid,local_peaks_centroid,pullback_magnitude_centroid,final_r_mean,frac_reach_1R,fwd_mfe_h240_p50,frac_wrong_way,auc_mean,shape_tag
kh24,3,0,False,False,False,True,True,False,0.4050632911392405,0.08130091182621535,0.5848214285714168,0.0009527875642693084,-0.6442843010757185,0.75,2.671562433242798,0.6696428571428571,0.5538352272727274,bimodal
kh24,3,1,False,False,False,True,True,False,0.5027124773960217,0.596549243806935,6.69064748201439,0.020796635757676214,0.7356005241531584,0.8920863309352518,3.9179104566574097,0.32014388489208634,0.562482853223594,bimodal
kh24,3,2,False,False,False,False,True,False,0.0922242314647378,0.4755767151421192,4.019607843137255,0.4518920060466317,-0.14708952484287174,0.7647058823529411,2.7195816040039062,0.49019607843137253,0.5226530612244898,bimodal
kh24,4,0,False,False,False,True,True,False,0.38155515370705245,0.05407667096474805,0.5260663507108889,0.0010114901156223627,-0.6582525765911733,0.7440758293838863,2.609375476837158,0.6777251184834123,0.5635392092436141,bimodal
kh24,4,1,True,False,False,True,True,False,0.3960216998191682,0.5994860264536451,3.8630136986301373,0.02201669836697517,0.10995940730554056,0.8538812785388128,3.1088767051696777,0.4246575342465753,0.5690161001788908,bimodal
kh24,4,2,False,False,False,False,True,False,0.08860759493670886,0.4696086268035733,3.857142857142857,0.45963024758562737,-0.15404328425433866,0.7551020408163265,2.684812068939209,0.5102040816326531,0.5162646876932591,bimodal
kh24,4,3,False,True,False,False,True,False,0.13381555153707053,0.5756495462076084,14.189189189189186,0.020059702364174113,2.3653243364313163,1.0,5.403418064117432,0.04054054054054054,0.5693009118541034,bimodal
kh24,5,0,True,False,False,True,True,False,0.16817359855334538,0.6433610268818435,2.365591397849461,0.011218822771503038,-0.29523616554515975,0.7956989247311828,3.0616979598999023,0.5698924731182796,0.5492772922735469,bimodal
kh24,5,1,False,False,False,True,True,False,0.34177215189873417,0.018442933127363836,0.4285714285714177,0.001129229705800594,-0.7037681657377453,0.7301587301587301,2.3665521144866943,0.6931216931216931,0.5362009897221165,bimodal
kh24,5,2,False,False,False,False,True,False,0.09041591320072333,0.47354978799819947,3.86,0.45534177482128135,-0.15355180050246417,0.76,2.7021968364715576,0.5,0.5150088183421517,bimodal
kh24,5,3,False,True,False,False,True,False,0.12296564195298372,0.5809122341520647,14.647058823529411,0.021829676102189475,2.372784776174847,1.0,5.25957727432251,0.04411764705882353,0.5638177276251184,bimodal
kh24,5,4,False,False,False,True,True,False,0.2766726943942134,0.5346973550085927,4.61437908496732,0.02309215565522508,0.38871286583005216,0.8954248366013072,3.1932122707366943,0.33986928104575165,0.5355676056810933,bimodal
kh24,6,0,False,False,False,False,True,False,0.08499095840867993,0.4895919726250019,3.914893617021277,0.46849445903554876,-0.1374537592377276,0.7446808510638298,2.497655153274536,0.5106382978723404,0.47955266955266956,bimodal
