k,silhouette,inertia
2,0.32693574995577596,20688.8210977798
3,0.36242415557177077,14625.697036321071
4,0.361110991845539,11832.551241544363
5,0.3161225405398028,10048.398482790082
6,0.31611227574599865,8721.014047588302
