cluster_id,classifier,fold,auc,threshold_auc_best,precision_at_threshold,recall_at_threshold,n_admit_at_threshold
0,lgbm,1,0.6264334446218609,0.057543956752261975,0.2376237623762376,0.5783132530120482,202
0,lgbm,2,0.6409193515288324,0.04229351019610067,0.17289719626168223,0.6727272727272727,214
0,lgbm,3,0.6411721555152311,0.026293419736880534,0.1780821917808219,0.6610169491525424,219
0,lgbm,4,0.5734044736302073,0.007906547073699581,0.12919896640826872,0.9090909090909091,387
0,lgbm,5,0.6112866817155755,0.032484799714352856,0.155893536121673,0.7454545454545455,263
0,lr,1,0.6085063144142837,0.11256124693091663,0.25146198830409355,0.5180722891566265,171
0,lr,2,0.6427662630822901,0.1314511134807682,0.19745222929936307,0.5636363636363636,157
0,lr,3,0.6036446469248292,0.10509906804101203,0.19428571428571428,0.576271186440678,175
0,lr,4,0.5641699158629181,0.12059046062454074,0.16901408450704225,0.43636363636363634,142
0,lr,5,0.6768725631028115,0.10045009717818165,0.20297029702970298,0.7454545454545455,202
0,rf,1,0.5920307736971985,0.1345193334186039,0.27049180327868855,0.39759036144578314,122
0,rf,2,0.6409193515288323,0.1433172976349905,0.17435897435897435,0.6181818181818182,195
0,rf,3,0.5942241612292961,0.12679642969817212,0.18012422360248448,0.4915254237288136,161
0,rf,4,0.6041042478965729,0.12368144787450493,0.17721518987341772,0.509090909090909,158
0,rf,5,0.6565154935358095,0.1073095579188605,0.16731517509727625,0.7818181818181819,257
1,lgbm,1,0.61105028692238,0.3680820691639689,0.4265402843601896,0.5844155844155844,211
1,lgbm,2,0.6180067655477491,0.45931159056014165,0.5537190082644629,0.366120218579235,121
1,lgbm,3,0.6546124256060386,0.4400784015757434,0.4939759036144578,0.4939759036144578,166
1,lgbm,4,0.6602884034193939,0.35288508663142276,0.5592105263157895,0.4594594594594595,152
1,lgbm,5,0.6629062012203775,0.3098194579614976,0.4880382775119617,0.5862068965517241,209
1,lr,1,0.6234710057384476,0.4124106026848226,0.4426229508196721,0.525974025974026,183
1,lr,2,0.6188567959059762,0.31388402483646766,0.4835680751173709,0.5628415300546448,213
1,lr,3,0.6772753665263463,0.3491747569869985,0.4889867841409692,0.6686746987951807,227
1,lr,4,0.691408341248597,0.3341351980189129,0.5402843601895735,0.6162162162162163,211
1,lr,5,0.6444408968355329,0.3584183452417466,0.5088757396449705,0.4942528735632184,169
1,rf,1,0.6213568408335851,0.38336437490833425,0.4578313253012048,0.4935064935064935,166
1,rf,2,0.6622430392922196,0.3363835212654006,0.5117370892018779,0.5956284153005464,213
1,rf,3,0.7033676876179417,0.3631466597371355,0.5167464114832536,0.6506024096385542,209
1,rf,4,0.6802175977894828,0.37933812868591316,0.6240601503759399,0.4486486486486487,133
1,rf,5,0.6539307506740456,0.30495505871496054,0.45454545454545453,0.7471264367816092,286
