fold,date,n_trades,equity_start_of_day,intraday_peak,intraday_trough,intraday_running_peak_to_trough_dd_pct,day_start_to_low_dd_pct,day_dd_pct,net_day_pnl_dollars,trade_ids_in_day
4,2023-06-09,1,10737.88326,10789.78143,10737.88326,0,0,0,51.89816695,1187
4,2023-07-06,1,10939.02162,11017.29544,10939.02162,0,0,0,78.27381965,1211
4,2023-06-28,1,10876.03707,10939.02162,10876.03707,0,0,0,62.98454848,1208
4,2023-08-01,2,11004.84906,11054.66179,11004.84906,0,0,0,49.81273231,"1232,1233"
4,2023-07-13,1,11017.29544,11060.60648,11017.29544,0,0,0,43.3110431,1216
4,2023-08-23,1,11054.66179,11099.80064,11054.66179,0,0,0,45.13885042,1240
4,2023-08-24,1,11099.80064,11137.23573,11099.80064,0,0,0,37.43508728,1256
4,2023-09-04,1,11136.72265,11188.15336,11136.72265,0,0,0,51.43071132,1252
4,2023-09-27,1,11188.15336,11224.97166,11188.15336,0,0,0,36.81830636,1288
5,2024-03-06,1,10568.80568,10568.80568,10513.53987,0.5229144465,0.5229144465,0.5229144465,-55.26581173,1453
5,2023-12-28,2,10307.81139,10307.81139,10255.19038,0.5104965095,0.5104965095,0.5104965095,-52.62101737,"1384,1386"
5,2024-06-03,1,11153.2783,11153.2783,11096.40163,0.5099546985,0.5099546985,0.5099546985,-56.8766667,1530
5,2023-12-29,1,10255.19038,10255.19038,10203.04151,0.5085119205,0.5085119205,0.5085119205,-52.14886553,1379
5,2023-11-16,1,10277.59315,10277.59315,10225.61576,0.505735042,0.505735042,0.505735042,-51.97739005,1333
5,2023-12-15,1,10199.16029,10199.16029,10147.81198,0.503456244,0.503456244,0.503456244,-51.34830931,1369
5,2023-12-13,2,10240.20741,10250.73102,10199.16029,0.503093243,0.4008427126,0.503093243,-41.04712518,"1356,1362"
5,2024-06-26,2,11145.52854,11260.17204,11145.52854,0.01282038399,0,0.01282038399,113.199907,"1554,1558"
5,2024-01-25,1,10499.76172,10499.76172,10499.22611,0.00510119025,0.00510119025,0.00510119025,-0.5356128212,1410
