bin,n_rows,status,n_folds_trained,min_train_n,min_val_n,mean_auc,worst_auc,fold_stdev,mean_base_rate_val,gate_pass
2020-Q1,42714,trained,7,5341,5339,0.5609593096624736,0.46996910670070297,0.07167172337289063,0.14079683193749498,False
2020-Q2,43680,trained,7,5460,5460,0.47817144748788454,0.4059897350361551,0.06221985507470014,0.1575353218210361,False
2020-Q3,44352,trained,7,5544,5544,0.5049946148902434,0.3922546152349902,0.06918246316520124,0.15138631210059783,False
2020-Q4,43541,trained,7,5447,5442,0.5473975081903443,0.48849999999999993,0.040790697942197335,0.11904761904761905,False
2021-Q1,42280,trained,7,5285,5285,0.5354270672912042,0.49358865404724134,0.02894284218207045,0.17232058386268415,False
2021-Q2,43624,trained,7,5453,5453,0.6174395354096678,0.5105578498875414,0.05676525102174756,0.11595190065756725,False
2021-Q3,44352,trained,7,5544,5544,0.4833839411419078,0.3790988064148827,0.07903960386582429,0.12340239125953412,False
2021-Q4,44240,trained,7,5530,5530,0.5933712627138575,0.49065802205736575,0.0957502785094603,0.13353138723843969,False
2022-Q1,42952,trained,7,5369,5369,0.5623669467734506,0.4410301875883999,0.07765970350131716,0.14203230183859725,False
2022-Q2,43680,trained,7,5460,5460,0.5490752701730804,0.43875392417290515,0.09172871854534938,0.16658817373103088,False
2022-Q3,44254,trained,7,5537,5531,0.5256336860734001,0.4140847654261655,0.08901421613947126,0.11041661285740115,False
2022-Q4,43502,trained,7,5443,5437,0.6200738254104413,0.5294921318477306,0.047260628534900116,0.11839512336109724,False
2023-Q1,43624,trained,7,5453,5453,0.5576583867266321,0.4840215991520538,0.04806516014212089,0.10790914568651593,False
2023-Q2,43680,trained,7,5460,5460,0.5361140739227626,0.40319194776563017,0.07889931256324244,0.14701726844583987,False
2023-Q3,43680,trained,7,5460,5460,0.5840552151460084,0.4018341987682647,0.13911769976621663,0.1344845630559916,False
2023-Q4,43077,trained,7,5389,5384,0.5954495304836922,0.4313948308468165,0.09536207699436185,0.11104330290808746,False
2024-Q1,43008,trained,7,5376,5376,0.5376239868117524,0.33415344602269387,0.08730005825823757,0.11591198979591837,False
2024-Q2,43680,trained,7,5460,5460,0.5887500166897227,0.5135810705831818,0.07308923903874186,0.1325484039769754,False
2024-Q3,44352,trained,7,5544,5544,0.5553483946419645,0.3631916038685589,0.1161906304450567,0.1173469387755102,False
2024-Q4,44088,trained,7,5511,5511,0.5874479809820997,0.4380429967095085,0.08045722987969173,0.11190605801384244,False
2025-Q1,42442,trained,7,5307,5305,0.5542155136943683,0.40799348219169146,0.12787049572589154,0.11840581661505319,False
2025-Q2,43680,trained,7,5460,5460,0.5545399460165795,0.34045277777777777,0.12677295157109805,0.09602302459445315,False
2025-Q3,44352,trained,7,5544,5544,0.5365172280638666,0.4817785158006457,0.04329547570977415,0.07954545454545454,False
2025-Q4,30240,trained,7,3780,3780,0.5558629914988655,0.21620856784232328,0.14302833106947696,0.12123960695389267,False
