metric,value
unit_id,c1
n,177
sl_atr_mult,4
fwd_mfe_p5,1.649497364
fwd_mfe_p10,2.193714987
fwd_mfe_p25,2.613497958
fwd_mfe_p50,3.499915434
fwd_mfe_p75,4.774801697
fwd_mfe_p90,6.016751743
fwd_mfe_p95,7.711603761
fwd_mfe_p99,10.23035237
final_r_p5,-1
final_r_p10,0.1647283017
final_r_p25,1.362913888
final_r_p50,2.377388617
final_r_p75,3.694962985
final_r_p90,5.070502023
final_r_p95,5.681423817
final_r_p99,8.041462472
fwd_mfe_mean,3.918162032
final_r_mean,2.59127204
hartigan_dip_stat,0.01455146041
hartigan_dip_pvalue,0.9952778669
shape_tag,unclassified
bimodal_separated,0
bimodal_mode_separation_r,0
bimodal_min_mode_mass,0
bimodal_left_mode_r,0
bimodal_right_mode_r,0
bimodal_left_mass,0
bimodal_right_mass,0
pct_peak_and_collapse,0.1920903955
mass_final_r_le_0R_count,16
mass_final_r_le_0R_frac,0.09039548023
mass_final_r_0R_to_0.5R_count,9
mass_final_r_0R_to_0.5R_frac,0.05084745763
mass_final_r_0.5R_to_1R_count,8
mass_final_r_0.5R_to_1R_frac,0.04519774011
mass_final_r_1R_to_2R_count,34
mass_final_r_1R_to_2R_frac,0.1920903955
mass_final_r_2R_to_5R_count,90
mass_final_r_2R_to_5R_frac,0.5084745763
mass_final_r_gt_5R_count,20
mass_final_r_gt_5R_frac,0.1129943503
