pair,spearman_rho,p_value
fold_1_vs_fold_2,0.9535714285714283,3.7924400411831215e-08
fold_2_vs_fold_3,0.932142857142857,4.2412182315433423e-07
fold_3_vs_fold_4,0.9571428571428571,2.2736751556259752e-08
fold_4_vs_fold_5,0.982142857142857,8.157333508978719e-11
fold_5_vs_fold_6,0.9964285714285712,2.4159793199703495e-15
fold_6_vs_fold_7,0.9892857142857142,2.998934257155075e-12
fold_1_vs_fold_7,0.8678571428571429,2.751806395512921e-05
