from,to,feature,imp_from,imp_to,rel_change
fold_1,fold_2,ema_50_above_200,0.03241524627472094,0.014894270934084906,-0.540516496223562
fold_2,fold_3,ema_50_above_200,0.014894270934084906,0.02579545241558987,0.7319043362208536
fold_3,fold_4,ema_50_above_200,0.02579545241558987,0.010864373262920227,-0.5788260237547073
fold_4,fold_5,ema_50_above_200,0.010864373262920227,0.02024544555277381,0.863471096107393
