trade_id,pair,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
GBP_NZD_2012-07-25 12:00:00,GBP_NZD,0.5,0,0.0,0.0
USD_CAD_2012-07-25 16:00:00,USD_CAD,1.0,1,0.0,0.5
EUR_AUD_2012-08-21 00:00:00,EUR_AUD,0.5945946,36,0.0,0.9324324
GBP_AUD_2012-08-21 04:00:00,GBP_AUD,0.6956522,14,0.0,0.7826087
AUD_JPY_2012-09-19 12:00:00,AUD_JPY,1.0,0,0.0,0.0
USD_JPY_2012-09-19 16:00:00,USD_JPY,1.0,1,0.0,0.5
EUR_USD_2012-10-19 08:00:00,EUR_USD,0.42857143,3,0.06261681,0.5833333
USD_CHF_2012-10-25 04:00:00,USD_CHF,0.5,6,0.0,0.36842105
AUD_CHF_2012-10-30 12:00:00,AUD_CHF,0.6666667,7,0.06671372,0.85
CAD_CHF_2012-11-08 16:00:00,CAD_CHF,0.46153846,7,0.026989162,0.65217394
EUR_CAD_2012-11-27 08:00:00,EUR_CAD,0.6666667,15,0.0,0.75
CAD_CHF_2012-12-12 08:00:00,CAD_CHF,0.0,0,0.0,0.0
AUD_USD_2013-01-03 20:00:00,AUD_USD,0.0,0,0.0,0.0
EUR_NZD_2013-01-16 12:00:00,EUR_NZD,0.5,1,0.0,1.0
EUR_JPY_2013-03-13 08:00:00,EUR_JPY,0.6666667,4,0.0,0.8
GBP_CHF_2013-03-15 16:00:00,GBP_CHF,1.0,2,0.0,1.0
GBP_CAD_2013-03-25 08:00:00,GBP_CAD,0.0,1,0.0,0.16666667
GBP_USD_2013-03-26 08:00:00,GBP_USD,0.0,0,0.0,0.0
GBP_CAD_2013-04-02 08:00:00,GBP_CAD,0.0,0,0.0,0.0
NZD_CAD_2013-04-19 12:00:00,NZD_CAD,0.5882353,8,0.0,0.84615386
NZD_USD_2013-04-26 16:00:00,NZD_USD,1.0,2,0.0,1.0
AUD_JPY_2013-05-07 04:00:00,AUD_JPY,0.0,0,0.0,0.0
NZD_CHF_2013-05-07 04:00:00,NZD_CHF,0.0,0,0.0,0.0
NZD_JPY_2013-05-13 08:00:00,NZD_JPY,0.6666667,2,0.44606122,0.71428573
NZD_JPY_2013-05-14 08:00:00,NZD_JPY,0.85714287,4,0.31254002,0.6
USD_CAD_2013-05-16 12:00:00,USD_CAD,0.6923077,5,0.0,0.3846154
USD_CAD_2013-06-04 20:00:00,USD_CAD,0.6666667,1,0.0,0.4
AUD_NZD_2013-06-05 00:00:00,AUD_NZD,0.0,1,0.0,0.5
CHF_JPY_2013-06-24 12:00:00,CHF_JPY,0.25,2,0.0,0.13333334
AUD_NZD_2013-06-26 12:00:00,AUD_NZD,0.6666667,2,0.0,0.6666667
GBP_AUD_2013-07-16 04:00:00,GBP_AUD,0.0,0,0.0,0.0
NZD_CHF_2013-07-18 00:00:00,NZD_CHF,0.47826087,7,0.0,0.6956522
EUR_USD_2013-07-19 08:00:00,EUR_USD,0.6122449,13,0.10463315,0.85714287
GBP_USD_2013-07-24 16:00:00,GBP_USD,0.57894737,4,0.0,0.27272728
EUR_AUD_2013-07-29 12:00:00,EUR_AUD,0.5882353,9,0.0,0.7647059
EUR_JPY_2013-08-05 04:00:00,EUR_JPY,0.0,0,0.0,0.0
USD_JPY_2013-09-24 08:00:00,USD_JPY,0.0,2,0.93088156,1.0
EUR_JPY_2013-10-01 04:00:00,EUR_JPY,0.0,0,0.0,0.0
GBP_AUD_2013-10-02 16:00:00,GBP_AUD,0.0,1,0.0,0.14285715
USD_CAD_2013-10-11 16:00:00,USD_CAD,0.4,3,0.4286904,0.6666667
CHF_JPY_2013-10-15 08:00:00,CHF_JPY,0.0,2,0.4259153,0.75
GBP_NZD_2013-11-13 00:00:00,GBP_NZD,0.46666667,4,0.0,0.6
AUD_JPY_2013-12-11 08:00:00,AUD_JPY,0.0,0,0.0,0.0
NZD_USD_2013-12-11 08:00:00,NZD_USD,1.0,4,0.0,0.6
GBP_CHF_2013-12-30 08:00:00,GBP_CHF,0.0,0,0.0,0.0
EUR_CHF_2013-12-31 16:00:00,EUR_CHF,0.5714286,12,0.0,0.7714286
AUD_CHF_2014-01-09 04:00:00,AUD_CHF,0.54545456,6,0.0,0.8125
USD_CHF_2014-02-04 04:00:00,USD_CHF,0.46153846,3,0.26804855,0.7647059
GBP_CAD_2014-02-18 16:00:00,GBP_CAD,0.35714287,8,0.14538133,0.8888889
EUR_JPY_2014-02-21 08:00:00,EUR_JPY,0.4117647,0,0.0,0.0
GBP_NZD_2014-02-24 04:00:00,GBP_NZD,0.0,1,0.0,0.2
USD_CAD_2014-02-24 16:00:00,USD_CAD,0.0,1,0.0,0.5
GBP_CAD_2014-03-24 12:00:00,GBP_CAD,0.0,0,0.0,0.0
AUD_NZD_2014-03-27 04:00:00,AUD_NZD,0.6666667,4,0.0,0.8
CAD_CHF_2014-03-31 16:00:00,CAD_CHF,0.5555556,11,0.06329957,0.7586207
AUD_USD_2014-06-02 00:00:00,AUD_USD,0.0,0,0.0,0.0
GBP_AUD_2014-06-18 20:00:00,GBP_AUD,0.0,1,0.0,1.0
CHF_JPY_2014-06-23 00:00:00,CHF_JPY,0.6666667,2,0.49753305,0.6666667
EUR_JPY_2014-07-04 04:00:00,EUR_JPY,0.0,0,0.0,0.0
AUD_JPY_2014-07-25 16:00:00,AUD_JPY,0.42857143,8,0.0,0.5625
GBP_CAD_2014-07-29 12:00:00,GBP_CAD,0.53846157,6,0.0,0.7692308
USD_CAD_2014-09-10 16:00:00,USD_CAD,0.5882353,12,0.0,0.8333333
EUR_USD_2014-10-17 12:00:00,EUR_USD,0.44444445,5,0.0,0.6666667
GBP_AUD_2014-10-21 12:00:00,GBP_AUD,0.4,1,0.0,0.22222222
EUR_NZD_2014-10-27 16:00:00,EUR_NZD,0.0,1,0.0,0.125
AUD_CHF_2014-11-11 04:00:00,AUD_CHF,0.6,7,0.08016217,0.8
NZD_USD_2014-11-18 20:00:00,NZD_USD,0.0,0,0.0,0.0
CAD_CHF_2014-11-25 20:00:00,CAD_CHF,0.0,2,0.0,0.3
NZD_CAD_2014-12-02 08:00:00,NZD_CAD,0.0,0,0.0,0.0
NZD_CHF_2014-12-12 12:00:00,NZD_CHF,0.0,0,0.0,0.0
EUR_NZD_2014-12-17 16:00:00,EUR_NZD,0.0,0,0.0,0.0
CAD_JPY_2014-12-26 20:00:00,CAD_JPY,0.75,3,0.009991594,0.5
CAD_CHF_2014-12-29 12:00:00,CAD_CHF,0.57894737,9,0.0,0.6315789
NZD_JPY_2015-01-12 04:00:00,NZD_JPY,0.0,0,0.0,0.0
EUR_JPY_2015-02-23 08:00:00,EUR_JPY,0.5,4,0.0,0.36842105
AUD_JPY_2015-02-27 12:00:00,AUD_JPY,0.54545456,3,0.7363409,0.6904762
USD_CAD_2015-03-20 00:00:00,USD_CAD,0.0,1,0.0,0.6666667
AUD_USD_2015-03-26 00:00:00,AUD_USD,0.5,1,0.0,0.09090909
CHF_JPY_2015-03-26 04:00:00,CHF_JPY,0.4827586,5,0.34973577,0.75
AUD_USD_2015-03-26 16:00:00,AUD_USD,0.0,1,0.0,0.14285715
CAD_CHF_2015-04-13 16:00:00,CAD_CHF,0.5,1,0.0,1.0
AUD_USD_2015-04-20 16:00:00,AUD_USD,0.0,1,0.0,0.5
EUR_AUD_2015-05-05 04:00:00,EUR_AUD,0.47058824,7,0.0,0.61904764
USD_JPY_2015-05-06 12:00:00,USD_JPY,0.0,0,0.0,0.0
CAD_JPY_2015-05-22 08:00:00,CAD_JPY,0.6111111,4,0.67335427,0.83870965
USD_CHF_2015-05-28 16:00:00,USD_CHF,0.0,1,0.0,0.6
EUR_GBP_2015-06-05 12:00:00,EUR_GBP,0.6,6,0.0,0.5555556
EUR_CHF_2015-06-05 16:00:00,EUR_CHF,0.4347826,8,0.08137846,0.75
EUR_JPY_2015-06-30 00:00:00,EUR_JPY,0.0,2,0.0,0.5
USD_CHF_2015-07-03 20:00:00,USD_CHF,0.6666667,5,0.0,0.6
EUR_CHF_2015-07-13 16:00:00,EUR_CHF,1.0,2,0.0,0.25
EUR_AUD_2015-08-14 08:00:00,EUR_AUD,0.65217394,13,0.0,0.925
AUD_USD_2015-08-18 12:00:00,AUD_USD,1.0,0,0.0,0.0
AUD_CAD_2015-08-18 12:00:00,AUD_CAD,0.36363637,5,0.0,0.75
EUR_JPY_2015-08-25 12:00:00,EUR_JPY,0.0,0,0.0,0.0
