archetype_label,X,n,size_fraction,mono_pre_peak_centroid,frac_reach_1R,frac_reach_2R,frac_wrong_way_pre_peak,fwd_mfe_p50,fwd_mfe_p50_atr,final_r_mean,final_r_t_stat,composite,floor_mono_pp_pass,floor_reach_1R_pass,floor_wrong_way_pp_pass,floor_fwd_mfe_p50_pass,floor_size_fraction_pass,all_floors_pass
Unclassified,0.5,1372,0.6372503484,0.3222190848,0.4511661808,0.3367346939,0.4088921283,0.6898688426,0.3449344213,0.4101908653,2.196307853,-0.5855068628,0,0,0,0,1,0
Unclassified,1,1372,0.6372503484,0.4839149565,0.5648688047,0.4132653061,0.112244898,1.357092491,1.357092491,0.5648776195,4.466098183,-0.01346113676,0,0,1,0,1,0
Unclassified,1.5,1372,0.6372503484,0.5737161364,0.6472303207,0.4540816327,0.02113702624,1.731453503,2.597180254,0.5757517933,5.787784773,0.2498094308,1,0,1,1,1,0
Unclassified,2,1372,0.6372503484,0.635195432,0.6814868805,0.4744897959,0.0007288629738,1.88545239,3.770904779,0.6245206697,7.371022497,0.3659534495,1,0,1,1,1,0
Unclassified,3,1372,0.6372503484,0.6246452852,0.6253644315,0.4278425656,0,1.54921597,4.647647911,0.4372994155,7.015508043,0.3000097167,1,0,1,1,1,0
Unclassified,4,1372,0.6372503484,0.6119298758,0.6005830904,0.3688046647,0,1.395929062,5.583716247,0.3319050762,6.537216198,0.2625129662,1,0,1,0,1,0
