bin,n_rows,status,n_folds_trained,min_train_n,min_val_n,mean_auc,worst_auc,fold_stdev,mean_base_rate_val,gate_pass
2020-Q1,10714,trained,7,1341,1339,0.6121643959307236,0.36936397087403805,0.14049083022153308,0.1901205590525979,False
2020-Q2,10920,trained,7,1365,1365,0.6418098361156795,0.5527892767403605,0.05233628041027419,0.22564102564102564,True
2020-Q3,11088,trained,7,1386,1386,0.5887689344023121,0.49011823060812326,0.06837222573208665,0.2362399505256648,False
2020-Q4,10920,trained,7,1365,1365,0.6646625394271171,0.547338494018297,0.06632602764539894,0.17791732077446368,False
2021-Q1,10584,trained,7,1323,1323,0.6268716553733275,0.5261638945849472,0.08256253896719438,0.2772918691286038,False
2021-Q2,10920,trained,7,1365,1365,0.6438768017691398,0.5297822112824057,0.07018705301754029,0.1486132914704343,False
2021-Q3,11088,trained,7,1386,1386,0.6506832987408803,0.4227275121129134,0.13313192645753164,0.16934652648938364,False
2021-Q4,11088,trained,7,1386,1386,0.5813325432952758,0.40891231506579934,0.119877488039271,0.18243661100803957,False
2022-Q1,10752,trained,7,1344,1344,0.5883114284829268,0.4413527542110024,0.09779088532947229,0.25095663265306123,False
2022-Q2,10920,trained,7,1365,1365,0.5399132553916763,0.4226982263954095,0.06943801905043748,0.2173731030873888,False
2022-Q3,11088,trained,7,1386,1386,0.5414535661774853,0.23800805484070953,0.15861095017038684,0.19459905174190892,False
2022-Q4,10913,trained,7,1365,1364,0.48628038442831417,0.32029671877917537,0.10745623662162361,0.1985756179304566,False
2023-Q1,10920,trained,7,1365,1365,0.6283658843452841,0.4767047281534136,0.10598158660270952,0.17132391418105702,False
2023-Q2,10920,trained,7,1365,1365,0.5422766446390963,0.4810956079961713,0.04024766824646809,0.20460491889063315,False
2023-Q3,10920,trained,7,1365,1365,0.6003950514824848,0.3689587898625096,0.11577519772175428,0.1998953427524856,False
2023-Q4,10787,trained,7,1351,1348,0.5965610639798776,0.46034811880375215,0.10245011525837969,0.20559559135226793,False
2024-Q1,10752,trained,7,1344,1344,0.6549116603320219,0.4432326098364287,0.14388262766934193,0.1985544217687075,False
2024-Q2,10920,trained,7,1365,1365,0.626690524162669,0.4363631874549139,0.10040005707029345,0.30256410256410254,False
2024-Q3,11088,trained,7,1386,1386,0.6193321860668723,0.43466333550761205,0.12744439684838132,0.1607915893630179,False
2024-Q4,11053,trained,7,1386,1381,0.5199018901686535,0.40838729290165676,0.09774801006108778,0.14771904417089066,False
2025-Q1,10611,trained,7,1329,1326,0.6629394511494969,0.547559263260458,0.06892343898395484,0.18896789485024781,False
2025-Q2,10920,trained,7,1365,1365,0.644378515733951,0.43560858585858586,0.11459951730656741,0.1489272632129775,False
2025-Q3,11088,trained,7,1386,1386,0.5970281915674118,0.5493357564020083,0.046549848163109815,0.11276025561739846,False
