fold,trade_id,entry_time,pair,p_admit,admitted,final_r_at_selected_sl,selected_sl_atr_mult,mode
3,624,2024-12-10 20:00:00,AUD_NZD,0.44066514610934815,0,0.7254689133333333,3.0,E
4,628,2025-01-02 00:00:00,EUR_GBP,0.46830307217911704,0,0.20609184893333332,3.0,E
4,633,2025-01-06 20:00:00,USD_CAD,0.6478445035027954,0,-1.0,3.0,E
4,642,2025-01-20 12:00:00,EUR_JPY,0.7059020690927545,1,-1.0,3.0,E
4,648,2025-01-28 00:00:00,CAD_CHF,0.3321866810603652,0,-1.0,3.0,E
4,651,2025-02-03 12:00:00,NZD_CHF,0.30265733402206546,0,-1.0,3.0,E
4,652,2025-02-03 16:00:00,NZD_USD,0.2673438473178308,0,1.1141331713333331,3.0,E
4,653,2025-02-03 20:00:00,AUD_CHF,0.36672146125290467,0,-1.0,3.0,E
4,654,2025-02-03 20:00:00,AUD_USD,0.3127409081590918,0,0.6840398193333332,3.0,E
4,660,2025-02-14 12:00:00,NZD_CAD,0.37797467224388215,0,-1.0,3.0,E
4,664,2025-02-28 08:00:00,CHF_JPY,0.6602902770276415,1,3.2287571139999995,3.0,E
4,665,2025-02-28 08:00:00,GBP_JPY,0.43066959213708794,0,-1.0,3.0,E
4,666,2025-02-28 16:00:00,EUR_USD,0.5037425596917116,0,11.63960818,3.0,E
4,667,2025-03-03 12:00:00,EUR_JPY,0.5263292372335623,0,2.5680860353333332,3.0,E
4,670,2025-03-10 16:00:00,GBP_CHF,0.5617233374682157,0,-1.0,3.0,E
5,672,2025-03-21 00:00:00,AUD_CAD,0.4879847920892469,0,-1.0,3.0,E
5,675,2025-03-26 16:00:00,USD_CAD,0.5560407322176689,1,-1.0,3.0,E
5,676,2025-03-26 20:00:00,EUR_AUD,0.5056069473397384,0,3.671576276,3.0,E
5,679,2025-04-01 08:00:00,AUD_CHF,0.27733178530101193,0,-1.0,3.0,E
5,689,2025-04-10 16:00:00,GBP_USD,0.6251152786338071,1,3.425154676,3.0,E
5,695,2025-05-05 16:00:00,EUR_CAD,0.454021783209776,0,-1.0,3.0,E
5,696,2025-05-06 20:00:00,EUR_JPY,0.6561948041225825,1,4.921994231333333,3.0,E
5,698,2025-05-09 08:00:00,NZD_USD,0.4359742061485776,0,2.0519456006666665,3.0,E
5,699,2025-05-13 00:00:00,AUD_USD,0.4235969115139799,0,1.766853674,3.0,E
5,702,2025-05-22 20:00:00,NZD_CHF,0.26325751328915165,0,-1.0,3.0,E
5,704,2025-05-23 04:00:00,NZD_CAD,0.24867706139067094,0,0.014474507266666667,3.0,E
5,705,2025-05-23 20:00:00,CAD_JPY,0.5887614110510334,1,3.6582651959999994,3.0,E
5,706,2025-05-26 12:00:00,USD_JPY,0.5349283047984366,0,2.784874620666667,3.0,E
5,707,2025-05-29 12:00:00,EUR_CAD,0.6043271259891417,1,3.0525210806666667,3.0,E
6,708,2025-05-30 04:00:00,AUD_CHF,0.2725453965772435,0,-1.0,3.0,E
6,713,2025-06-09 16:00:00,EUR_NZD,0.6705639638383392,1,4.8846674986666665,3.0,E
6,720,2025-07-01 04:00:00,EUR_CHF,0.367702874132109,0,-1.0,3.0,E
6,732,2025-07-30 00:00:00,GBP_NZD,0.5942498155311275,1,4.268208964666666,3.0,E
6,735,2025-07-31 04:00:00,AUD_CAD,0.3530408904395431,0,3.4452764719999998,3.0,E
6,737,2025-08-01 04:00:00,AUD_NZD,0.4536134607351713,0,8.460058186666666,3.0,E
6,741,2025-08-04 08:00:00,CAD_JPY,0.4635445150560356,0,-1.0,3.0,E
6,742,2025-08-14 16:00:00,USD_JPY,0.7204515082456727,1,-1.0,3.0,E
6,743,2025-08-21 20:00:00,AUD_CHF,0.4328068290177452,0,-1.0,3.0,E
6,744,2025-08-22 20:00:00,AUD_USD,0.6063921400097717,1,0.09659544406666666,3.0,E
6,745,2025-08-29 08:00:00,USD_CAD,0.3268595326149001,0,4.298950319999999,3.0,E
6,747,2025-08-29 16:00:00,GBP_JPY,0.6337038097434133,1,3.9250645486666667,3.0,E
6,748,2025-09-03 00:00:00,GBP_USD,0.40263557673546685,0,-1.0,3.0,E
6,755,2025-09-16 20:00:00,EUR_NZD,0.35945405307487177,0,5.146818931333333,3.0,E
7,757,2025-09-18 00:00:00,CAD_JPY,0.6149522133815669,1,-1.0,3.0,E
7,763,2025-10-01 08:00:00,GBP_AUD,0.44186759886590316,0,-1.0,3.0,E
7,764,2025-10-01 20:00:00,CHF_JPY,0.2916760039154643,0,6.926699226666667,3.0,E
7,772,2025-10-21 16:00:00,USD_CHF,0.46258084145521766,0,-1.0,3.0,E
7,773,2025-10-22 04:00:00,EUR_GBP,0.35203301034670287,0,1.89546032,3.0,E
7,777,2025-11-05 08:00:00,CAD_JPY,0.5534796786204523,1,5.832879476666666,3.0,E
7,778,2025-11-05 12:00:00,EUR_CAD,0.5619169205901271,1,-1.0,3.0,E
7,779,2025-11-07 00:00:00,EUR_JPY,0.6738046770056003,1,5.727756666666666,3.0,E
7,781,2025-11-12 20:00:00,GBP_CAD,0.5175502144959381,0,0.78947559,3.0,E
7,784,2025-11-18 20:00:00,AUD_CHF,0.37124412043845567,0,1.2240412566666665,3.0,E
7,785,2025-11-19 16:00:00,GBP_CHF,0.5942765020004869,1,1.814904244,3.0,E
7,787,2025-11-20 16:00:00,GBP_USD,0.6657080551931044,1,3.6860453779999998,3.0,E
7,789,2025-11-25 16:00:00,AUD_USD,0.39601876283794324,0,3.4606669500000002,3.0,E
7,798,2025-12-19 04:00:00,CAD_CHF,0.40893559815882063,0,0.1828509076,3.0,E
