trade_id,fold,prob
341,2,0.2109129607
342,2,0.545136258
347,2,0.08587272433
350,2,0.7643194152
351,2,0.07398956404
352,2,0.1078648605
355,2,0.073800939
356,2,0.367756339
358,2,0.3850283204
359,2,0.1458951404
360,2,0.1291714462
363,2,0.8005477227
365,2,0.1622925828
368,2,0.1627633976
370,2,0.2686398109
374,2,0.09633629534
381,2,0.06586523268
386,2,0.06124793479
391,2,0.3846253361
392,2,0.1676533801
395,2,0.07010354595
399,2,0.536814384
403,2,0.07889762955
405,2,0.09017441842
406,2,0.08152554877
408,2,0.8709072494
409,2,0.6463808697
410,2,0.1051959646
411,2,0.3432422315
412,2,0.06581879688
415,2,0.5790228515
417,2,0.4737909887
418,2,0.08745105063
424,2,0.1004212104
436,2,0.1171538981
439,2,0.7157964502
440,2,0.1486614295
442,2,0.5956968813
444,2,0.825857348
446,2,0.7622777772
449,2,0.1449980985
450,2,0.3191438097
452,2,0.897363579
456,2,0.1004183827
457,2,0.3306040638
458,2,0.3207909851
460,2,0.7661415922
463,2,0.679727633
466,2,0.1384072098
472,2,0.3587328884
473,2,0.066512456
478,2,0.1731493167
480,2,0.3803369928
483,2,0.2182069444
485,2,0.07287866088
489,2,0.05104230565
490,2,0.0914811445
491,2,0.06497948606
496,2,0.8259949122
497,2,0.6644362103
500,2,0.105120434
507,2,0.7661880638
508,2,0.1744110027
510,2,0.1108404822
511,2,0.9009747223
514,2,0.3784267262
516,2,0.08469443084
519,2,0.1514525587
520,2,0.1187323541
522,2,0.06190779067
523,2,0.06202880243
524,2,0.0865081675
526,2,0.8624282896
527,2,0.05550194803
528,2,0.4042369479
529,2,0.4333630835
530,2,0.8035717296
532,2,0.191746881
533,2,0.06241585014
537,2,0.08335147904
538,2,0.3274735998
539,2,0.1563491764
540,2,0.05601785752
541,2,0.1397913332
543,2,0.0531688435
544,2,0.1922398032
546,2,0.1017341827
559,2,0.3518365744
560,2,0.173447578
563,2,0.05135741712
566,2,0.12866865
568,2,0.05406943515
574,2,0.08702283437
576,2,0.07743854156
577,2,0.1071190015
584,2,0.1219761585
588,2,0.3269417914
589,2,0.0594849331
590,2,0.05746559822
592,2,0.1998280904
593,2,0.1093392984
595,2,0.1104736225
599,2,0.213771304
601,2,0.9399781335
603,2,0.09273051132
604,2,0.06784531391
605,2,0.729572929
606,2,0.2015840191
608,2,0.0692615257
609,2,0.5917851808
611,2,0.3758357615
612,2,0.0802312077
613,2,0.09504261623
616,2,0.7293868783
620,2,0.8321111672
621,2,0.3614110192
623,2,0.8395439004
624,2,0.9506039048
625,2,0.1669496659
626,2,0.8818452418
627,2,0.1018583027
630,2,0.06293142854
632,2,0.07000743006
633,2,0.05453326432
634,2,0.6162488043
637,2,0.06790250633
640,2,0.09840892963
642,2,0.8510714144
644,2,0.2809191011
651,2,0.0772985231
655,2,0.144994602
656,2,0.9586234901
657,2,0.3977846132
659,2,0.4737502257
663,3,0.05002923379
674,3,0.1155772254
677,3,0.06123119755
682,3,0.05826743659
685,3,0.06457388721
689,3,0.09906905221
690,3,0.3594862169
691,3,0.1108893327
692,3,0.1477841156
696,3,0.6081003957
697,3,0.08925977607
699,3,0.4591523017
701,3,0.07328773907
702,3,0.1124675852
703,3,0.1078655031
704,3,0.1726395761
707,3,0.7472839203
708,3,0.3215067091
712,3,0.1166674799
713,3,0.06483396398
714,3,0.6243026171
716,3,0.9376085152
719,3,0.1949348384
722,3,0.2414478284
724,3,0.1157939929
725,3,0.9173309055
728,3,0.7564256551
731,3,0.05502237607
732,3,0.2300212279
733,3,0.1139310501
736,3,0.06786157876
739,3,0.0598616398
744,3,0.06966992667
746,3,0.07259594838
778,3,0.05951443235
781,3,0.07167939919
791,3,0.5243478813
793,3,0.1339286545
804,3,0.07908441084
805,3,0.904926949
806,3,0.05328773092
810,3,0.1101220709
816,3,0.4516191022
817,3,0.2507742488
822,3,0.2990099146
823,3,0.06595469338
824,3,0.07830083546
830,3,0.1525745063
839,3,0.5989670134
845,3,0.3350700289
847,3,0.06899396553
848,3,0.2787068055
849,3,0.2948746767
851,3,0.05737009356
855,3,0.3095531944
860,3,0.1517574765
863,3,0.09812628691
868,3,0.05091067996
870,3,0.1152670414
874,3,0.05445621249
876,3,0.05296351487
878,3,0.2218054177
879,3,0.197687384
882,3,0.130065513
883,3,0.3172867389
885,3,0.200568798
886,3,0.1027846845
887,3,0.1567097097
888,3,0.2814673265
889,3,0.2817855276
891,3,0.2537173003
892,3,0.5660449835
901,3,0.5239442059
905,3,0.7263550234
907,3,0.6588515814
909,3,0.2964860373
914,3,0.1831359411
920,3,0.06907898457
921,3,0.1308167046
925,3,0.1782333365
931,3,0.852660065
933,3,0.08165399145
940,3,0.08764948076
944,3,0.08412637545
948,3,0.2430966523
951,3,0.6111633327
952,3,0.1133682394
956,3,0.05358868063
961,3,0.11604584
963,3,0.09467770446
971,3,0.07270395451
976,3,0.1840084833
977,3,0.7776476749
978,3,0.08711451221
983,3,0.05527785758
985,3,0.05086325704
991,3,0.1183632553
996,4,0.3617772742
