trade_id,fold,prob
341,2,0.1139228345
342,2,0.7355621657
345,2,0.1635542707
346,2,0.07893097259
347,2,0.06063833404
350,2,0.5122850321
351,2,0.6413641022
352,2,0.1932452384
355,2,0.14070861
363,2,0.7922769064
370,2,0.2689652091
371,2,0.2631327186
374,2,0.614777237
375,2,0.4359936354
381,2,0.3171647528
382,2,0.3788454428
384,2,0.08297874477
386,2,0.1860461778
391,2,0.8279226097
392,2,0.1357761556
393,2,0.127835411
399,2,0.294674767
401,2,0.1847476191
402,2,0.7127567216
405,2,0.1650919015
408,2,0.9653452505
409,2,0.2446783357
410,2,0.9336685086
411,2,0.9654885342
412,2,0.9543363364
413,2,0.0825124595
414,2,0.1686350034
415,2,0.9859940992
417,2,0.725605726
418,2,0.191522272
422,2,0.09314521207
435,2,0.1784770215
440,2,0.06250164171
442,2,0.9517903063
444,2,0.9929714118
452,2,0.6622449546
456,2,0.1086360241
457,2,0.2084870664
458,2,0.07113387184
460,2,0.5677502893
466,2,0.2743744468
471,2,0.6897689209
477,2,0.3684680651
481,2,0.6298133967
485,2,0.1014413433
486,2,0.8975096036
487,2,0.0630243983
489,2,0.377216158
490,2,0.4894337068
493,2,0.1815230408
496,2,0.3920330096
500,2,0.09112358717
514,2,0.9238294364
522,2,0.09167771131
529,2,0.08576365264
530,2,0.06894122521
532,2,0.8507627207
533,2,0.7822589607
534,2,0.8874031317
535,2,0.5710725305
537,2,0.5053355201
538,2,0.9807756111
539,2,0.3297443026
541,2,0.8499726358
544,2,0.9003768092
545,2,0.7542552467
546,2,0.1318290643
550,2,0.8351646879
557,2,0.070329047
563,2,0.06783908412
565,2,0.2696007645
569,2,0.7635507468
572,2,0.0536300546
575,2,0.09169189455
583,2,0.1297035529
586,2,0.8845890217
588,2,0.9933841421
589,2,0.6762609712
590,2,0.4222154795
592,2,0.5088215444
593,2,0.2985729569
595,2,0.09297412033
599,2,0.2831835323
601,2,0.9407177123
604,2,0.2131799905
605,2,0.5401900107
608,2,0.3706658601
609,2,0.8517363498
613,2,0.05394005936
615,2,0.2406633174
618,2,0.1475339365
620,2,0.1248509091
621,2,0.05604747896
623,2,0.392931433
624,2,0.8333409394
627,2,0.05862210646
632,2,0.6690338472
633,2,0.4991261408
634,2,0.6945437784
637,2,0.1230453969
639,2,0.5101616804
644,2,0.9199597641
645,2,0.1633877739
651,2,0.6492289452
656,2,0.1165950682
657,2,0.5724109887
663,3,0.06838484452
668,3,0.6295063941
671,3,0.05769211373
678,3,0.08344888362
685,3,0.09363760718
686,3,0.2628276425
693,3,0.9247190832
696,3,0.470055419
704,3,0.9112626971
714,3,0.497515252
716,3,0.9565907463
720,3,0.7926069083
722,3,0.2176589265
723,3,0.8104162253
724,3,0.08250529392
725,3,0.7535238244
727,3,0.07675655718
728,3,0.2566384337
730,3,0.2433941976
