fold,date,n_trades,equity_start_of_day,intraday_peak,intraday_trough,intraday_running_peak_to_trough_dd_pct,day_start_to_low_dd_pct,day_dd_pct,net_day_pnl_dollars,trade_ids_in_day
2,2021-10-27,1,14502.97357,14502.97357,14278.37459,1.548640959,1.548640959,1.548640959,-224.598989,471
2,2021-07-08,1,10000,10000,9846.456569,1.535434309,1.535434309,1.535434309,-153.543431,342
2,2021-11-08,1,14403.61321,14403.61321,14183.4087,1.528814375,1.528814375,1.528814375,-220.2045092,490
2,2021-12-14,1,15152.33925,15152.33925,14920.90583,1.527377519,1.527377519,1.527377519,-231.4334232,544
2,2022-03-23,1,20384.62392,20384.62392,20073.33538,1.527075208,1.527075208,1.527075208,-311.2885382,651
2,2021-12-06,1,14907.49565,14907.49565,14680.34015,1.523767025,1.523767025,1.523767025,-227.1555029,533
2,2021-08-10,1,10620.08447,10620.08447,10459.27975,1.514156645,1.514156645,1.514156645,-160.8047146,374
2,2022-02-24,1,18807.70355,18807.70355,18523.14016,1.513015094,1.513015094,1.513015094,-284.5633935,605
2,2022-03-18,1,20697.17042,20697.17042,20384.62392,1.510092876,1.510092876,1.510092876,-312.546496,644
2,2022-03-02,1,18523.14016,18523.14016,18244.28184,1.5054592,1.5054592,1.5054592,-278.8583178,624
2,2022-02-04,2,17569.50785,17761.71267,17569.50785,0.02365654436,0,0.02365654436,188.0030148,"589,590"
2,2021-08-24,1,11082.06562,11116.49216,11082.06562,0,0,0,34.42653457,415
2,2021-08-17,1,10701.06181,11082.06562,10701.06181,0,0,0,381.0038158,402
2,2021-08-13,1,10459.27975,10701.06181,10459.27975,0,0,0,241.7820571,391
2,2021-07-29,1,10339.15021,10620.08447,10339.15021,0,0,0,280.9342583,375
2,2021-07-21,1,9976.481648,10339.15021,9976.481648,0,0,0,362.6685601,363
2,2021-07-15,1,9947.382639,9976.481648,9947.382639,0,0,0,29.09900857,351
2,2021-07-13,1,9846.456569,9947.382639,9846.456569,0,0,0,100.9260703,350
2,2021-08-26,1,11116.49216,11414.55559,11116.49216,0,0,0,298.0634354,412
2,2021-10-21,1,14029.16871,14502.97357,14029.16871,0,0,0,473.8048623,460
2,2021-09-28,1,13496.75843,13954.4619,13496.75843,0,0,0,457.7034723,444
2,2021-10-06,1,13954.4619,14029.16871,13954.4619,0,0,0,74.70681386,452
2,2021-08-27,1,11414.55559,11676.6242,11414.55559,0,0,0,262.0686028,411
2,2021-08-31,1,11676.6242,11860.58528,11676.6242,0,0,0,183.9610845,417
2,2021-09-07,1,11860.58528,12671.06726,11860.58528,0,0,0,810.4819758,410
2,2021-09-08,1,12671.06726,13450.47143,12671.06726,0,0,0,779.4041684,408
2,2021-12-09,3,14680.34015,15152.33925,14680.34015,0,0,0,471.9991019,"534,537,538"
2,2021-11-29,1,14183.4087,14907.49565,14183.4087,0,0,0,724.0869487,514
2,2021-11-03,1,14278.37459,14347.79404,14278.37459,0,0,0,69.41945261,481
2,2021-11-04,1,14347.79404,14403.61321,14347.79404,0,0,0,55.81917397,486
2,2021-09-24,1,13450.47143,13496.75843,13450.47143,0,0,0,46.28699966,442
2,2021-12-16,3,14920.90583,15802.14796,14920.90583,0,0,0,881.2421324,"541,535,545"
2,2022-01-07,1,16213.49165,16750.36138,16213.49165,0,0,0,536.8697258,532
2,2021-12-27,1,15802.14796,16213.49165,15802.14796,0,0,0,411.3436919,550
2,2022-02-11,1,18325.01649,18583.00699,18325.01649,0,0,0,257.9905034,601
2,2022-02-10,1,17757.51086,18325.01649,17757.51086,0,0,0,567.5056255,592
2,2022-02-03,2,16888.03955,17569.50785,16888.03955,0,0,0,681.4682983,"588,586"
2,2022-01-13,1,16750.36138,16888.03955,16750.36138,0,0,0,137.678172,569
2,2022-03-10,1,18244.28184,18402.06596,18244.28184,0,0,0,157.784114,633
2,2022-02-22,1,18583.00699,18807.70355,18583.00699,0,0,0,224.6965626,609
2,2022-03-15,3,18402.06596,20697.17042,18402.06596,0,0,0,2295.104459,"632,634,639"
