trade_id,pair,signal_bar_time,entry_time,entry_price,sl_at_entry_price,exit_time,exit_price,exit_reason,final_r,bars_held,mfe_r,mae_r,spread_pips_used,spread_pips_exit,time_to_peak_mfe,calendar_year,num_higher_highs,num_higher_lows,most_recent_sh_price,most_recent_sh_age,most_recent_sl_price,most_recent_sl_age,hh_range_atr,hl_range_atr,pullback_depth_atr,trigger_body_atr,trigger_close_pos,trigger_break_size_atr
19,AUD_CHF,2020-10-26 08:00:00,2020-10-26 12:00:00,0.64728,0.6428967294,2020-10-28 16:00:00,0.6428267294,stoploss,-1.01596981,14,6.362828713,-1.633483456,1.4,1.4,11,2020,2,2,0.6475,8,0.64323,4,1.06769589,2.806123814,1.920814732,1.587855426,0.8549019608,1.200017176
20,NZD_USD,2020-10-26 08:00:00,2020-10-26 12:00:00,0.669525,0.6651260172,2020-10-28 12:00:00,0.6650710172,stoploss,-1.01250289,13,10.8240932,-2.417604352,1.1,1.1,7,2020,3,2,0.67046,5,0.66559,6,2.664252281,4.691993777,0.9166911211,0.463743571,0.9259259259,0.1954997407
21,NZD_CHF,2020-10-27 08:00:00,2020-10-27 12:00:00,0.607905,0.6043383131,2020-10-28 16:00:00,0.6042533131,stoploss,-1.02383164,8,8.684530163,-1.173357828,1.7,1.7,5,2020,2,3,0.60755,6,0.60395,6,0.5719593715,5.074737561,0.7294919421,0.8803688365,0.9555555556,0.4766328096
22,AUD_CAD,2020-10-28 00:00:00,2020-10-28 04:00:00,0.940675,0.9360900246,2020-10-29 16:00:00,0.9359950246,stoploss,-1.02071985,10,7.632538271,-2.356610259,1.9,1.9,1,2020,3,3,0.94151,8,0.93355,14,2.185398871,3.84734891,1.060251142,0.6586731127,0.9130434783,0.2922589308
23,USD_CHF,2020-10-29 08:00:00,2020-10-29 12:00:00,0.911885,0.9080698196,2020-11-05 08:00:00,0.9080248196,stoploss,-1.011794986,30,2.320991169,-7.76241146,0.9,0.9,13,2020,2,2,0.91276,5,0.90614,12,1.871471141,1.436367206,1.947008311,1.373460613,0.9641693811,0.6972147386
24,USD_CAD,2020-10-30 04:00:00,2020-10-30 08:00:00,1.333165,1.325670792,2020-11-02 16:00:00,1.325605792,stoploss,-1.008673365,9,0.511728508,-8.587298079,1.3,1.3,4,2020,3,3,1.33896,4,1.32777,5,4.395394277,4.502143379,2.438874849,0.8433179063,0.8720379147,0.1174240123
25,AUD_JPY,2020-11-05 08:00:00,2020-11-05 12:00:00,75.1885,74.30632475,2021-01-04 12:00:00,79.444,time_exit,4.82387147,240,5.217217352,-0.3292996503,0.9,0.8,234,2020,3,5,75.471,8,74.066,6,3.672739646,2.112958858,1.612570235,0.9385890206,0.8492366412,0.7118766968
26,AUD_NZD,2020-11-05 16:00:00,2020-11-05 20:00:00,1.074755,1.06920742,2020-11-09 04:00:00,1.06910242,stoploss,-1.018927173,9,0.2009885465,-5.962059349,2.1,2.1,1,2020,2,5,1.07371,5,1.06505,9,3.731356872,2.188341663,0.5010984394,0.8147697131,0.8976377953,0.5660125883
27,NZD_JPY,2020-11-06 00:00:00,2020-11-06 04:00:00,70.276,69.62338285,2021-01-05 04:00:00,74.01,time_exit,5.72157815,240,6.670066869,-0.5899324017,1,1,230,2020,2,3,70.47,12,69.432,10,2.384246278,1.706973235,1.440547902,0.7508230567,0.876344086,0.2359729607
28,EUR_JPY,2020-11-09 00:00:00,2020-11-09 04:00:00,122.844,122.1250226,2021-01-06 04:00:00,126.293,time_exit,4.797091139,240,6.103112763,-0.02225382958,1.4,1.4,212,2020,3,3,123.184,9,122.219,5,2.876307474,1.368610519,1.189951941,0.1891575515,0.7813953488,0.1835940941
29,NZD_CHF,2020-11-09 00:00:00,2020-11-09 04:00:00,0.612345,0.6075043165,2021-01-06 04:00:00,0.637355,time_exit,5.166625701,240,5.481663854,-0.1601013562,1.7,1.7,96,2020,2,2,0.61394,6,0.60619,16,0.3057419448,0.7560915661,1.822622749,1.251889314,0.8657142857,0.8924359468
30,NZD_USD,2020-11-09 00:00:00,2020-11-09 04:00:00,0.680485,0.6738387008,2021-01-06 04:00:00,0.725105,time_exit,6.713510618,240,7.034742021,-0.1436889879,1.1,1.1,240,2020,2,2,0.68021,4,0.66136,17,1.766396563,0.7432707856,0.916008714,0.5807743386,0.7119205298,0.6229030471
