trade_id,selected_SL,final_r_X,peak_mfe_X,peak_mfe_atr,reached_1R_X,wrong_way_pre_peak_X,mono_pre_peak_X,sl_triggered,truncated_at_bar,peak_mfe_bar_X
227,2,-1,2.926149149,5.852298298,1,0,0.6666666667,1,52,17
232,2,-1,1.758224335,3.51644867,1,0,0.6428571429,1,99,34
236,2,-1,0.2263014314,0.4526028628,0,0,0.75,1,12,6
240,2,-1,0.7620139027,1.524027805,0,0,0.6666666667,1,16,5
241,2,-1,0.5874495702,1.17489914,0,0,1,1,24,3
245,2,-1,1.728045507,3.456091014,1,0,0.5172413793,1,68,31
249,2,-1,0.5302344452,1.06046889,0,0,0.6666666667,1,16,6
251,2,-1,0.1577050797,0.3154101594,0,0,1,1,13,10
253,2,-1,0.3254899904,0.6509799808,0,0,0.75,1,27,7
254,2,-1,0.2729739897,0.5459479794,0,0,1,1,11,3
257,2,-1,1.825335392,3.650670784,1,0,0.6774193548,1,98,32
259,2,-1,0.4377872598,0.8755745196,0,0,0.6666666667,1,29,17
260,2,-1,0.8056764752,1.61135295,0,0,0.6,1,30,10
264,2,-1,1.185348961,2.370697922,1,0,0.5,1,71,14
265,2,-1,0.509740071,1.019480142,0,0,1,1,6,3
269,2,4.482419295,4.684842972,9.369685944,1,0,0.5223214286,0,240,234
274,2,-1,0.6375386041,1.275077208,0,0,0.7142857143,1,23,7
276,2,-1,1.013648743,2.027297486,1,0,0.4736842105,1,36,19
281,2,-1,1.502010583,3.004021166,1,0,1,1,34,6
282,2,-1,0.3176389985,0.635277997,0,0,1,1,34,1
284,2,-1,0.124460835,0.24892167,0,0,0.5,1,10,6
285,2,-1,1.089440381,2.178880762,1,0,0.6666666667,1,21,8
286,2,-1,0.3000571187,0.6001142374,0,0,0,1,20,6
287,2,-1,0.382665811,0.765331622,0,0,1,1,6,2
288,2,-1,4.163152139,8.326304278,1,0,0.7142857143,1,83,14
290,2,-1,0.376464127,0.752928254,0,0,0.6666666667,1,32,16
293,2,-1,0.1950851756,0.3901703512,0,0,1,1,22,7
296,2,-1,0.9257934589,1.851586918,0,0,1,1,27,5
297,2,-1,0.6927256774,1.385451355,0,0,0.75,1,35,16
300,2,-1,1.426109688,2.852219376,1,0,1,1,19,6
304,2,-1,1.058142928,2.116285856,1,0,1,1,27,11
307,2,-1,1.250703274,2.501406548,1,0,0.75,1,58,7
312,2,-1,1.012145881,2.024291762,1,0,1,1,23,3
313,2,-1,1.342248413,2.684496826,1,0,1,1,15,4
314,2,-1,0.1715163478,0.3430326956,0,0,0.5,1,16,8
315,2,-1,0.9486981025,1.897396205,0,0,0.5454545455,1,59,12
317,2,-1,0.522983154,1.045966308,0,0,1,1,14,3
320,2,-1,0.7601294926,1.520258985,0,0,0.4285714286,1,37,15
321,2,-1,1.234062156,2.468124312,1,0,0.52,1,38,27
324,2,-1,0.5613707452,1.12274149,0,0,1,1,25,1
325,2,-1,3.26307695,6.5261539,1,0,0.8095238095,1,80,29
326,2,-1,0.7901750417,1.580350083,0,0,1,1,13,1
328,2,-1,0.5023490199,1.00469804,0,0,0.75,1,19,5
331,2,-1,1.51872383,3.03744766,1,0,0.6428571429,1,68,17
334,2,-1,1.230558957,2.461117914,1,0,0.8333333333,1,35,12
338,2,-1,0.4908831261,0.9817662522,0,0,1,1,3,1
339,2,-1,1.18062286,2.36124572,1,0,0.5769230769,1,37,27
340,2,-1,1.894935439,3.789870878,1,0,1,1,11,1
342,2,-1,0.5551052589,1.110210518,0,0,0.625,1,19,8
344,2,-1,0.6311831924,1.262366385,0,0,0.5,1,6,3
345,2,-1,0.1616077539,0.3232155078,0,0,0.5,1,15,10
355,2,-1,2.027796387,4.055592774,1,0,1,1,30,2
356,2,-1,2.244107364,4.488214728,1,0,0.7272727273,1,98,11
359,2,-1,0.2223681005,0.444736201,0,0,0.6666666667,1,15,11
360,2,-1,0.5065501926,1.013100385,0,0,0.5,1,9,4
362,2,-1,2.217596729,4.435193458,1,0,0.5,1,42,20
364,2,-1,0.5051918515,1.010383703,0,0,0.5,1,44,30
366,2,-1,0.4696557049,0.9393114098,0,0,0.75,1,30,13
369,2,-1,0.005707281787,0.01141456357,0,0,1,1,17,10
373,2,-1,0.4396264681,0.8792529362,0,0,0.7142857143,1,15,8
376,2,-1,0.2501685607,0.5003371214,0,0,0,1,34,9
377,2,-1,0.6572027257,1.314405451,0,0,0.6666666667,1,38,15
378,2,-1,1.777325248,3.554650496,1,0,0.7777777778,1,61,16
379,2,-1,0.3326335757,0.6652671514,0,0,0.6666666667,1,21,7
384,2,-1,1.734949092,3.469898184,1,0,0.6363636364,1,59,11
385,2,-1,0.8527416726,1.705483345,0,0,1,1,5,1
386,2,-1,2.663396405,5.32679281,1,0,0.6046511628,1,127,43
390,2,-1,0.8229673211,1.645934642,0,0,1,1,3,2
394,2,-1,0.8693001625,1.738600325,0,0,0.5,1,17,13
395,2,-1,0.3441263934,0.6882527868,0,0,0.4,1,29,15
398,2,-1,1.031252074,2.062504148,1,0,1,1,19,4
401,2,-1,0.6925766419,1.385153284,0,0,1,1,8,1
402,2,-1,0.5022425514,1.004485103,0,0,0.5714285714,1,16,10
405,2,-1,1.686373706,3.372747412,1,0,0.8888888889,1,23,10
407,2,0.7968411327,4.848618924,9.697237848,1,0,0.6285714286,0,240,35
408,2,-1,2.037504463,4.075008926,1,0,0.8571428571,1,99,14
412,2,-1,2.748573614,5.497147228,1,0,0.5925925926,1,63,30
413,2,-1,0.8374797532,1.674959506,0,0,0.5454545455,1,74,33
415,2,-1,0.3210628066,0.6421256132,0,0,1,1,6,2
418,2,-1,0.9195564205,1.839112841,0,0,0.8333333333,1,19,11
420,2,-1,1.925445027,3.850890054,1,0,0.7272727273,1,28,16
422,2,-1,0.03151690837,0.06303381674,0,0,1,1,10,1
424,2,-1,0.7232136808,1.446427362,0,0,0.3333333333,1,7,3
425,2,-1,0.3429487514,0.6858975028,0,0,1,1,9,1
426,2,-1,1.2711491,2.5422982,1,0,0.5714285714,1,33,24
430,2,-1,0.9951510019,1.990302004,0,0,1,1,26,10
435,2,-1,0.3334595402,0.6669190804,0,0,1,1,2,1
439,2,-1,3.047962496,6.095924992,1,0,0.6666666667,1,102,33
441,2,-1,1.064185418,2.128370836,1,0,1,1,10,1
442,2,-1,0.3142184333,0.6284368666,0,0,1,1,12,1
445,2,4.007762522,5.577300444,11.15460089,1,0,0.5342465753,0,240,146
447,2,-1,1.828139526,3.656279052,1,0,0.6666666667,1,188,21
448,2,-1,0.5570079568,1.114015914,0,0,1,1,47,19
449,2,-1,0.4350990589,0.8701981178,0,0,0.6666666667,1,23,7
455,2,-1,0.528154556,1.056309112,0,0,0.6666666667,1,17,14
459,2,-1,2.046297289,4.092594578,1,0,0.4782608696,1,73,25
473,2,-1,0.9479883675,1.895976735,0,0,0.5714285714,1,74,24
481,2,-1,0.3941699732,0.7883399464,0,0,0,1,19,5
482,2,-1,2.666154762,5.332309524,1,0,0.6538461538,1,59,26
483,2,-1,0.2678641801,0.5357283602,0,0,1,1,10,3
484,2,-1,0.4856071167,0.9712142334,0,0,1,1,7,3
486,2,-1,0.3104311081,0.6208622162,0,0,0,1,9,2
491,2,-1,0.4436747854,0.8873495708,0,0,1,1,26,3
495,2,-1,1.069637764,2.139275528,1,0,0.5652173913,1,46,29
497,2,-1,2.229902229,4.459804458,1,0,0.625,1,37,10
500,2,-1,0.7983742856,1.596748571,0,0,0.6,1,19,7
502,2,-1,1.236579543,2.473159086,1,0,0.7142857143,1,37,19
504,2,-1,1.270940205,2.54188041,1,0,0.6666666667,1,16,3
514,2,-1,0.3738227526,0.7476455052,0,0,0.5,1,17,2
515,2,-1,0.3562669627,0.7125339254,0,0,1,1,13,9
517,2,-1,0.195544289,0.391088578,0,0,1,1,10,3
520,2,-1,1.270018015,2.54003603,1,0,1,1,15,2
522,2,-1,1.429246465,2.85849293,1,0,0.6923076923,1,61,13
523,2,-1,0.6586127816,1.317225563,0,0,0.8,1,15,6
524,2,-1,1.136794136,2.273588272,1,0,0.5,1,40,8
528,2,-1,0.8591213768,1.718242754,0,0,0.75,1,32,13
536,2,-1,1.021025532,2.042051064,1,0,1,1,16,5
537,2,-1,0.5187233004,1.037446601,0,0,0.75,1,8,4
538,2,-1,0.1178250809,0.2356501618,0,0,0.6666666667,1,8,4
541,2,-1,0.4728003747,0.9456007494,0,0,1,1,6,2
542,2,-1,0.3295268651,0.6590537302,0,0,1,1,11,1
546,2,-1,0.1916036648,0.3832073296,0,0,0.5,1,8,2
