cluster_id,classifier,fold,auc,threshold_auc_best,precision_at_threshold,recall_at_threshold,n_admit_at_threshold
0,lgbm,1,0.4639449844591973,0.31891683515333197,0.17142857142857143,0.024128686327077747,210
0,lgbm,2,0.5444776120511556,0.07872887515419842,0.12220362197534622,0.6229635376260667,6571
0,lgbm,3,0.4689031738064878,0.016939690101206276,0.13351521868872027,1.0,11729
0,lgbm,4,0.5046072260293664,0.09899251879713579,0.12920276024078697,0.6006825938566553,6811
0,lgbm,5,0.5045699079031645,0.10713152131144,0.1078894133513149,0.528052805280528,5932
0,lr,1,0.46136034768259593,0.05523698100739775,0.12810027558005155,0.9658176943699732,11249
0,lr,2,0.5424342143133284,0.10680570175217778,0.12541620421753608,0.6136539953452289,6307
0,lr,3,0.4562042865052306,0.06688345237646433,0.13372093023255813,0.9987228607918263,11696
0,lr,4,0.5318657133351746,0.1220281282258176,0.14216216216216215,0.3590443686006826,3700
0,lr,5,0.5210861040485344,0.131651397061019,0.1309823677581864,0.2145214521452145,1985
0,rf,1,0.4567110640986779,0.01933622617749028,0.1277325332190313,0.9986595174262735,11665
0,rf,2,0.5676094181313251,0.11505376079237037,0.1290924512298558,0.5903801396431342,5895
0,rf,3,0.45738496201239365,0.19664353776753618,0.22448979591836735,0.0140485312899106,98
0,rf,4,0.5167064663620287,0.12592884684505343,0.14705882352941177,0.2627986348122867,2618
0,rf,5,0.5313183190586689,0.13235637113376408,0.13553795994410806,0.2400990099009901,2147
1,lgbm,1,0.49323166318627343,0.10262213520950929,0.3062015503875969,0.9701367569076194,11352
1,lgbm,2,0.4947735905358099,0.4955582544597327,0.37243947858473,0.051907604464053986,537
1,lgbm,3,0.5126637378374594,0.3177887320909878,0.35988548332771975,0.5221109210847789,5938
1,lgbm,4,0.4961145849147696,0.49411226885691656,0.36710963455149503,0.05602027883396705,602
1,lgbm,5,0.49688711629452154,0.3100325508847038,0.3692501575299307,0.6796566921827882,7935
1,lr,1,0.497356123514738,0.3532868274829719,0.36674528301886794,0.08679877197878873,848
1,lr,2,0.4887943034549118,0.3581579335859492,0.3474842767295597,0.057357902932779654,636
1,lr,3,0.5399048103329048,0.29805156360012663,0.3692596063730084,0.770095284632299,8536
1,lr,4,0.5012134853985529,0.3008434642593881,0.3402337228714524,0.7749049429657795,8985
1,lr,5,0.5073713257392771,0.3467578015019467,0.3978152025489304,0.20273718394803988,2197
1,rf,1,0.5129183384247503,0.33234438637646646,0.3372365339578454,0.24113871057772815,2562
1,rf,2,0.5031814566620078,0.28957075966026435,0.33548653106102255,0.6335323124837788,7276
1,rf,3,0.5247322165105608,0.3141651737632952,0.3646250715512307,0.6225262643537748,6988
1,rf,4,0.5021794897454586,0.3440615173574081,0.3456561922365989,0.2370088719898606,2705
1,rf,5,0.5119073723507216,0.32772314582941225,0.38019489825164804,0.6154024588262584,6978
