trade_id,pair,signal_time,entry_time,entry_price,initial_sl_price,exit_time,exit_price,exit_reason,bars_held,final_r,mfe_r,mae_r,time_to_peak_mfe,spread_pips_entry,spread_pips_exit,calendar_year
30,CAD_CHF,2021-03-19 02:00:00,2021-03-19 03:00:00,0.742385,0.7388334553,2021-03-22 16:00:00,0.7387734553,stoploss,37,-1.016894057,0.61522525,-1.330407005,9,1.5,1.2,2021
31,USD_CHF,2021-03-19 02:00:00,2021-03-19 03:00:00,0.928105,0.9236029732,2021-03-22 17:00:00,0.9235979732,stoploss,38,-1.001110611,0.8629446645,-1.296082913,12,0.1,0.1,2021
32,NZD_CAD,2021-03-19 20:00:00,2021-03-19 21:00:00,0.89593,0.89206576,2021-03-23 02:00:00,0.89199076,stoploss,29,-1.019408733,0.9238556688,-1.400016574,19,1.2,1.5,2021
33,USD_CHF,2021-03-22 18:00:00,2021-03-22 19:00:00,0.923095,0.9185792626,2021-03-29 20:00:00,0.938035,time_exit,120,3.308429775,4.142180651,-0.1361903823,91,0.1,0.1,2021
34,AUD_CAD,2021-03-24 00:00:00,2021-03-24 01:00:00,0.95974,0.955488967,2021-03-24 19:00:00,0.955478967,stoploss,19,-1.002352369,0.01411421644,-1.100908882,0,0.4,0.2,2021
35,CHF_JPY,2021-03-24 00:00:00,2021-03-24 01:00:00,116.289,115.8336496,2021-03-31 02:00:00,117.1395,time_exit,120,1.867792387,2.024814321,-0.8367182825,109,0.2,0.7,2021
36,NZD_CAD,2021-03-24 00:00:00,2021-03-24 01:00:00,0.881145,0.8760878036,2021-03-24 15:00:00,0.8760028036,stoploss,15,-1.016807732,0.03262677302,-1.201258461,0,1.5,1.7,2021
37,NZD_USD,2021-03-24 00:00:00,2021-03-24 01:00:00,0.70012,0.6953792324,2021-03-25 16:00:00,0.6953692324,stoploss,40,-1.002109363,0.04640598701,-1.037806619,0,0.2,0.2,2021
38,NZD_CAD,2021-03-24 16:00:00,2021-03-24 17:00:00,0.875545,0.8713054064,2021-03-31 18:00:00,0.88007,time_exit,120,1.067319288,2.211296868,-0.5035860068,84,1.5,1.4,2021
39,AUD_CAD,2021-03-24 20:00:00,2021-03-24 21:00:00,0.95451,0.9506540385,2021-03-31 22:00:00,0.95516,time_exit,120,0.1685701463,2.541519128,-0.5057104388,80,0.2,0.6,2021
40,CHF_JPY,2021-03-31 03:00:00,2021-03-31 04:00:00,117.414,116.999717,2021-04-01 10:00:00,116.999217,stoploss,31,-1.001206905,0.6275903923,-1.153800798,13,0.2,0.1,2021
41,CHF_JPY,2021-04-02 00:00:00,2021-04-02 01:00:00,117.3335,116.8964346,2021-04-09 01:00:00,118.1805,time_exit,120,1.93792503,2.35319468,-0.4152696493,87,0.9,0.5,2021
42,CAD_JPY,2021-04-22 00:00:00,2021-04-22 01:00:00,86.443,85.94207098,2021-04-29 01:00:00,88.127,time_exit,120,3.361753717,3.659201047,-0.8703827913,116,0.6,0.8,2021
43,EUR_CAD,2021-04-22 00:00:00,2021-04-22 01:00:00,1.504165,1.496996861,2021-04-26 17:00:00,1.496986861,stoploss,65,-1.001395062,0.8419201113,-1.055364647,43,0.9,0.2,2021
