percentile,fwd_mfe_h240_R
1,0.06391654193401337
5,0.33872709274291996
10,0.6638930082321168
20,1.3500009775161743
30,2.0035739898681637
40,2.653073930740357
50,3.3589749336242676
60,4.148785877227782
70,5.030470085144041
80,6.260910034179688
90,8.047729873657227
95,9.626439666748047
99,13.344207725524901
