cluster_id,classifier,fold,auc,threshold_auc_best,precision_at_threshold,recall_at_threshold,n_admit_at_threshold
0,lgbm,1,0.7252265665893755,0.04702176282286327,0.21316695352839932,0.9033552151714077,11620
0,lgbm,2,0.7245295690768293,0.09093955300639006,0.25088999644001425,0.870330348873109,11236
0,lgbm,3,0.7459437177645667,0.0856793705211642,0.24484763079091068,0.9111766633890528,11354
0,lgbm,4,0.7347046361175079,0.10427057101413383,0.2299258037922506,0.9278110445775116,12130
0,lgbm,5,0.7335543504112487,0.11706991512110769,0.2723729218041524,0.9401427786930258,12571
0,lr,1,0.7479629602408937,0.17790583347340855,0.24070854162138666,0.8078045222465354,9202
0,lr,2,0.7271028287904906,0.1268855803200206,0.2547793460782562,0.8805186786045076,11194
0,lr,3,0.7432381621149959,0.1378114504809399,0.2533456391324412,0.8997050147492626,10835
0,lr,4,0.7288095369389145,0.14163171639891875,0.23377063055438002,0.9188290086493679,11815
0,lr,5,0.7268144432531831,0.14784247892212546,0.2727125243348475,0.9231191652937946,12328
0,rf,1,0.7397494957643541,0.14630916690300527,0.2195143566111308,0.9033552151714077,11284
0,rf,2,0.7281580956186928,0.15442265361906807,0.26112222539773267,0.8462488422352578,10497
0,rf,3,0.7547830285885536,0.13306805290634002,0.25115688231557937,0.9072435267125533,11021
0,rf,4,0.7493323375212354,0.17816221784889075,0.2443843787864666,0.872255489021956,10729
0,rf,5,0.7300892365183899,0.13568149335185853,0.27266865479164987,0.92888522789676,12407
1,lgbm,1,0.5329667848699121,0.20300790795840418,0.32715599007733837,0.7103929024081115,13706
1,lgbm,2,0.5247251170799724,0.28825130799532006,0.33841836367561345,0.7148502811977504,13897
1,lgbm,3,0.5444058310242367,0.30952921340704886,0.3353781438962405,0.6090070019096118,11411
1,lgbm,4,0.5282653348427246,0.2900881464220891,0.31779369232888033,0.7518735744542197,14522
1,lgbm,5,0.5417948657594374,0.3274311873103068,0.32700676982591875,0.4526439089692102,8272
1,lr,1,0.5487607743983344,0.27311629312102303,0.3459885386819484,0.5356463878326996,9772
1,lr,2,0.5190113677575539,0.24957652481160716,0.33511979823455235,0.807873537011704,15860
1,lr,3,0.5384702427011547,0.282639385714107,0.3300913208107506,0.707511139401655,13469
1,lr,4,0.5387617725735513,0.30461033178988445,0.32686226282501757,0.6062235255783643,11384
1,lr,5,0.5193408413634069,0.3056408374315635,0.3075117370892019,0.5480254350736279,10650
1,rf,1,0.5537157139954164,0.27322821247554485,0.35796365579903794,0.4244296577946768,7484
1,rf,2,0.5244735258229813,0.2955766229214821,0.34150836404876667,0.7323301413588691,14108
1,rf,3,0.5541363709316356,0.30949689775192124,0.3421484588728798,0.5970719287078294,10966
1,rf,4,0.5406235161044276,0.31430062969665057,0.32954860149543064,0.581622678396872,10833
1,rf,5,0.5283636055992507,0.31991291998844723,0.321635771897552,0.38035475234270416,7067
