t,n_total,n_eligible,eligibility_pct,oof_accuracy_4class,c1_auc_one_vs_rest,c1_precision_at_recall_060,c1_precision_default_thr,c1_recall_default_thr,c1_f1_default_thr,c0_auc,c2_auc,c3_auc,c0_survivorship_pct,c1_survivorship_pct,c2_survivorship_pct,c3_survivorship_pct,error
3,1327,1314,0.9902034664657121,0.5150684931506849,0.6521307744612354,0.19577735124760076,0.14035087719298245,0.05228758169934641,0.0761904761904762,0.69797343481554,0.9387346053569051,0.6791907514450867,1.0,1.0,0.9696969696969697,1.0,
5,1327,1299,0.9788997739261492,0.5648148148148148,0.6842086708829523,0.22417582417582418,0.21666666666666667,0.08496732026143791,0.12206572769953052,0.7347047720729826,0.9661090601914463,0.7126955001496275,0.990506329113924,1.0,0.9417249417249417,1.0,
8,1327,1266,0.9540316503391107,0.6,0.7274104024462705,0.24281984334203655,0.3125,0.16339869281045752,0.2145922746781116,0.7607598039215686,0.9771231174599257,0.7521829165885355,0.9810126582278481,1.0,0.8717948717948718,1.0,
12,1327,1225,0.9231348907309721,0.6029411764705882,0.754506185403804,0.273542600896861,0.3142857142857143,0.21568627450980393,0.2558139534883721,0.7936000000000001,0.9797515999192035,0.7525299737568824,0.9651898734177216,1.0,0.7878787878787878,1.0,
