cluster,sl_atr,n_trades,size_fraction,mono_pre_peak_centroid,local_peaks_centroid,fwd_mfe_h240_p25,fwd_mfe_h240_p50,fwd_mfe_h240_p75,fwd_mfe_h240_p95,frac_reach_1R,frac_reach_2R,frac_wrong_way_pre_peak,frac_wrong_way_all_time,cap_binding_rate,final_r_mean,final_r_t_stat,final_r_p25,final_r_p50,final_r_p75,shape_tag,shape_dip_p,shape_p95_over_p50,local_peaks_status,composite
c1,0.5,365,0.4334916864608076,0.4780528582045419,3.221917808219178,0.6123175650411627,1.6822290951834895,5.074342101010204,16.57090594398629,0.6219178082191781,0.46301369863013697,0.4136986301369863,0.9863013698630136,0.0136986301369863,-0.841938369294696,-11.83582424782795,-1.0,-1.0,-1.0,heavy_right_tail,0.9889870196831304,9.850564344316501,PASS,
c1,1.0,365,0.4334916864608076,0.5327713094795561,5.561643835616438,0.798929972868089,1.8887677951312616,4.249278974948504,9.704926634117113,0.7041095890410959,0.4876712328767123,0.1506849315068493,0.9698630136986301,0.030136986301369864,-0.8177954051555693,-14.328604792028564,-1.0,-1.0,-1.0,heavy_right_tail,0.9664421127822268,5.138231739832614,PASS,
c1,1.5,365,0.4334916864608076,0.5780651676974196,7.2465753424657535,0.970857830094414,1.9277919419983927,3.781979095496597,7.182226372327995,0.7287671232876712,0.4849315068493151,0.057534246575342465,0.9506849315068493,0.049315068493150684,-0.8046004613360895,-16.634950144565163,-1.0,-1.0,-1.0,heavy_right_tail,0.9932127531700891,3.725623194006474,PASS,0.29929804440974833
c1,2.0,365,0.4334916864608076,0.6086369572284647,8.402739726027397,0.942219563488171,1.702810130716996,3.19139876297934,5.4566298378284905,0.7424657534246575,0.4191780821917808,0.0136986301369863,0.9095890410958904,0.09041095890410959,-0.7420402881716249,-15.638102187630846,-1.0,-1.0,-1.0,heavy_right_tail,0.9066646286478119,3.2044851856330494,PASS,0.38740408051613584
c1,3.0,365,0.4334916864608076,0.6086369572284647,8.402739726027397,0.6281463756587806,1.1352067538113306,2.1275991753195598,3.6377532252189937,0.5753424657534246,0.27945205479452057,0.005479452054794521,0.13424657534246576,0.8657534246575342,-0.4706900877065883,-13.94951083856343,-0.7630471780308749,-0.6342237041383063,-0.46399013864559124,heavy_right_tail,0.9066646286478129,3.20448518563305,PASS,
c1,4.0,365,0.4334916864608076,0.6086369572284647,8.402739726027397,0.4711097817440855,0.851405065358498,1.59569938148967,2.7283149189142453,0.4191780821917808,0.14520547945205478,0.0,0.0273972602739726,0.9726027397260274,-0.35011231845664914,-13.729932652546704,-0.5616614668102023,-0.4722447806178614,-0.3435999652107819,heavy_right_tail,0.9066646286478119,3.2044851856330494,PASS,
