feature,importance,importance_std,fold,classifier,cluster_id
atr_14,0.010040160642570272,0.0038099730845402285,1,lgbm,0
atr_percentile_100,-0.0028112449799197136,0.005016062649315983,1,lgbm,0
atr_vs_trailing_100,0.003212851405622463,0.0027238273024599285,1,lgbm,0
d1_atr_percentile_100,-0.0008032128514056325,0.004508020947920398,1,lgbm,0
d1_close_slope_magnitude,-0.00401606425702814,0.002839786269825496,1,lgbm,0
d1_close_slope_sign,-0.0008032128514056325,0.0009837308203948629,1,lgbm,0
day_of_week,-6.661338147750939e-17,0.002539982056360123,1,lgbm,0
distance_to_round_number,0.006827309236947743,0.004508020947920432,1,lgbm,0
hour_of_day,-0.0004016064257028384,0.002663955654903932,1,lgbm,0
kijun_26_distance,-0.005622489959839383,0.0032128514056224827,1,lgbm,0
prior_session_high_distance,0.0008032128514055658,0.0024096385542168456,1,lgbm,0
prior_session_low_distance,0.0008032128514055658,0.003934923281579409,1,lgbm,0
range_close_ratio,0.0044176706827308895,0.004472099889823285,1,lgbm,0
session_dead,0.0,0.0,1,lgbm,0
session_ldn_ny_overlap,-0.00321285140562253,0.0016064257028112652,1,lgbm,0
session_london,0.000401606425702794,0.0008032128514055882,1,lgbm,0
session_ny,0.0,0.0,1,lgbm,0
session_tokyo,0.0,0.0,1,lgbm,0
spread_percentile_100,-0.00040160642570286065,0.0029511924611845372,1,lgbm,0
spread_vs_trailing_100,0.009638554216867434,0.004095598002885785,1,lgbm,0
swing_high_distance_14,0.0016064257028112205,0.005736087091199097,1,lgbm,0
swing_low_distance_14,0.003212851405622441,0.002047799001442876,1,lgbm,0
w1_close_slope_sign,0.0036144578313252796,0.006886115742763952,1,lgbm,0
atr_14,0.0036144578313252796,0.0026639556549039253,2,lgbm,0
atr_percentile_100,-0.00401606425702814,0.0012699910281800527,2,lgbm,0
atr_vs_trailing_100,-0.0008032128514056325,0.001606425702811265,2,lgbm,0
d1_atr_percentile_100,-0.0024096385542168976,0.0019674616407897257,2,lgbm,0
d1_close_slope_magnitude,-0.0008032128514056325,0.0016064257028112652,2,lgbm,0
d1_close_slope_sign,-0.003212851405622508,0.0020477990014428804,2,lgbm,0
day_of_week,-0.002008032128514059,0.002839786269825496,2,lgbm,0
distance_to_round_number,-0.0016064257028112427,0.002951192461184555,2,lgbm,0
hour_of_day,-0.0024096385542168976,0.0015026736493068224,2,lgbm,0
kijun_26_distance,-0.008835341365461869,0.004325433580027733,2,lgbm,0
prior_session_high_distance,-0.0024096385542168976,0.0015026736493068224,2,lgbm,0
prior_session_low_distance,-0.002409638554216875,0.003212851405622491,2,lgbm,0
range_close_ratio,-0.0028112449799196915,0.003724344777307515,2,lgbm,0
session_dead,-0.0012048192771084488,0.0009837308203948629,2,lgbm,0
session_ldn_ny_overlap,-0.001606425702811265,0.0008032128514056325,2,lgbm,0
session_london,-0.001606425702811265,0.0008032128514056325,2,lgbm,0
session_ny,0.0,0.0,2,lgbm,0
session_tokyo,0.0,0.0,2,lgbm,0
spread_percentile_100,-0.006024096385542177,0.001796038536144382,2,lgbm,0
spread_vs_trailing_100,-0.010843373493975928,0.003005347298613645,2,lgbm,0
swing_high_distance_14,-0.0008032128514056325,0.003724344777307498,2,lgbm,0
swing_low_distance_14,-0.004417670682730912,0.0029511924611845372,2,lgbm,0
w1_close_slope_sign,-0.006024096385542177,0.0028397862698254805,2,lgbm,0
atr_14,0.006425702811244971,0.004648930483048263,3,lgbm,0
atr_percentile_100,0.0036144578313252796,0.0038937187609769668,3,lgbm,0
atr_vs_trailing_100,0.0044176706827309346,0.0023417477489338354,3,lgbm,0
