metric,value
unit_id,c1
n,324
sl_atr_mult,3
fwd_mfe_p5,2.333922095
fwd_mfe_p10,2.607388135
fwd_mfe_p25,3.355244306
fwd_mfe_p50,4.480774827
fwd_mfe_p75,6.070433601
fwd_mfe_p90,8.294822779
fwd_mfe_p95,9.333579426
fwd_mfe_p99,12.12409211
final_r_p5,-1
final_r_p10,-1
final_r_p25,1.296106254
final_r_p50,3.151911481
final_r_p75,4.873190117
final_r_p90,5.963841554
final_r_p95,6.878683228
final_r_p99,9.291779898
fwd_mfe_mean,4.955733593
final_r_mean,3.047624742
hartigan_dip_stat,0.01118976825
hartigan_dip_pvalue,0.9946264947
shape_tag,unclassified
bimodal_separated,0
bimodal_mode_separation_r,0
bimodal_min_mode_mass,0
bimodal_left_mode_r,0
bimodal_right_mode_r,0
bimodal_left_mass,0
bimodal_right_mass,0
pct_peak_and_collapse,0.2438271605
mass_final_r_le_0R_count,47
mass_final_r_le_0R_frac,0.1450617284
mass_final_r_0R_to_0.5R_count,7
mass_final_r_0R_to_0.5R_frac,0.02160493827
mass_final_r_0.5R_to_1R_count,16
mass_final_r_0.5R_to_1R_frac,0.04938271605
mass_final_r_1R_to_2R_count,34
mass_final_r_1R_to_2R_frac,0.1049382716
mass_final_r_2R_to_5R_count,148
mass_final_r_2R_to_5R_frac,0.4567901235
mass_final_r_gt_5R_count,72
mass_final_r_gt_5R_frac,0.2222222222
