metric,value
unit_id,c3
n,565
sl_atr_mult,2
fwd_mfe_p5,0.5323061462
fwd_mfe_p10,0.7154883895
fwd_mfe_p25,1.136597068
fwd_mfe_p50,2.055995357
fwd_mfe_p75,3.355772817
fwd_mfe_p90,4.901253918
fwd_mfe_p95,5.828765018
fwd_mfe_p99,7.706068903
final_r_p5,-1
final_r_p10,-1
final_r_p25,-1
final_r_p50,-1
final_r_p75,-1
final_r_p90,0.978382623
final_r_p95,2.956521542
final_r_p99,6.156233731
fwd_mfe_mean,2.48511866
final_r_mean,-0.4828689701
hartigan_dip_stat,0.009311935555
hartigan_dip_pvalue,0.9924500193
shape_tag,unclassified
bimodal_separated,0
bimodal_mode_separation_r,0
bimodal_min_mode_mass,0
bimodal_left_mode_r,0
bimodal_right_mode_r,0
bimodal_left_mass,0
bimodal_right_mass,0
pct_peak_and_collapse,0.7185840708
mass_final_r_le_0R_count,487
mass_final_r_le_0R_frac,0.8619469027
mass_final_r_0R_to_0.5R_count,4
mass_final_r_0R_to_0.5R_frac,0.007079646018
mass_final_r_0.5R_to_1R_count,18
mass_final_r_0.5R_to_1R_frac,0.03185840708
mass_final_r_1R_to_2R_count,11
mass_final_r_1R_to_2R_frac,0.01946902655
mass_final_r_2R_to_5R_count,36
mass_final_r_2R_to_5R_frac,0.06371681416
mass_final_r_gt_5R_count,9
mass_final_r_gt_5R_frac,0.01592920354
