sl_atr_mult,R_atr,size_fraction,mono_pre_peak,fwd_mfe_p5,fwd_mfe_p25,fwd_mfe_p50,fwd_mfe_p75,fwd_mfe_p95,frac_reach_1R,frac_reach_2R,frac_wrong_way_pre_peak,shape_tag,bimodal_separated,hartigan_dip_stat,hartigan_dip_pvalue,pct_peak_and_collapse,peak_mfe_p50_atr_units,gate_size,gate_mono,gate_mfe_p50,gate_reach_1R,gate_wrong_way,gate_shape,gate_local_peaks,gate_pass,composite,selected
0.5,0.5,0.2896911701,0.3251916018,0.1065800238,0.7107423616,1.561531061,3.528125706,9.804303561,0.6501501502,0.4024024024,0.4009009009,heavy_right_tail,0,0.009672107038,0.9800346748,0.6456456456,0.7807655306,1,0,1,0,0,1,1,0,-0.375559149,0
1,1,0.2896911701,0.4996751725,0.1120423795,0.7115431416,1.381510507,2.519131621,6.115035685,0.6201201201,0.3453453453,0.1036036036,unclassified,0,0.01274820565,0.7096183641,0.6096096096,1.381510507,1,0,0,0,1,1,1,0,0.066191689,0
1.5,1.5,0.2896911701,0.5886250673,0.2363286951,0.6399963774,1.175524557,1.988001571,4.454784651,0.5810810811,0.2492492492,0.03153153153,unclassified,0,0.0129943537,0.6766695122,0.5645645646,1.763286836,1,1,0,0,1,1,1,0,0.1881746169,0
2,2,0.2896911701,0.6490178159,0.305291958,0.6079698707,0.9718807523,1.588450588,3.406005294,0.481981982,0.1711711712,0.007507507508,unclassified,0,0.01370700294,0.5796888799,0.463963964,1.943761505,1,1,0,0,1,1,1,0,0.1734922904,0
3,3,0.2896911701,0.6268612073,0.2433738846,0.4842473034,0.8179836653,1.515395311,3.762938097,0.4129129129,0.1771771772,0.004504504505,unclassified,0,0.01101216605,0.904528578,0.3288288288,2.453950996,1,1,0,0,1,1,1,0,0.08526961574,0
4,4,0.2896911701,0.6188747797,0.2044430208,0.445182089,0.752203053,1.563873307,3.506764392,0.3903903904,0.1876876877,0.003003003003,unclassified,0,0.01076416906,0.9222238823,0.2462462462,3.008812212,1,1,0,0,1,1,1,0,0.05626216711,0
