cluster_label,size,size_fraction,centroid_monotonicity_ratio_in_profit,centroid_local_peaks_count,centroid_pullback_magnitude_median,centroid_time_to_peak_mfe_relative
0,340,0.1771756123,0.5569985685,3.367647059,0.05926595059,0.2452047702
1,357,0.1860343929,0.003688141923,0.4817927171,0.006908426288,0.1074624291
2,196,0.1021365294,0.497902327,7.908163265,0.8405537658,0.6872203355
3,385,0.2006253257,0.5306948924,14.94025974,0.3515686815,0.7508165545
4,213,0.1109953101,0.5580899785,27.69483568,0.3278022706,0.8716293691
5,428,0.2230328296,0.5032565513,7.679906542,0.3808692303,0.3766264703
