percentile,fwd_mfe_h240_R,final_r
1,1.9965033912658692,-2.4074451160430907
5,3.0446240425109865,-0.9436089873313901
10,3.5198179721832275,0.502672988176346
20,4.35319299697876,1.5738612651824953
30,5.033740139007568,2.4142750263214108
40,5.701330184936523,3.0306212425231935
50,6.319250106811523,3.64007306098938
60,7.005049800872802,4.466323566436768
70,7.926669788360596,5.194181728363037
80,8.938829994201663,6.210555171966553
90,10.840609931945801,7.72861671447754
95,12.145599746704098,9.201574134826657
99,16.93262657165528,12.059646911621094
