trade_id,pair,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
117,EUR_GBP,0.5,1,0.0,0.03846154
118,AUD_NZD,0.0,0,0.0,0.0
119,EUR_NZD,0.5,2,0.0,0.30769232
120,AUD_NZD,0.0,1,0.0,0.07692308
121,EUR_AUD,0.47540984,12,0.39842826,0.2753623
122,GBP_NZD,0.75,1,0.0,0.5555556
123,EUR_NZD,0.0,0,0.0,0.0
124,GBP_AUD,0.55,10,0.0,0.42261904
125,USD_CAD,0.0,0,0.0,0.0
126,GBP_NZD,0.0,0,0.0,0.0
127,CHF_JPY,0.5714286,34,0.0,1.0
128,USD_CAD,0.0,0,0.0,0.0
129,USD_JPY,0.4,2,0.0,0.051282052
130,AUD_NZD,0.0,0,0.0,0.0
131,EUR_GBP,0.49006623,16,0.6618352,0.72619045
132,AUD_NZD,0.52380955,3,0.77980477,0.39784947
133,USD_JPY,0.0,0,0.0,0.0
134,EUR_NZD,0.49019608,19,0.0,0.5654762
135,EUR_AUD,0.46052632,13,0.0,0.19642857
136,USD_JPY,0.5,11,0.0,0.42857143
137,GBP_AUD,0.4,1,0.0,0.6666667
138,GBP_AUD,0.0,0,0.0,0.0
139,GBP_AUD,0.46666667,12,0.0,0.21428572
140,GBP_NZD,0.0,0,0.0,0.0
141,AUD_NZD,0.0,0,0.0,0.0
142,GBP_NZD,0.0,0,0.0,0.0
143,GBP_NZD,0.4722222,10,0.31257725,0.78205127
144,AUD_NZD,0.57575756,34,0.0,0.89880955
145,EUR_NZD,0.0,0,0.0,0.0
146,USD_JPY,0.5510204,13,0.35734403,0.40490797
147,EUR_NZD,0.54545456,9,0.10159902,0.5
148,GBP_CAD,0.6666667,3,0.05138719,1.0
149,GBP_CHF,0.33333334,1,0.0,0.25
150,CAD_CHF,0.4796748,9,0.0,0.13207547
151,EUR_NZD,0.0,0,0.0,0.0
152,USD_CHF,0.0,0,0.0,0.0
153,USD_CHF,0.42857143,1,0.0,0.10869565
154,EUR_CAD,0.54545456,4,0.0,0.1724138
155,GBP_CHF,0.5179856,20,0.0,0.4654088
156,GBP_CAD,0.56969696,24,0.0,0.9702381
157,GBP_USD,0.537931,25,0.020153046,0.43949044
158,EUR_CHF,0.5220126,18,0.0,0.48214287
159,GBP_AUD,0.5258621,10,0.0,0.20588236
160,GBP_NZD,0.50931674,15,0.1583991,1.0
161,EUR_NZD,0.4375,9,0.0,0.67741936
162,EUR_CAD,0.53571427,26,0.0,0.60714287
163,NZD_CHF,0.5,10,0.0,0.20689656
