archetype_id,auc_mean,auc_std,auc_fold_1,auc_fold_2,auc_fold_3,auc_fold_4,auc_fold_5,n_pos,n_total
0,0.5446452849808281,0.012671142050205345,0.5224370951669158,0.5615657698056802,0.5451077478824116,0.5446675765256386,0.5494482355234939,1115,3993
1,0.5069540805572638,0.011390012570742911,0.5035592341930369,0.5242377932299228,0.5130358370902423,0.5041105327617882,0.4898270055113288,1151,3993
2,0.4928734763353592,0.01100855380219745,0.490394695141276,0.4878349057753725,0.4870425900192594,0.48452556538839725,0.514569625352491,604,3993
3,0.5572372581913407,0.03966712872349265,0.5940239963082603,0.5281495154591601,0.5158052607291186,0.6152284263959391,0.5329790920642254,54,3993
4,0.5110708976233093,0.01529646169325293,0.5093278463648834,0.4843425436018029,0.5164413090339017,0.5137671219260054,0.5314756671899529,349,3993
5,0.5554575872882477,0.015528555706708434,0.5583651399491094,0.5711407972858354,0.5727947413061917,0.539118246687054,0.535869011213048,720,3993
