K,silhouette,min_cluster_size,max_cluster_pct,gate_pass,gate_detail
3,0.4621745709,221,46.26978146,PASS,PASS
4,0.4761829361,177,32.32856066,PASS,PASS
5,0.4578041715,149,32.02712886,PASS,PASS
6,0.46304712,54,31.34890731,PASS,PASS
7,0.456957407,50,31.27354936,PASS,PASS
