trade_id,pair,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
1,GBP_AUD,0,0,0,0
2,GBP_JPY,0.4736842105,3,0.5298661985,0.3846153846
3,AUD_JPY,0.5,5,0.1833601211,0.275862069
4,EUR_JPY,0.4285714286,3,0,0.2352941176
5,GBP_NZD,0.5714285714,3,0,0.3076923077
6,AUD_USD,0,0,0,0
7,GBP_USD,0,0,0,0
8,GBP_AUD,0.5135135135,11,0.3208667833,0.2839506173
9,GBP_CHF,0,1,0,0.1111111111
10,USD_CAD,0,2,0,0
11,EUR_AUD,0,0,0,0
12,EUR_CAD,0.5151515152,7,0.9525069078,0.7346938776
13,USD_JPY,0.375,6,0.8249810868,0.56
14,CAD_JPY,0.4285714286,2,0.1698244243,0.1428571429
15,CHF_JPY,0.5,4,0.4425823206,0.5
16,AUD_USD,0,0,0,0
17,EUR_USD,0.3333333333,1,0,0.1333333333
18,EUR_CHF,0.6666666667,2,0,0.5882352941
19,AUD_CHF,0.5,4,0.3581800316,0.7857142857
20,NZD_USD,0.5,2,0,0.5384615385
21,NZD_CHF,0.5,4,0.0953265619,0.625
22,AUD_CAD,0,1,0,0.1
23,USD_CHF,0.4583333333,7,0.809922384,0.4333333333
24,USD_CAD,0.5,2,0.309572396,0.4444444444
25,AUD_JPY,0.5598290598,32,0.390511978,0.9709543568
26,AUD_NZD,0,1,0,0.1111111111
27,NZD_JPY,0.5319148936,27,0.47041363,0.9543568465
28,EUR_JPY,0.525,18,1.211442848,0.8796680498
29,NZD_CHF,0.4811715481,15,0.530916756,0.398340249
30,NZD_USD,0.5732217573,45,0.5326272432,0.9958506224
31,EUR_CHF,0.5172413793,8,0.6366530231,0.7407407407
32,NZD_CAD,0.525,36,0.590827712,0.9834024896
33,CHF_JPY,0,1,0,0.375
34,AUD_CHF,0,0,0,0
35,AUD_USD,0,0,0,0
36,CAD_CHF,0.5098039216,6,0.8037759686,0.5875
37,GBP_USD,0.5630252101,31,0.6957355468,0.846473029
38,USD_CAD,0,0,0,0
39,EUR_CAD,0,1,0,0
40,EUR_USD,0,0,0,0
41,GBP_AUD,0.5,3,0,0.3684210526
42,AUD_USD,0.5657894737,36,0.400485144,0.6887966805
43,AUD_CAD,0.4,8,0.2832250662,0.6666666667
44,AUD_CHF,0,1,0,0
45,GBP_CHF,0,0,0,0
46,CHF_JPY,0.525210084,23,0.518079168,0.2199170124
47,EUR_USD,0.5125,23,0.591464146,0.5975103734
48,GBP_JPY,0.5,3,0,0.5454545455
49,CAD_JPY,0.546875,9,0.854214098,0.4084507042
50,EUR_AUD,0.4,2,0,0.1
51,EUR_NZD,0.5384615385,2,0,0.09523809524
52,GBP_NZD,0.5159817352,15,0.494422494,0.6307053942
53,AUD_CHF,0.4871794872,31,0.4269439802,0.9211618257
54,AUD_CAD,0.5400843882,25,0.533980294,0.3526970954
55,GBP_AUD,0,1,0,0
56,EUR_NZD,0.4705882353,4,0.8458586463,0.3333333333
57,GBP_JPY,0.5324675325,43,0.3574067285,0.9709543568
58,USD_CAD,0.3333333333,2,0,0.07692307692
59,GBP_CAD,0,0,0,0
60,EUR_CHF,0.5,2,0,0.2222222222
61,USD_CHF,0,0,0,0
62,CAD_JPY,0.5043103448,46,0.4827244305,0.9875518672
63,USD_JPY,0,1,0,0.5
64,EUR_CAD,0.5,1,0,0.03571428571
65,AUD_JPY,0.5021097046,38,0.410394843,0.9211618257
66,EUR_GBP,0,0,0,0
67,CAD_CHF,0.5090909091,7,0.524500462,0.5342465753
68,EUR_CHF,0.3333333333,1,0,0.1
69,USD_CAD,0,2,0,0.2222222222
70,GBP_AUD,0,0,0,0
71,USD_CHF,0.5779816514,46,0.4185601149,0.9585062241
72,AUD_NZD,0.5,9,0.2851172853,0.5588235294
73,GBP_USD,0.4916666667,34,0.2892460945,0.6514522822
74,EUR_CAD,0.4651162791,12,0.633194465,0.2040816327
75,EUR_AUD,0.4567901235,9,1.519737232,0.28
76,EUR_NZD,0.3636363636,3,0,0.2631578947
77,USD_JPY,0.5714285714,57,0.6048609275,0.9128630705
78,NZD_JPY,0.4615384615,4,0.9505158063,0.45
79,NZD_USD,0.3846153846,3,0.7405960145,0.5
80,AUD_USD,0,0,0,0
