trade_id,pair,final_r,mfe_r,mae_r,bars_held,exit_reason,time_to_peak_mfe
209,EUR_CAD,-1.001188939,0.003566817003,-1.147326136,4,stoploss,0
210,GBP_CHF,-1.004402909,2.591845541,-1.174108965,37,stoploss,9
214,GBP_CHF,-1.002333543,0.4480402423,-1.285782154,23,stoploss,15
220,EUR_AUD,-1.012627219,1.536010977,-1.061588326,16,stoploss,8
224,USD_JPY,-1.001923108,0.767320259,-1.251943581,15,stoploss,2
227,EUR_GBP,-1.114567379,0.535382177,-1.024496758,10,stoploss,0
237,USD_CAD,-1.001280306,0.6849638274,-1.501799195,9,stoploss,2
238,EUR_CHF,-1.002580132,0.2193111835,-1.008831444,1,stoploss,0
239,EUR_CAD,-1.001064905,0.5612049407,-1.021243905,23,stoploss,10
244,EUR_GBP,-1.002690934,0.5220412562,-1.205538571,10,stoploss,2
253,EUR_AUD,-1.016348561,0.4040430015,-1.090682553,11,stoploss,4
255,EUR_AUD,-1.013596186,0.4237478035,-1.384544962,3,stoploss,0
261,EUR_AUD,-1.014546402,0.5297314689,-1.109163144,5,stoploss,0
273,USD_JPY,-1.002034457,2.720069593,-1.540084279,54,stoploss,16
274,CHF_JPY,-1.005775629,1.010735023,-1.049239215,15,stoploss,2
279,EUR_JPY,-1.001493224,1.321502895,-1.288651976,17,stoploss,1
285,GBP_AUD,-1.002803493,0.5279912611,-1.075606976,27,stoploss,2
286,EUR_JPY,-1.001433103,0.3210151472,-1.000306128,9,stoploss,0
288,EUR_JPY,-1.001131177,1.46261196,-1.344969544,26,stoploss,10
289,GBP_AUD,-1.000979438,0.8501524655,-1.300694095,18,stoploss,3
295,GBP_AUD,-1.001038485,0.5784359843,-1.091447432,10,stoploss,4
296,GBP_AUD,-1.001100215,2.518393197,-1.407175579,27,stoploss,7
299,GBP_JPY,-1.00089786,0.1364746639,-1.036130014,4,stoploss,0
304,CHF_JPY,-1.004396097,0.3047960814,-1.005240922,16,stoploss,4
310,EUR_USD,-1.001593809,0.2964484237,-1.023225204,20,stoploss,1
313,EUR_JPY,-1.001461464,0.4778987769,-1.141403501,27,stoploss,2
318,GBP_AUD,-1.003640251,0.02426833868,-1.28622195,6,stoploss,0
320,EUR_CHF,-1.003488025,0.08720061513,-1.210344538,2,stoploss,0
321,EUR_USD,-1.002206049,0,-1.837639148,1,stoploss,0
323,EUR_USD,-1.001888546,0.2020744484,-1.074582814,2,stoploss,0
324,CHF_JPY,-1.001776806,1.016333036,-1.162031128,12,stoploss,4
325,EUR_USD,-1.001810408,0.6698508583,-1.354184978,17,stoploss,4
329,EUR_USD,-1.001833301,0.2034963996,-1.12381345,2,stoploss,0
330,EUR_USD,-1.001728355,0.1365400416,-2.20710928,9,stoploss,0
333,GBP_CHF,-1.001540481,0.7471332763,-1.298625468,12,stoploss,6
334,USD_JPY,-1.001775882,0,-1.177409445,2,stoploss,0
342,GBP_AUD,-1.002209662,0.2629497193,-1.023073278,4,stoploss,1
343,EUR_USD,-1.001487542,0.8374862992,-1.233172544,42,stoploss,17
347,USD_JPY,-1.001118386,0.5536011474,-2.032107646,6,stoploss,3
349,EUR_AUD,-1.000596334,0.006559672118,-1.002437166,4,stoploss,0
350,EUR_CAD,-1.003440364,0.06399077621,-1.064448718,9,stoploss,0
351,EUR_JPY,-1.000864613,0.6026354524,-1.266658447,8,stoploss,1
356,CAD_JPY,-1.004259543,0.5984658215,-1.569641674,7,stoploss,0
360,AUD_CHF,-1.004940852,1.895640381,-1.068871075,38,stoploss,7
361,AUD_NZD,-1.014914302,0.2651431378,-1.226287012,28,stoploss,5
362,EUR_USD,-1.001287699,1.139613495,-1.206573836,51,stoploss,2
373,AUD_CHF,-1.008063538,0.2257790553,-1.06116156,3,stoploss,0
374,AUD_JPY,-1.001177909,0.2697410948,-1.299233308,3,stoploss,0
375,EUR_USD,-1.001403558,0.5207198396,-1.188813219,23,stoploss,1
376,AUD_NZD,-1.064876219,0,-1.402668594,5,stoploss,0
387,CHF_JPY,-1.0015952,0.1036880007,-1.118235207,3,stoploss,0
389,EUR_CAD,-1.00621324,0.02381742002,-1.049002021,12,stoploss,0
394,EUR_CAD,-1.001372767,0.4283034416,-1.446896883,4,stoploss,0
395,EUR_AUD,-1.000969906,0.1939812957,-1.588706812,5,stoploss,0
396,EUR_NZD,-1.017231795,0.2564496543,-1.053166762,4,stoploss,0
398,GBP_AUD,-1.00086555,0.4007497231,-1.023945837,4,stoploss,0
399,EUR_CAD,-1.001241491,0.007448948896,-1.499721711,3,stoploss,0
403,USD_CHF,-1.002179273,0.8041518551,-1.022079187,17,stoploss,0
407,GBP_AUD,-1.004703517,0.09250250027,-1.061426995,12,stoploss,0
408,GBP_NZD,-1.029717173,0.2922188676,-1.332319922,13,stoploss,1
409,GBP_AUD,-1.003641301,0.3459236026,-1.259890174,7,stoploss,2
410,USD_CHF,-1.002793513,0.7179329613,-1.064328631,9,stoploss,1
411,GBP_AUD,-1.002439542,0.07481263332,-1.250672066,4,stoploss,0
413,USD_JPY,-1.001519301,0.5940467976,-1.25342355,20,stoploss,1
414,GBP_AUD,-1.004686062,0.02421131786,-1.164486288,5,stoploss,0
415,GBP_NZD,-1.010446113,0.01343071666,-1.007303749,5,stoploss,0
416,USD_CHF,-1.045406458,0.06621775147,-1.171108233,6,stoploss,0
417,CAD_JPY,-1.005401772,0.1269416319,-1.247809232,11,stoploss,2
423,EUR_AUD,-1.001114729,1.363313881,-1.106926152,28,stoploss,3
424,CAD_JPY,-1.003088825,0.1173753554,-1.096532925,6,stoploss,0
425,USD_JPY,-1.00193769,0.03294072946,-1.118047112,4,stoploss,0
428,EUR_AUD,-1.002316838,0.1540697073,-1.12019103,2,stoploss,0
429,CAD_JPY,-1.002830855,0.3312100337,-1.262561325,23,stoploss,9
431,AUD_CHF,-1.016157936,0.5839939597,-1.341108658,17,stoploss,6
432,AUD_JPY,-1.001663762,0.9716367385,-1.650451446,18,stoploss,6
439,AUD_JPY,-1.001769621,0.8883499549,-1.104243769,11,stoploss,3
441,NZD_CHF,-1.01954248,1.641568324,-1.021094582,22,stoploss,5
444,EUR_NZD,-1.020491588,0.04098317695,-1.462354268,2,stoploss,0
445,AUD_CHF,-1.115265323,0.5710066756,-1.929364171,8,stoploss,1
446,CAD_JPY,-1.023165613,0.2117998923,-1.009358862,8,stoploss,0
448,NZD_CHF,-1.064330458,0.04351766261,-1.012258674,7,stoploss,0
452,CAD_JPY,-1.003801474,0.6139380058,-1.092923695,16,stoploss,0
460,AUD_CAD,-1.005145374,0.3361644075,-1.217738415,7,stoploss,0
462,GBP_CAD,-1.00565941,0.3135312925,-1.180552845,7,stoploss,1
463,EUR_AUD,-1.002436428,0.449927117,-1.318919924,9,stoploss,0
465,AUD_CAD,-1.008764395,1.142877136,-1.030692877,11,stoploss,4
466,GBP_CAD,-1.006976512,0.08488090198,-1.552274029,3,stoploss,0
467,USD_CHF,-1.00202971,0.6393585289,-1.451242375,4,stoploss,1
470,GBP_CAD,-1.002517924,0.4599408666,-1.059206886,4,stoploss,0
472,USD_CHF,-1.001709351,0.5384456448,-1.123043774,15,stoploss,0
473,USD_JPY,-1.001905084,0.68011492,-1.792683865,20,stoploss,7
477,AUD_USD,-1.003853234,0.03275248688,-1.034593262,5,stoploss,0
478,AUD_USD,-1.002124256,0.02336681803,-1.28092648,7,stoploss,0
486,EUR_GBP,-1.00291884,0.04378260018,-1.077051965,2,stoploss,0
490,EUR_GBP,-1.003331255,0.8761201875,-1.062670494,39,stoploss,0
491,CHF_JPY,-1.001357477,0.3895957636,-1.027609732,27,stoploss,9
492,AUD_CAD,-1.006064186,0.5235413495,-1.570624049,15,stoploss,1
493,AUD_CAD,-1.002111676,0.1879392044,-1.015716374,1,stoploss,0
497,CHF_JPY,-1.001425833,0.2153008242,-1.008064124,17,stoploss,0
499,CHF_JPY,-1.103292517,0.6039986161,-1.139719128,14,stoploss,4
501,CHF_JPY,-1.061768846,0.07588743892,-1.046540727,6,stoploss,0
502,CHF_JPY,-1.005385943,0.01615782815,-1.046668201,2,stoploss,0
503,CHF_JPY,-1.003236144,2.538755307,-1.137504768,57,stoploss,6
507,USD_CHF,-1.001792883,0.4320848929,-1.385898847,9,stoploss,2
508,USD_CHF,-1.00194749,0,-1.291185801,3,stoploss,0
509,USD_CHF,-1.00189214,0.8874135192,-1.209077268,24,stoploss,3
515,EUR_NZD,-1.020324737,0.3673508084,-1.406170717,9,stoploss,1
517,EUR_NZD,-1.011397697,0.9891572617,-1.011952655,20,stoploss,3
518,EUR_NZD,-1.018875011,0,-1.084369358,3,stoploss,0
520,EUR_NZD,-1.003738591,1.364585763,-1.274859576,26,stoploss,1
521,EUR_AUD,-1.001102622,0.06725994867,-1.086082778,9,stoploss,0
522,EUR_AUD,-1.001130731,0.01922243231,-1.06854109,5,stoploss,0
523,EUR_NZD,-1.00828664,0.1491595162,-1.046188273,22,stoploss,0
525,EUR_GBP,-1.003107355,0.6183636012,-1.33926991,15,stoploss,5
531,EUR_USD,-1.001257258,0.001257257829,-1.057353835,2,stoploss,0
533,EUR_USD,-1.001243654,0.3867763302,-1.516013976,17,stoploss,11
535,EUR_USD,-1.00113506,0.7956774036,-1.224730269,24,stoploss,4
536,EUR_JPY,-1.00085266,0.7784790109,-1.416269044,10,stoploss,0
542,EUR_NZD,-1.008580613,0.1401500115,-1.084017436,7,stoploss,0
543,EUR_GBP,-1.084479475,0.8202684543,-1.065531447,24,stoploss,3
545,EUR_JPY,-1.001302688,0.2462080902,-1.223224321,7,stoploss,0
546,EUR_CHF,-1.001825391,0.4289669937,-1.170075927,7,stoploss,1
547,EUR_JPY,-1.001212734,0.1782719262,-1.318242067,4,stoploss,1
548,EUR_CHF,-1.001881355,0.05079657953,-1.051677332,7,stoploss,0
553,EUR_CHF,-1.001347471,1.006561046,-1.44314174,10,stoploss,3
558,GBP_NZD,-1.000708299,0.940620967,-1.270688264,16,stoploss,2
565,EUR_CHF,-1.001374152,0.8780833027,-1.603635703,7,stoploss,0
566,GBP_NZD,-1.006692222,0.4900193677,-1.113139595,13,stoploss,2
569,EUR_USD,-1.001037343,0.5923227877,-1.0425296,16,stoploss,3
572,GBP_USD,-1.001148504,0.3778577869,-1.174919501,9,stoploss,2
575,EUR_CHF,-1.001259911,1.644183262,-1.230932603,35,stoploss,5
577,EUR_GBP,-1.001888397,0.2133888718,-1.142480243,26,stoploss,17
578,GBP_CHF,-1.001191886,0.3134659324,-1.488665207,16,stoploss,5
579,GBP_JPY,-1.000890832,0.7010844468,-1.150063559,17,stoploss,7
580,USD_CAD,-1.001235225,0.524970441,-1.152464521,10,stoploss,3
583,GBP_CHF,-1.017884091,0.1919559085,-1.043238633,7,stoploss,0
584,GBP_JPY,-1.000939601,0.4237598456,-1.047654607,8,stoploss,0
585,EUR_USD,-1.001196832,0.3961514719,-1.028078895,14,stoploss,5
588,GBP_CHF,-1.00126876,0.4427970908,-1.021351456,11,stoploss,1
589,EUR_CHF,-1.001407168,0.001407168065,-1.177799671,6,stoploss,0
590,EUR_JPY,-1.000939391,0.01033329778,-1.047420638,7,stoploss,0
591,GBP_NZD,-1.000726303,0.2091752629,-1.43517472,4,stoploss,1
592,EUR_CHF,-1.001532592,0.2835295155,-1.408452026,3,stoploss,0
593,EUR_USD,-1.001363167,0.3312496515,-1.064633654,3,stoploss,0
594,EUR_JPY,-1.001025506,0.1630554126,-1.090112601,2,stoploss,0
595,GBP_NZD,-1.000711859,0.004983011399,-1.293447388,4,stoploss,0
597,EUR_CHF,-1.001335557,0.2924868954,-1.697492439,11,stoploss,0
598,EUR_JPY,-1.000917097,0.1348132738,-1.15462525,1,stoploss,0
599,EUR_USD,-1.001178552,0.1756043059,-1.231587246,1,stoploss,0
600,EUR_JPY,-1.000797004,0.09803143925,-1.365267117,9,stoploss,0
601,EUR_USD,-1.001018625,0.6427523463,-1.779537795,11,stoploss,6
602,GBP_NZD,-1.000667302,0.1101049007,-1.211153908,3,stoploss,0
603,GBP_USD,-1.000994219,0.5716761369,-1.283537205,18,stoploss,5
606,EUR_NZD,-1.006027082,0,-1.95126774,1,stoploss,0
607,GBP_AUD,-1.001331459,0.4247354073,-1.047858199,1,stoploss,0
611,EUR_NZD,-1.005466363,0,-1.64780487,1,stoploss,0
612,GBP_AUD,-1.000592101,0.04914434412,-1.434659588,1,stoploss,0
613,NZD_USD,-1.001363594,1.130419086,-1.236779386,14,stoploss,0
619,GBP_USD,-1.000966594,0.8805670877,-1.000424737,6,stoploss,2
625,AUD_USD,-1.001452963,0.5070840131,-1.579370551,5,stoploss,1
633,NZD_CAD,-1.010083184,0.2883790702,-1.030501433,4,stoploss,0
634,USD_CAD,-1.001302634,0.2488031458,-1.139804987,2,stoploss,0
635,USD_CAD,-1.001165936,0.2506761946,-1.596166095,23,stoploss,14
637,NZD_CAD,-1.003436429,0.218213211,-1.132303197,16,stoploss,3
640,NZD_CAD,-1.007596463,0.5640374002,-1.331280194,4,stoploss,1
641,AUD_CAD,-1.001760942,0.8082722492,-1.181591894,4,stoploss,1
642,EUR_CAD,-1.000700665,0.02452327015,-1.421649004,4,stoploss,0
643,NZD_CAD,-1.003183663,0,-1.00285393,3,stoploss,0
645,AUD_CAD,-1.004502625,0.1665971381,-1.166179967,13,stoploss,1
650,CAD_JPY,-1.002636167,0.8936604636,-1.47888944,33,stoploss,11
660,AUD_USD,-1.001804969,0.5685651501,-1.175034644,9,stoploss,1
661,AUD_CAD,-1.001690252,0.4952437722,-1.127397939,15,stoploss,2
666,CAD_CHF,-1.00818382,0.3682718971,-1.23575681,9,stoploss,4
673,NZD_CAD,-1.007668031,0.1594950412,-1.098062014,5,stoploss,1
675,EUR_AUD,-1.000845221,0.002535664394,-1.21796413,5,stoploss,0
677,EUR_AUD,-1.000930628,0.758461859,-1.123268054,14,stoploss,1
678,EUR_AUD,-1.000768743,0.1606673315,-1.072396782,12,stoploss,3
680,USD_CAD,-1.001117918,0.01900460731,-1.219648622,14,stoploss,0
681,EUR_AUD,-1.000786667,0.5766266154,-1.08638657,19,stoploss,3
682,GBP_AUD,-1.000573763,0.1164738832,-1.127444239,25,stoploss,0
683,GBP_NZD,-1.004743613,0.1120678508,-1.14736133,34,stoploss,0
684,USD_CAD,-1.001284026,0.3171544805,-1.028505016,14,stoploss,1
686,EUR_AUD,-1.001049034,0.8402760617,-1.52424609,8,stoploss,0
688,USD_CHF,-1.001937078,0.6644177468,-1.570970241,5,stoploss,1
690,EUR_AUD,-1.001636583,1.04659492,-1.396823713,36,stoploss,16
694,GBP_USD,-1.001299095,0.1545923539,-1.175681347,14,stoploss,0
699,EUR_USD,-1.001796803,0.680988203,-1.187686549,10,stoploss,1
702,GBP_USD,-1.001581649,1.80466099,-1.035979797,18,stoploss,2
706,EUR_USD,-1.001548462,0.3050469959,-1.073084102,6,stoploss,3
708,EUR_CAD,-1.002393596,0.2405563748,-1.28416413,8,stoploss,1
710,EUR_USD,-1.001677887,0.3171206142,-1.166131359,6,stoploss,1
711,EUR_AUD,-1.000987352,0.2873194128,-1.11274563,5,stoploss,0
713,EUR_USD,-1.001538969,1.186545193,-1.33120829,29,stoploss,5
714,EUR_GBP,-1.00246506,0.06162648932,-1.308946633,2,stoploss,0
715,EUR_NZD,-1.008857054,0.09565618472,-1.115988822,1,stoploss,0
716,EUR_AUD,-1.000949354,0.6692947096,-1.020555763,15,stoploss,3
717,EUR_NZD,-1.006456917,0.8264853407,-1.189686906,24,stoploss,3
718,EUR_GBP,-1.002218176,0.3926171755,-1.022579197,13,stoploss,2
720,CHF_JPY,-1.002418876,0.466843146,-1.279585618,10,stoploss,0
721,GBP_CAD,-1.001050929,1.008891682,-1.280031321,13,stoploss,6
726,NZD_USD,-1.002003646,1.681059162,-1.196176781,76,stoploss,10
731,GBP_CAD,-1.001057756,0.1004867985,-1.005925741,1,stoploss,0
732,EUR_CAD,-1.001077621,1.05283525,-1.070077178,49,stoploss,3
734,GBP_CAD,-1.000927959,0.5354323356,-1.261096264,24,stoploss,3
738,GBP_USD,-1.001478187,0.4065013847,-1.222460528,10,stoploss,1
743,GBP_AUD,-1.000736967,0.4281778694,-1.088500367,35,stoploss,15
744,GBP_CAD,-1.000947509,0.8518102167,-1.067842174,25,stoploss,13
745,NZD_JPY,-1.002858389,0.1229107426,-1.203381922,3,stoploss,0
746,USD_JPY,-1.001493157,0.1597678037,-1.255745074,2,stoploss,0
747,USD_JPY,-1.001276113,0.02169392846,-1.093629217,2,stoploss,0
748,NZD_JPY,-1.003947329,0.8026235117,-1.121041364,6,stoploss,3
751,EUR_CAD,-1.001191373,0.2299350159,-1.109168393,11,stoploss,0
752,GBP_CAD,-1.001030897,0.0257724351,-1.023681122,10,stoploss,0
753,EUR_AUD,-1.000911267,0,-1.305844946,6,stoploss,0
755,GBP_CAD,-1.001206042,0.4197027869,-1.213278746,7,stoploss,2
756,GBP_CAD,-1.001022026,1.734378023,-1.01487176,20,stoploss,2
757,GBP_JPY,-1.000409495,0.9709120708,-1.031517295,22,stoploss,5
758,CAD_JPY,-1.001551945,0.4966225022,-1.617127023,15,stoploss,2
759,EUR_JPY,-1.000560198,1.394333378,-1.338313555,30,stoploss,13
765,EUR_JPY,-1.000772152,1.382923379,-1.503379017,13,stoploss,3
767,AUD_JPY,-1.000866938,0.04074606706,-1.207644073,3,stoploss,0
776,AUD_NZD,-1.0015907,0.2656469122,-1.270969359,17,stoploss,2
779,AUD_NZD,-1.001848423,0.005545268609,-1.221807517,5,stoploss,0
789,EUR_JPY,-1.001154018,0.3958282049,-1.115935493,5,stoploss,1
790,EUR_JPY,-1.00106093,0.3066088129,-1.07260038,3,stoploss,0
792,AUD_NZD,-1.001868716,0.4204610874,-1.343606764,5,stoploss,0
795,CHF_JPY,-1.002450058,0.1176028013,-1.183378188,2,stoploss,0
797,EUR_NZD,-1.07450183,0,-1.782184232,1,stoploss,0
798,NZD_USD,-1.01471864,0.9840461895,-1.152259213,22,stoploss,0
803,NZD_USD,-1.001801328,0.106278334,-1.255525403,6,stoploss,1
804,NZD_USD,-1.001915808,0.1781701398,-1.155232197,5,stoploss,1
