cluster_id,model,mean_auc,std_auc,fold_aucs,auc_best_threshold,auc_best_precision,auc_best_recall,auc_best_trade_count,f1_best_threshold,f1_best_precision,f1_best_recall,f1_best_f1,f1_best_trade_count
2,rf,0.5300272741347214,0.020409657998237973,0.4902;0.5401;0.5426;0.5454;0.5318,0.21999999999999997,0.24990730441230996,0.5208655332302936,2697,0.05,0.22984014209591475,1.0,0.37377238590410167,5630
2,logreg,0.5226734109713599,0.01281612855420894,0.5199;0.5119;0.5210;0.5473;0.5133,0.24,0.26009501187648454,0.3384853168469861,1684,0.05,0.2299484261070603,0.999227202472952,0.37386150065057105,5623
2,lgbm,0.521228970791692,0.027297008022512594,0.5142;0.5162;0.5531;0.4764;0.5463,0.15999999999999998,0.24409710675091453,0.5672333848531684,3007,0.06,0.23255813953488372,0.9273570324574961,0.37186241090796407,5160
