cluster_id,classifier,n_positives,n_total,mean_auc,oos_auc,auc_best_threshold,auc_best_precision,auc_best_recall,auc_best_n_admit,f1_best_threshold,f1_best_precision,f1_best_recall,f1_best_n_admit
0,rf,1493,3152,0.5098381678024566,0.49354170230045946,0.49999999999999994,0.4588688946015424,0.2853717026378897,778,0.05,0.4765714285714286,1.0,2625
0,logistic,1493,3152,0.5131459604627523,0.5075398196726462,0.49999999999999994,0.48415841584158414,0.3908872901678657,1010,0.19999999999999996,0.47728140511645667,0.9992006394884093,2619
0,lgbm,1493,3152,0.5103391653748359,0.5003321942155156,0.49999999999999994,0.4744408945686901,0.4748201438848921,1252,0.09,0.4781273983115886,0.9960031974420464,2606
