candidate,trade_id,fold,recorded_prob,reproduced_prob,abs_diff,match
B_thr0.05,1625,6,0.2746577629,0.2746577629,1.539768313e-12,1
B_thr0.05,1958,7,0.6840288873,0.6840288873,5.141220782e-12,1
B_thr0.05,725,3,0.7535238244,0.7535238244,2.379052511e-11,1
B_thr0.05,435,2,0.1784770215,0.1784770215,7.352451981e-13,1
B_thr0.05,961,3,0.197335586,0.197335586,3.044772767e-11,1
B_thr0.05,1246,4,0.07223019246,0.07223019246,4.310288237e-12,1
B_thr0.05,1856,6,0.4603829151,0.4603829151,9.259260025e-12,1
B_thr0.05,1495,5,0.6535394931,0.6535394931,4.818045962e-11,1
B_thr0.05,973,3,0.1380445982,0.1380445982,8.702205623e-13,1
B_thr0.05,637,2,0.1230453969,0.1230453969,3.077209321e-11,1
B_thr0.05,916,3,0.07194825757,0.07194825757,2.353964246e-12,1
B_thr0.05,604,2,0.2131799905,0.2131799905,9.4861341e-12,1
B_thr0.05,1615,6,0.9225208673,0.9225208673,1.386224469e-12,1
B_thr0.05,2105,7,0.5017475719,0.5017475719,3.478117794e-11,1
B_thr0.05,1461,5,0.05672462203,0.05672462203,7.511352651e-14,1
B_thr0.05,1726,6,0.4499099795,0.4499099795,2.687794431e-11,1
B_thr0.05,1259,4,0.3334314893,0.3334314893,3.16607851e-12,1
B_thr0.05,1686,6,0.6690485072,0.6690485072,1.001376759e-11,1
B_thr0.05,1874,7,0.1094796689,0.1094796689,1.556738072e-11,1
B_thr0.05,1639,6,0.2984698203,0.2984698203,2.121525178e-12,1
B_thr0.05,1085,4,0.3907002226,0.3907002226,3.553957129e-11,1
B_thr0.05,1083,4,0.3079712283,0.3079712283,4.531247599e-11,1
B_thr0.05,405,2,0.1650919015,0.1650919015,1.117769766e-11,1
B_thr0.05,1326,5,0.1297137972,0.1297137972,1.620426016e-12,1
B_thr0.05,1493,5,0.9033428112,0.9033428112,2.113575981e-11,1
B_thr0.05,1328,5,0.9833075049,0.9833075049,2.096478546e-11,1
