pair,signal_bar_ts,feature_name,max_source_bar_ts,recomputed,recorded,abs_diff,leak_flag
AUD_CAD,2021-01-18 00:00:00,break_close_above_high_atr,2021-01-18 00:00:00,0.2076588179,0.2076588179,1.578639997e-11,0
AUD_CAD,2021-01-18 00:00:00,swing_low_dist_atr,2021-01-18 00:00:00,0.7537245984,0.7537245985,1.389911519e-10,0
AUD_CAD,2025-08-15 08:00:00,body_to_range_ratio,2025-08-15 08:00:00,0.5890410959,0.5890410959,9.615086505e-12,0
AUD_CAD,2025-08-15 08:00:00,upper_wick_ratio,2025-08-15 08:00:00,0.3150684932,0.3150684932,4.930778008e-11,0
AUD_CAD,2025-08-15 08:00:00,lower_wick_ratio,2025-08-15 08:00:00,0.09589041096,0.09589041096,1.077152256e-12,0
AUD_CAD,2025-08-15 08:00:00,range_to_atr_14,2025-08-15 08:00:00,0.7181305222,0.718130522,2.125273291e-10,0
AUD_CAD,2025-08-15 08:00:00,ret_5bar_atr,2025-08-15 08:00:00,0.3295530479,0.3295530478,6.467842928e-11,0
AUD_CAD,2025-08-15 08:00:00,ret_20bar_atr,2025-08-15 08:00:00,0.004918702207,0.004918702206,9.67286147e-13,0
AUD_CAD,2025-08-15 08:00:00,pos_in_20bar_range,2025-08-15 08:00:00,0.4946695096,0.4946695096,5.116740365e-12,0
AUD_CAD,2025-08-15 08:00:00,rsi_14,2025-08-15 08:00:00,50.3528067,50.3528067,2.521495901e-09,0
AUD_CAD,2025-08-15 08:00:00,mother_bar_range_atr,2025-08-15 08:00:00,1.200163338,1.200163338,4.921540953e-10,0
AUD_CAD,2025-08-15 08:00:00,inside_bar_range_atr,2025-08-15 08:00:00,0.9148786105,0.9148786103,1.899082003e-10,0
AUD_CAD,2025-08-15 08:00:00,ib_range_ratio,2025-08-15 08:00:00,0.762295082,0.762295082,3.279732042e-11,0
AUD_CAD,2025-08-15 08:00:00,break_bar_body_atr,2025-08-15 08:00:00,0.4230083898,0.4230083897,9.640155341e-11,0
AUD_CAD,2025-08-15 08:00:00,break_close_above_high_atr,2025-08-15 08:00:00,0.05902442648,0.05902442647,1.322516402e-11,0
AUD_CAD,2025-08-15 08:00:00,swing_low_dist_atr,2025-08-15 08:00:00,2.282277824,2.282277823,1.017857798e-09,0
AUD_CAD,2023-10-17 12:00:00,body_to_range_ratio,2023-10-17 12:00:00,0.6646884273,0.6646884273,3.096412016e-13,0
AUD_CAD,2023-10-17 12:00:00,upper_wick_ratio,2023-10-17 12:00:00,0.2997032641,0.2997032641,5.033251593e-12,0
AUD_CAD,2023-10-17 12:00:00,lower_wick_ratio,2023-10-17 12:00:00,0.03560830861,0.03560830861,4.657094155e-12,0
AUD_CAD,2023-10-17 12:00:00,range_to_atr_14,2023-10-17 12:00:00,1.277342758,1.277342758,1.45213841e-10,0
AUD_CAD,2023-10-17 12:00:00,ret_5bar_atr,2023-10-17 12:00:00,1.796618597,1.796618597,1.013271689e-10,0
AUD_CAD,2023-10-17 12:00:00,ret_20bar_atr,2023-10-17 12:00:00,-1.823150939,-1.823150939,2.526183707e-10,0
AUD_CAD,2023-10-17 12:00:00,pos_in_20bar_range,2023-10-17 12:00:00,0.6348575215,0.6348575215,3.743949595e-11,0
AUD_CAD,2023-10-17 12:00:00,rsi_14,2023-10-17 12:00:00,55.87803208,55.87803208,4.942563692e-09,0
AUD_CAD,2023-10-17 12:00:00,mother_bar_range_atr,2023-10-17 12:00:00,0.9854869942,0.9854869941,9.062617323e-11,0
AUD_CAD,2023-10-17 12:00:00,inside_bar_range_atr,2023-10-17 12:00:00,0.5988728657,0.5988728656,1.004143435e-10,0
AUD_CAD,2023-10-17 12:00:00,ib_range_ratio,2023-10-17 12:00:00,0.6076923077,0.6076923077,7.736034036e-12,0
AUD_CAD,2023-10-17 12:00:00,break_bar_body_atr,2023-10-17 12:00:00,0.8490349488,0.8490349488,4.114708574e-11,0
AUD_CAD,2023-10-17 12:00:00,break_close_above_high_atr,2023-10-17 12:00:00,0.4320981436,0.4320981436,6.662725927e-12,0
AUD_CAD,2023-10-17 12:00:00,swing_low_dist_atr,2023-10-17 12:00:00,3.63114054,3.63114054,1.330580091e-10,0
AUD_CAD,2023-10-05 00:00:00,body_to_range_ratio,2023-10-05 00:00:00,0.7061503417,0.7061503417,1.435351837e-11,0
AUD_CAD,2023-10-05 00:00:00,upper_wick_ratio,2023-10-05 00:00:00,0.0569476082,0.0569476082,4.745370763e-13,0
AUD_CAD,2023-10-05 00:00:00,lower_wick_ratio,2023-10-05 00:00:00,0.2369020501,0.2369020501,1.387895354e-11,0
AUD_CAD,2023-10-05 00:00:00,range_to_atr_14,2023-10-05 00:00:00,1.627152727,1.627152727,2.359912266e-10,0
AUD_CAD,2023-10-05 00:00:00,ret_5bar_atr,2023-10-05 00:00:00,2.197953456,2.197953455,5.149307647e-10,0
AUD_CAD,2023-10-05 00:00:00,ret_20bar_atr,2023-10-05 00:00:00,-0.2446288838,-0.2446288837,5.039516027e-11,0
AUD_CAD,2023-10-05 00:00:00,pos_in_20bar_range,2023-10-05 00:00:00,0.7682008368,0.7682008368,2.007982669e-11,0
AUD_CAD,2023-10-05 00:00:00,rsi_14,2023-10-05 00:00:00,63.08922247,63.08922247,4.055735303e-09,0
AUD_CAD,2023-10-05 00:00:00,mother_bar_range_atr,2023-10-05 00:00:00,0.9896350297,0.9896350297,1.749833611e-11,0
AUD_CAD,2023-10-05 00:00:00,inside_bar_range_atr,2023-10-05 00:00:00,0.4596057816,0.4596057816,8.378409078e-12,0
AUD_CAD,2023-10-05 00:00:00,ib_range_ratio,2023-10-05 00:00:00,0.4644194757,0.4644194757,4.459510539e-11,0
AUD_CAD,2023-10-05 00:00:00,break_bar_body_atr,2023-10-05 00:00:00,1.149014454,1.149014454,2.086375517e-11,0
AUD_CAD,2023-10-05 00:00:00,break_close_above_high_atr,2023-10-05 00:00:00,0.6041592129,0.6041592129,1.283750883e-12,0
AUD_CAD,2023-10-05 00:00:00,swing_low_dist_atr,2023-10-05 00:00:00,3.402565383,3.402565383,7.369616029e-11,0
AUD_CAD,2023-05-11 00:00:00,body_to_range_ratio,2023-05-11 00:00:00,0.3414634146,0.3414634146,3.414823979e-11,0
AUD_CAD,2023-05-11 00:00:00,upper_wick_ratio,2023-05-11 00:00:00,0.1010452962,0.1010452962,3.274573668e-11,0
AUD_CAD,2023-05-11 00:00:00,lower_wick_ratio,2023-05-11 00:00:00,0.5574912892,0.5574912892,1.402544747e-12,0
AUD_CAD,2023-05-11 00:00:00,range_to_atr_14,2023-05-11 00:00:00,1.027512425,1.027512425,5.842992756e-11,0
AUD_CAD,2023-05-11 00:00:00,ret_5bar_atr,2023-05-11 00:00:00,0.6730743411,0.6730743411,2.327782411e-11,0
AUD_CAD,2023-05-11 00:00:00,ret_20bar_atr,2023-05-11 00:00:00,0.7554185424,0.7554185425,1.213550371e-10,0
AUD_CAD,2023-05-11 00:00:00,pos_in_20bar_range,2023-05-11 00:00:00,0.7531806616,0.7531806616,2.239919361e-11,0
AUD_CAD,2023-05-11 00:00:00,rsi_14,2023-05-11 00:00:00,54.44558814,54.44558814,2.626414641e-09,0
AUD_CAD,2023-05-11 00:00:00,mother_bar_range_atr,2023-05-11 00:00:00,2.180331243,2.180331243,1.687663342e-10,0
AUD_CAD,2023-05-11 00:00:00,inside_bar_range_atr,2023-05-11 00:00:00,0.7446779944,0.7446779945,1.172512087e-10,0
AUD_CAD,2023-05-11 00:00:00,ib_range_ratio,2023-05-11 00:00:00,0.341543514,0.341543514,4.269995468e-11,0
AUD_CAD,2023-05-11 00:00:00,break_bar_body_atr,2023-05-11 00:00:00,0.3508579012,0.3508579012,4.37538894e-13,0
AUD_CAD,2023-05-11 00:00:00,break_close_above_high_atr,2023-05-11 00:00:00,0.1825893159,0.1825893159,3.03918557e-11,0
AUD_CAD,2023-05-11 00:00:00,swing_low_dist_atr,2023-05-11 00:00:00,2.119468138,2.119468138,1.414037776e-10,0
AUD_CAD,2023-02-24 00:00:00,body_to_range_ratio,2023-02-24 00:00:00,0.2660944206,0.2660944206,8.451017663e-13,0
AUD_CAD,2023-02-24 00:00:00,upper_wick_ratio,2023-02-24 00:00:00,0.07296137339,0.07296137339,5.612177389e-13,0
AUD_CAD,2023-02-24 00:00:00,lower_wick_ratio,2023-02-24 00:00:00,0.660944206,0.660944206,8.593681322e-12,0
AUD_CAD,2023-02-24 00:00:00,range_to_atr_14,2023-02-24 00:00:00,0.8753995099,0.8753995099,3.472666599e-11,0
AUD_CAD,2023-02-24 00:00:00,ret_5bar_atr,2023-02-24 00:00:00,-0.01127123833,-0.01127123832,5.372232173e-12,0
AUD_CAD,2023-02-24 00:00:00,ret_20bar_atr,2023-02-24 00:00:00,-2.596141894,-2.596141894,2.700346613e-10,0
AUD_CAD,2023-02-24 00:00:00,pos_in_20bar_range,2023-02-24 00:00:00,0.252293578,0.252293578,1.8353985e-11,0
AUD_CAD,2023-02-24 00:00:00,rsi_14,2023-02-24 00:00:00,44.29368268,44.29368268,6.132552244e-10,0
AUD_CAD,2023-02-24 00:00:00,mother_bar_range_atr,2023-02-24 00:00:00,1.566702127,1.566702127,2.222768636e-10,0
AUD_CAD,2023-02-24 00:00:00,inside_bar_range_atr,2023-02-24 00:00:00,0.9618123371,0.961812337,9.569134374e-11,0
AUD_CAD,2023-02-24 00:00:00,ib_range_ratio,2023-02-24 00:00:00,0.6139088729,0.6139088729,1.679323347e-12,0
AUD_CAD,2023-02-24 00:00:00,break_bar_body_atr,2023-02-24 00:00:00,0.2329389254,0.2329389254,9.655165556e-12,0
AUD_CAD,2023-02-24 00:00:00,break_close_above_high_atr,2023-02-24 00:00:00,0.0450849533,0.0450849533,1.363791025e-12,0
