percentile,fwd_mfe_h240_R,final_r
1,0.8704598379135132,-2.2227494966983796
5,1.0770792722702027,-1.6325672924518586
10,1.217615532875061,-1.2074938774108888
20,1.3990010023117065,-1.1423218250274658
30,1.6366520404815674,-1.0720859885215759
40,1.8583960056304931,-0.829753065109253
50,1.9503925442695618,-0.7620327770709991
60,2.0859289884567263,-0.66166011095047
70,3.1016475439071653,0.5087256401777265
80,3.454678010940552,1.1378226280212402
90,3.9291909694671636,1.265974569320679
95,4.788246297836303,1.3851808428764343
99,5.816169385910032,1.4821627402305602
