trade_id,pair,entry_date,body_to_range_ratio,upper_wick_ratio,lower_wick_ratio,range_to_atr_14,ret_5bar_atr,ret_20bar_atr,pos_in_20bar_range,rsi_14
0,USD_CAD,2020-10-01 04:00:00,0.7672131147541019,0.0,0.23278688524589805,1.7661005549165059,-1.418670937555791,-6.948592347212495,0.05220588235294096,25.486767708067774
19,USD_CAD,2020-10-01 12:00:00,0.8723404255319209,0.02978723404256123,0.09787234042551785,1.442943253062449,-0.25174754627900947,-5.464763809470839,0.09919839679359083,34.315615250268806
22,USD_CAD,2020-10-01 14:00:00,0.7476635514017761,0.13551401869164453,0.11682242990657939,1.2654468101619685,-0.18331238838783398,-2.193835357804058,0.12571428571430626,36.06753658893041
38,USD_CAD,2020-10-01 21:00:00,0.7431906614785545,0.09727626459147365,0.15953307392997185,1.4513469153618959,-1.6998265428946733,-2.0725459841937766,0.07578558225508834,34.04328213809653
64,USD_CAD,2020-10-02 09:00:00,0.6215139442231069,0.17928286852592004,0.1992031872509731,1.5724902300546257,0.6828742433305136,0.4260132894171961,0.6710310965630036,52.562220775803155
78,USD_CAD,2020-10-02 19:00:00,0.618518518518425,0.044444444444486475,0.33703703703708854,1.4663088509713602,-0.49420039051252446,0.8580622164943792,0.5380622837370423,47.73607276425408
137,USD_CAD,2020-10-07 14:00:00,0.7912621359223588,0.18446601941750293,0.024271844660138188,1.4507776471638885,-0.9789227813387653,0.7958149229589041,0.40157480314961164,44.72779776686138
147,USD_CAD,2020-10-07 23:00:00,0.8564102564103329,0.13846153846154197,0.005128205128125128,1.3388722076740545,-2.032339351136159,-5.4172829325891225,0.001160092807406455,34.55451692238448
175,USD_CAD,2020-10-08 17:00:00,0.7411003236245552,0.13915857605175574,0.11974110032368901,2.3166277531540276,-0.869672554581955,-3.2537749024879834,0.0689013035382117,33.409170861863046
176,USD_CAD,2020-10-08 19:00:00,0.672489082969406,0.056768558951951514,0.27074235807864244,1.6327500180403336,-2.7735360568458876,-3.3225393380210004,0.08857142857143918,28.231313574366737
198,USD_CAD,2020-10-09 15:00:00,0.9825327510916857,0.0,0.017467248908314303,3.631421638387744,-2.94953897266422,-5.788073790443378,0.01084010840109461,21.96527176032349
204,USD_CAD,2020-10-09 17:00:00,0.6651982378855181,0.27312775330389627,0.061674008810585615,1.5992513448749985,-2.4023995973673897,-4.868205635720803,0.020661157024775695,27.400375985229644
208,USD_CAD,2020-10-09 23:00:00,0.6965174129353339,0.1691542288557192,0.13432835820894698,1.385140746411894,-0.5168435620939926,-5.285586828347743,0.032926829268291824,26.578703400079164
250,USD_CAD,2020-10-13 11:00:00,0.9655172413793698,0.03448275862063025,0.0,1.9833834128735903,-2.1116194093956775,-1.6328716890467554,0.10933940774488554,39.85021177919421
399,USD_CAD,2020-10-16 10:00:00,0.7664974619288728,0.08121827411164251,0.1522842639594847,1.5603462985031056,-1.9563732778185654,0.26929834593454793,0.06902985074630621,48.70519513462047
412,USD_CAD,2020-10-16 19:00:00,0.808510638297905,0.04787234042549422,0.14361702127660078,1.2270698878437587,-1.4424598149653898,-2.8653387274650584,0.04455445544554365,35.56865157175679
422,USD_CAD,2020-10-19 16:00:00,0.6753246753246679,0.012987012987001752,0.3116883116883304,1.8912540375890117,-1.621074889362062,-2.12868419815205,0.15686274509804776,35.16702529895315
448,USD_CAD,2020-10-20 12:00:00,0.9622641509432934,0.0,0.03773584905670654,1.2600803976747745,-1.3868809408367748,1.1412048884601134,0.4272388059701701,42.95909256147452
