cluster_id,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative,count,fraction
0,0.5139436507,7.638985006,0.9019925321,0.6205639915,871,0.071032458
1,0.005478556939,0.5148617214,0.010225598,0.03978424859,3868,0.3154460936
2,0.5158984259,8.294536049,0.3210338917,0.5302872713,3096,0.2524873593
3,0.5414935119,22.02093945,0.3550976783,0.813925611,1767,0.1441037351
4,0.5565041527,2.891222806,0.05021135632,0.2385916616,2660,0.2169303539
