cluster_id,archetype,sl_multiplier,exit_policy,exposure,max_per_currency,architecture,search_worst_roi,search_worst_dd,search_worst_ratio,search_mean_roi,search_mean_dd,search_mean_ratio,search_sign_consistency,search_neg_folds,search_n_total,a3_n_bars
1,v_shape_recovery,3.5,sl_partial_close_1r_runner_trail,unlimited,,A1,0.2649053592818633,0.09224133035508304,5.418504508840416,0.4990950486584189,0.03820372316408353,16.28306242457494,11,0,2162,
1,v_shape_recovery,4.0,sl_partial_close_1r_runner_trail,unlimited,,A1,0.13550014147973144,0.10092395667929091,2.0906394488092768,0.3826427955540955,0.04436390324613854,11.231784362814928,11,0,2162,
1,v_shape_recovery,3.5,sl_partial_close_1r_runner_trail,max_per_currency_2,2.0,A1,0.13355658728351627,0.08572326487535543,2.0386223518519975,0.22701055940094816,0.031396629382170235,10.565207369299403,11,0,1080,
1,v_shape_recovery,3.5,sl_partial_close_1r_runner_trail,max_per_currency_2,2.0,A3,0.02932700535639765,0.050328209752426085,1.396621884602007,0.14237823143833656,0.0241276342867149,7.582728193739281,10,0,644,5.0
1,v_shape_recovery,3.5,sl_partial_close_1r_runner_trail,unlimited,,A3,0.02932700535639765,0.05032820975242605,1.396621884602007,0.23622018333789602,0.024710186978858826,10.444722928774542,10,0,984,5.0
1,v_shape_recovery,4.0,sl_partial_close_1r_runner_trail,max_per_currency_2,2.0,A3,0.027073687499566734,0.051968966322982764,1.3638794162359322,0.11448190925639992,0.027284298999670904,5.240677104700461,10,0,644,5.0
1,v_shape_recovery,4.0,sl_partial_close_1r_runner_trail,unlimited,,A3,0.027073687499566734,0.05575851588178072,1.3638794162359322,0.18724011975083552,0.02817400642040536,7.693568016366373,10,0,984,5.0
1,v_shape_recovery,4.0,sl_partial_close_1r_runner_trail,max_per_currency_2,2.0,A1,0.04949743823615593,0.10160738858736071,0.8909244644162139,0.17531586263343504,0.03711041876609175,6.748663339685144,11,0,1080,
1,v_shape_recovery,3.5,sl_plus_tp_3r,unlimited,,A3,-0.23485543284300925,0.25629003290393737,-0.9210233815212532,-0.048189507379670024,0.12053467702953746,-0.06586789103262025,3,7,984,5.0
1,v_shape_recovery,4.0,sl_plus_tp_2r,unlimited,,A1,-0.2839713845202114,0.2959845748314092,-0.9594127825139522,-0.03228923055403026,0.17363083476563312,0.014763295779576231,4,7,2162,
1,v_shape_recovery,3.5,sl_plus_tp_3r,unlimited,,A1,-0.3474831647656468,0.352808489356128,-0.9849059057501709,-0.05678334553446054,0.21031067522531688,-0.06331591094761152,3,8,2162,
1,v_shape_recovery,3.5,sl_plus_tp_2r,unlimited,,A1,-0.3021872528910122,0.30587254416498094,-0.9879515460139471,-0.019384320630244038,0.15351874563450355,0.07381255509989076,6,5,2162,
1,v_shape_recovery,3.5,sl_plus_tp_2r,max_per_currency_2,2.0,A3,-0.07708965312812,0.091319347765316,-0.9946742982011884,-0.008275495255553832,0.05658768077706642,0.5441973626107144,3,7,644,5.0
1,v_shape_recovery,4.0,sl_plus_tp_2r,max_per_currency_2,2.0,A3,-0.12281758827332001,0.12265090970516242,-1.001358967239283,-0.01128838187729817,0.06448929715409547,0.18659263243902408,4,6,644,5.0
1,v_shape_recovery,4.0,sl_plus_tp_3r,max_per_currency_2,2.0,A3,-0.21856267579363875,0.2158473240337472,-1.0125799648990181,-0.05596149036714569,0.09485673331692947,-0.30284996044977863,2,8,644,5.0
1,v_shape_recovery,3.5,sl_plus_tp_3r,max_per_currency_2,2.0,A3,-0.19535112456485715,0.1928732041530222,-1.012847406267327,-0.03766104694695129,0.08575347992180407,-0.04698554178092869,3,7,644,5.0
1,v_shape_recovery,4.0,sl_plus_tp_3r,unlimited,,A3,-0.28768099769723854,0.3002002994213499,-1.0208839378111116,-0.07874368996872949,0.13407727277725515,-0.20653979872669223,3,7,984,5.0
1,v_shape_recovery,4.0,sl_plus_tp_2r,unlimited,,A3,-0.1924864914013188,0.2172047202935995,-1.0326057329951719,-0.019910282148956106,0.09195906442842788,0.17206974282839343,3,7,984,5.0
1,v_shape_recovery,3.5,sl_plus_tp_2r,unlimited,,A3,-0.12019909655187211,0.17216342353163128,-1.034860386558448,-0.012585611111409701,0.0865014789572068,0.3404310312948372,3,7,984,5.0
1,v_shape_recovery,3.5,sl_plus_tp_3r,max_per_currency_2,2.0,A1,-0.19535112456485715,0.1928732041530222,-1.03649986891136,-0.03572775671320299,0.12209676930506407,-0.04961685194108754,4,7,1080,
1,v_shape_recovery,3.5,sl_only,unlimited,,A1,-0.5136427897029683,0.48959327854057744,-1.0491214079451412,-0.23871672602548652,0.32567368362172955,-0.6555780994300087,2,9,2162,
1,v_shape_recovery,4.0,sl_only,unlimited,,A1,-0.5125240222678672,0.4884897167914435,-1.0492012516338904,-0.26871259330844705,0.3327847615933728,-0.7499174843110002,1,10,2162,
1,v_shape_recovery,4.0,sl_plus_tp_3r,unlimited,,A1,-0.3585492825615004,0.33964303861521866,-1.0556650418137987,-0.09931851515610925,0.22810598357270664,-0.24110794378506367,3,8,2162,
1,v_shape_recovery,4.0,sl_only,max_per_currency_2,2.0,A1,-0.30172527773368807,0.29789805755686954,-1.0714399987799985,-0.14754562421645134,0.1911055034164141,-0.6946179154748745,1,10,1080,
1,v_shape_recovery,3.5,sl_only,max_per_currency_2,2.0,A1,-0.2973245096640138,0.29497346909701294,-1.07172047195365,-0.13044640138758032,0.18761323689007423,-0.596130680203943,1,10,1080,
1,v_shape_recovery,4.0,sl_plus_tp_2r,max_per_currency_2,2.0,A1,-0.1403169871639104,0.14692287633105633,-1.080093121897526,-0.020541193596733242,0.09896732677894585,0.08425616899226006,5,6,1080,
1,v_shape_recovery,3.5,sl_plus_tp_2r,max_per_currency_2,2.0,A1,-0.1419957125930953,0.1312641524728563,-1.0817554520260826,-0.007861670582285808,0.08441003905683733,0.18405581457099665,5,6,1080,
1,v_shape_recovery,4.0,sl_plus_tp_3r,max_per_currency_2,2.0,A1,-0.21856267579363875,0.2158473240337472,-1.088318207865004,-0.05951610582280856,0.13123965164841034,-0.2799365416429835,3,8,1080,
1,v_shape_recovery,4.0,sl_only,max_per_currency_2,2.0,A3,-0.30172527773368807,0.29789805755686954,-1.1883292751232475,-0.11228289737655155,0.13780658687690148,-0.6862609273605396,2,8,644,5.0
1,v_shape_recovery,4.0,sl_only,unlimited,,A3,-0.40491905735181477,0.414580829981684,-1.1883292751232475,-0.1524668343837822,0.18864627845647128,-0.6250654927924264,2,8,984,5.0
1,v_shape_recovery,3.5,sl_only,max_per_currency_2,2.0,A3,-0.2973245096640138,0.29497346909701294,-1.1934020076916325,-0.10321354489851617,0.13603494756060405,-0.5878970690626886,3,7,644,5.0
1,v_shape_recovery,3.5,sl_only,unlimited,,A3,-0.3942355079108897,0.4087045082027043,-1.1934020076916325,-0.1381079096080007,0.18508904921783226,-0.5298991827099948,3,7,984,5.0
1,v_shape_recovery,4.0,sl_plus_tp_3r,unlimited,,A3,-0.28768099769723854,0.3002002994213499,-1.8292796454269773,-0.06955365820577344,0.132170208914757,-0.4996377937887505,3,7,1045,3.0
1,v_shape_recovery,4.0,sl_plus_tp_3r,max_per_currency_2,2.0,A3,-0.21856267579363875,0.2158473240337472,-1.8292796454269773,-0.06640541479404569,0.11120748211453657,-0.5631697925706098,2,8,689,3.0
1,v_shape_recovery,3.5,sl_only,unlimited,,A3,-0.3942355079108897,0.4087045082027043,-1.8292796454269773,-0.15023031112096125,0.1972404661578729,-0.78630238899117,1,9,1045,3.0
1,v_shape_recovery,3.5,sl_plus_tp_3r,max_per_currency_2,2.0,A3,-0.19535112456485715,0.20984364896213803,-1.8292796454269773,-0.051862445725470475,0.10841179154025855,-0.41567409054912785,2,8,689,3.0
1,v_shape_recovery,3.5,sl_only,max_per_currency_2,2.0,A3,-0.2973245096640138,0.29497346909701294,-1.8292796454269773,-0.11302019775210329,0.14333201609108548,-0.7764316580534899,1,9,689,3.0
1,v_shape_recovery,3.5,sl_plus_tp_3r,unlimited,,A3,-0.23485543284300925,0.25629003290393737,-1.8292796454269773,-0.05045092576037051,0.12596522680683236,-0.37432793993582314,2,8,1045,3.0
1,v_shape_recovery,4.0,sl_only,max_per_currency_2,2.0,A3,-0.30172527773368807,0.29789805755686954,-1.8292796454269773,-0.12367124121414497,0.14472130413354542,-0.858350125127347,1,9,689,3.0
1,v_shape_recovery,4.0,sl_only,unlimited,,A3,-0.40491905735181477,0.414580829981684,-1.8292796454269773,-0.16557559919563256,0.19996452489247107,-0.8623795541096957,0,10,1045,3.0
1,v_shape_recovery,3.5,sl_partial_close_1r_runner_trail,max_per_currency_2,2.0,A3,-0.014747115331382066,0.04281497587540061,-2.0083170260469845,0.15355368962624405,0.021022966515457063,7.93372157832138,9,1,689,3.0
1,v_shape_recovery,3.5,sl_partial_close_1r_runner_trail,unlimited,,A3,-0.014747115331382066,0.053877941852946025,-2.0083170260469845,0.2485495915830896,0.025134341475929006,9.681989943645226,9,1,1045,3.0
1,v_shape_recovery,3.5,sl_plus_tp_2r,unlimited,,A3,-0.1055859548284116,0.1802920950990071,-2.0971033605007,-0.01952027823651884,0.09863488836453242,-0.22970807835792412,3,7,1045,3.0
1,v_shape_recovery,3.5,sl_plus_tp_2r,max_per_currency_2,2.0,A3,-0.0743808620933053,0.14013018324357893,-2.0971033605007,-0.025651145832769763,0.07826186750460377,-0.3402509280685198,3,7,689,3.0
1,v_shape_recovery,4.0,sl_plus_tp_2r,max_per_currency_2,2.0,A3,-0.12281758827332001,0.1535161611692864,-2.0971033605007,-0.031791176440619004,0.08621382330714084,-0.3940198962866829,4,6,689,3.0
1,v_shape_recovery,4.0,sl_plus_tp_2r,unlimited,,A3,-0.1924864914013188,0.2172047202935995,-2.0971033605007,-0.028067653432244422,0.10260615080062988,-0.3289034427833224,3,7,1045,3.0
1,v_shape_recovery,4.0,sl_partial_close_1r_runner_trail,max_per_currency_2,2.0,A3,-0.018109539169822164,0.05210245369818513,-2.274355615628223,0.12414806276227389,0.026978538778435944,4.586908626174572,9,1,689,3.0
1,v_shape_recovery,4.0,sl_partial_close_1r_runner_trail,unlimited,,A3,-0.018109539169822164,0.05510463858489053,-2.274355615628223,0.1990680445537741,0.030123596039914685,5.8864617144329285,9,1,1045,3.0
