metric,value
unit_id,c0
n,385
sl_atr_mult,2
fwd_mfe_p5,0.2880686282
fwd_mfe_p10,0.3453531584
fwd_mfe_p25,0.5615481948
fwd_mfe_p50,0.9739363973
fwd_mfe_p75,1.570730935
fwd_mfe_p90,2.443743002
fwd_mfe_p95,3.239762804
fwd_mfe_p99,4.978742736
final_r_p5,-1
final_r_p10,-1
final_r_p25,-1
final_r_p50,-1
final_r_p75,-1
final_r_p90,-1
final_r_p95,-1
final_r_p99,1.490857506
fwd_mfe_mean,1.246175104
final_r_mean,-0.9451791368
hartigan_dip_stat,0.01188039173
hartigan_dip_pvalue,0.9904280463
shape_tag,unclassified
bimodal_separated,0
bimodal_mode_separation_r,0
bimodal_min_mode_mass,0
bimodal_left_mode_r,0
bimodal_right_mode_r,0
bimodal_left_mass,0
bimodal_right_mass,0
pct_peak_and_collapse,0.4675324675
mass_final_r_le_0R_count,377
mass_final_r_le_0R_frac,0.9792207792
mass_final_r_0R_to_0.5R_count,0
mass_final_r_0R_to_0.5R_frac,0
mass_final_r_0.5R_to_1R_count,2
mass_final_r_0.5R_to_1R_frac,0.005194805195
mass_final_r_1R_to_2R_count,4
mass_final_r_1R_to_2R_frac,0.01038961039
mass_final_r_2R_to_5R_count,2
mass_final_r_2R_to_5R_frac,0.005194805195
mass_final_r_gt_5R_count,0
mass_final_r_gt_5R_frac,0
