trade_id,pair,signal_bar_time,entry_time,exit_time,exit_reason,bars_held,mfe_lock_active_at_exit,final_r,mfe_r,mae_r,spread_pips_used,spread_pips_exit,fold
696,EUR_CHF,2022-05-02 16:00:00,2022-05-02 20:00:00,2022-05-04 20:00:00,trail_stop,13,1,0.6832732038,1.505920631,-0.3481022565,1,1,3
699,AUD_USD,2022-05-06 00:00:00,2022-05-06 04:00:00,2022-05-09 00:00:00,stoploss,6,0,-1.005440192,0.1229483292,-1.207722526,1,1,3
707,AUD_CAD,2022-05-11 04:00:00,2022-05-11 08:00:00,2022-05-12 04:00:00,stoploss,6,0,-1.012821875,0.8185754896,-1.182986672,1.9,1.9,3
714,CAD_CHF,2022-05-11 16:00:00,2022-05-11 20:00:00,2022-05-17 12:00:00,trail_stop,23,1,2.167506559,2.991969365,-0.2987483654,1.5,1.5,3
716,EUR_JPY,2022-05-13 16:00:00,2022-05-13 20:00:00,2022-05-18 16:00:00,trail_stop,18,1,0.5575346286,1.367550401,-0.6197134212,1,1,3
725,GBP_USD,2022-05-17 20:00:00,2022-05-18 00:00:00,2022-05-18 08:00:00,stoploss,3,0,-1.003788464,0.09376448429,-1.130856507,0.8,0.8,3
728,CAD_CHF,2022-05-23 00:00:00,2022-05-23 04:00:00,2022-05-23 12:00:00,stoploss,3,0,-1.010894157,0.02977736194,-1.078521524,1.5,1.5,3
791,USD_CAD,2022-07-14 08:00:00,2022-07-14 12:00:00,2022-07-14 16:00:00,trail_stop,2,1,0.374010055,1.744135147,-0.03999087008,1.3,1.3,3
805,EUR_CAD,2022-07-22 16:00:00,2022-07-22 20:00:00,2022-07-26 12:00:00,stoploss,11,0,-1.0076661,0.3568995658,-1.241056485,1.8,1.8,3
816,AUD_NZD,2022-08-01 08:00:00,2022-08-01 12:00:00,2022-08-02 04:00:00,stoploss,5,0,-1.022494971,0.3031465104,-1.678553293,2.1,2.1,3
839,NZD_CHF,2022-08-16 16:00:00,2022-08-16 20:00:00,2022-08-17 12:00:00,stoploss,5,0,-1.020804021,0.718350606,-1.012054431,1.7,1.7,3
892,AUD_CHF,2022-10-05 20:00:00,2022-10-06 00:00:00,2022-10-10 04:00:00,stoploss,14,0,-1.009229705,0.3968773218,-1.267106665,1.4,1.4,3
901,AUD_JPY,2022-10-12 04:00:00,2022-10-12 08:00:00,2022-10-14 16:00:00,trail_stop,15,1,0.6471101344,1.643555802,-0.7296896621,0.8,0.8,3
905,AUD_CAD,2022-10-13 20:00:00,2022-10-14 00:00:00,2022-10-27 12:00:00,trail_stop,58,1,1.521944166,2.472325933,-0.8778290232,1.9,1.9,3
907,AUD_USD,2022-10-13 20:00:00,2022-10-14 00:00:00,2022-10-14 20:00:00,stoploss,6,0,-1.005002727,0.4872655645,-1.04256821,1,1,3
931,CHF_JPY,2022-11-11 20:00:00,2022-11-14 00:00:00,2022-11-18 08:00:00,stoploss,27,0,-1.006740441,0.4761202711,-1.002487469,2.2,2.2,3
951,USD_JPY,2022-12-05 08:00:00,2022-12-05 12:00:00,2022-12-07 16:00:00,trail_stop,14,1,0.6500565157,1.543304403,-0.1320474356,0.6,0.6,3
977,AUD_NZD,2022-12-20 16:00:00,2022-12-20 20:00:00,2022-12-22 16:00:00,trail_stop,12,1,2.494325661,3.353431666,-0.2912499134,2.1,2.1,3
