trade_id,fold,prob
342,2,0.545136258
350,2,0.7643194152
363,2,0.8005477227
399,2,0.536814384
408,2,0.8709072494
409,2,0.6463808697
415,2,0.5790228515
417,2,0.4737909887
439,2,0.7157964502
442,2,0.5956968813
444,2,0.825857348
446,2,0.7622777772
452,2,0.897363579
460,2,0.7661415922
463,2,0.679727633
496,2,0.8259949122
497,2,0.6644362103
507,2,0.7661880638
511,2,0.9009747223
526,2,0.8624282896
528,2,0.4042369479
529,2,0.4333630835
530,2,0.8035717296
601,2,0.9399781335
605,2,0.729572929
609,2,0.5917851808
616,2,0.7293868783
620,2,0.8321111672
623,2,0.8395439004
624,2,0.9506039048
626,2,0.8818452418
634,2,0.6162488043
642,2,0.8510714144
656,2,0.9586234901
659,2,0.4737502257
696,3,0.6081003957
699,3,0.4591523017
707,3,0.7472839203
714,3,0.6243026171
716,3,0.9376085152
725,3,0.9173309055
728,3,0.7564256551
791,3,0.5243478813
805,3,0.904926949
816,3,0.4516191022
839,3,0.5989670134
892,3,0.5660449835
901,3,0.5239442059
905,3,0.7263550234
907,3,0.6588515814
931,3,0.852660065
951,3,0.6111633327
977,3,0.7776476749
1025,4,0.4328721496
1031,4,0.5343853074
1045,4,0.6892946309
1088,4,0.4701048807
1089,4,0.4675906629
1106,4,0.5480950219
1130,4,0.4963160105
1162,4,0.6381617844
1166,4,0.4455463321
1169,4,0.526391744
1181,4,0.4784992344
1206,4,0.5683188875
1208,4,0.5655929961
1224,4,0.7162011984
1232,4,0.8817231828
1264,4,0.616431178
1269,4,0.9101534587
1315,5,0.5010171175
1336,5,0.6260128899
1350,5,0.5430785967
1353,5,0.525240857
1354,5,0.7300505522
1355,5,0.5796577996
1369,5,0.855246674
1371,5,0.8946596344
1375,5,0.5715606546
1386,5,0.4958992085
1404,5,0.5144517294
1415,5,0.6406395395
1457,5,0.7576800382
1468,5,0.4251017343
1481,5,0.4330767951
1483,5,0.4272297599
1495,5,0.8831159016
1537,5,0.6929835735
1564,5,0.4599953873
1585,6,0.6083369221
1587,6,0.724636621
1595,6,0.5251173044
1607,6,0.5717595104
1608,6,0.6154272555
1609,6,0.470324641
1610,6,0.5598098453
1611,6,0.7233541459
1612,6,0.5380842928
1614,6,0.9054370673
1615,6,0.4180118692
1618,6,0.9217641436
1619,6,0.4936406588
1620,6,0.7142669685
1621,6,0.6927816196
1622,6,0.6332001516
1624,6,0.4165352704
1625,6,0.4800479084
1626,6,0.8223563019
1629,6,0.4128379478
1631,6,0.9135675696
1639,6,0.8343070964
1642,6,0.4419904341
1646,6,0.722834694
1648,6,0.5726373166
1656,6,0.632203157
1661,6,0.5836536564
1663,6,0.4214988774
1673,6,0.519746588
1682,6,0.4018769609
1687,6,0.5516677313
1694,6,0.6999849962
1699,6,0.568389183
1717,6,0.6657757433
1729,6,0.6183068897
1733,6,0.8711144408
1753,6,0.7938776333
1755,6,0.4388217616
1766,6,0.4910437938
1777,6,0.6922590524
1780,6,0.946655642
1791,6,0.5589906886
1794,6,0.4763520394
1798,6,0.6493842074
1810,6,0.5727224984
1811,6,0.6458380136
1814,6,0.7137932642
1830,6,0.5776241644
1841,6,0.4457427286
1852,6,0.4236485664
1875,7,0.7348585384
1877,7,0.5533533973
1921,7,0.4172077219
1929,7,0.5600451645
1934,7,0.8184625217
1937,7,0.4226536505
1947,7,0.6095674492
1955,7,0.4758314055
1976,7,0.4434309269
1989,7,0.4906929782
1999,7,0.5697838277
2033,7,0.6138517791
2040,7,0.4781595864
2044,7,0.8081474845
2046,7,0.4055473726
2052,7,0.4256702581
2060,7,0.4015854091
2070,7,0.7968696988
2072,7,0.6298441055
2081,7,0.4026194151
2085,7,0.671220738
2094,7,0.7005804704
2095,7,0.514944287
2098,7,0.4249433536
2113,7,0.7252419088
2119,7,0.6555343302
2120,7,0.5387376405
2126,7,0.9312962684
2144,7,0.4335972348
2150,7,0.6887417282
