unit_id,pipeline,n,n_features,base_success_rate,mean_auc,std_auc,fold_aucs,gate_threshold,gate_pass,selected_t,exclusion_at_t,admission_at_t,realised_success_at_t,lift_at_t,class_weight_used
c1,E,185,22,0.7783783784,0.4841177668,0.1269779858,0.468;0.4708994709;0.6477272727;0.5358851675;0.2980769231,0.65,0,,,,,,balanced
c1,D1,185,11,0.7783783784,0.4200581134,0.1304957171,0.52;0.1957671958;0.4204545455;0.4736842105;0.4903846154,0.6,0,,,,,,balanced
c3,E,365,22,0.1260273973,0.5119345553,0.09414786501,0.4915254237;0.4454545455;0.452;0.6754807692;0.4952120383,0.65,0,,,,,,balanced
c3,D1,365,11,0.1260273973,0.5177491081,0.09509587406,0.4576271186;0.5636363636;0.469;0.6634615385;0.4350205198,0.6,0,,,,,,balanced
agg_c1_c3,E,550,22,0.3927272727,0.536427014,0.02933511701,0.5712074303;0.5561735261;0.4965483235;0.5376175549;0.5205882353,0.65,0,,,,,,none
agg_c1_c3,D1,550,11,0.3927272727,0.495568735,0.06543981878,0.4783281734;0.4404894327;0.5315581854;0.4367816092;0.5906862745,0.6,0,,,,,,none
