fold,is_start,is_end,oos_start,oos_end,is_train_count,n_oos_signals,n_admitted,n_d1_rejected,n_traded,hit_rate,mean_r,std_r,total_r,sharpe_r,starting_balance,ending_balance,roi_pct,max_dd_pct,max_dd_r,n_pairs_active,skipped,skip_reason
1,2019-01-01,2020-10-01,2020-10-01,2021-07-01,0,190,0,0,0,,,,0,,10000,10000,0,0,0,0,1,IS train count 0 < 30 or OOS empty
2,2019-01-01,2021-07-01,2021-07-01,2022-04-01,23,194,0,0,0,,,,0,,10000,10000,0,0,0,0,1,IS train count 23 < 30 or OOS empty
3,2019-01-01,2022-04-01,2022-04-01,2023-01-01,44,188,150,38,188,0.265957,0.0254041,1.66487,4.77597,0.0152589,10000,10176.3,1.76251,15.6605,33.8999,28,0,
4,2019-01-01,2023-01-01,2023-01-01,2023-10-01,68,184,163,21,184,0.255435,-0.167606,1.43273,-30.8396,-0.116984,10000,8530.6,-14.694,14.694,31.5612,28,0,
5,2019-01-01,2023-10-01,2023-10-01,2024-07-01,93,188,167,20,188,0.308511,0.1772,1.77584,33.3135,0.0997836,10000,11725.7,17.257,7.9908,16.5962,28,0,
6,2019-01-01,2024-07-01,2024-07-01,2025-04-01,134,181,157,24,181,0.270718,-0.124489,1.47181,-22.5325,-0.0845819,10000,8891.22,-11.0878,19.0154,41.9782,28,0,
7,2019-01-01,2025-04-01,2025-04-01,2026-01-01,155,202,181,20,202,0.366337,0.0828006,1.55065,16.7257,0.0533974,10000,10807.2,8.07221,9.20527,19.0526,28,0,
