trade_id,pair,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
118,EUR_NZD,0.472972973,8,1.007899628,0.8705882353
119,CAD_CHF,0.5125,22,0.5396478689,0.3858921162
120,CAD_JPY,0.5442477876,39,0.368809869,0.7178423237
121,USD_JPY,1,2,0,0.2857142857
122,AUD_CHF,0.4516129032,5,0.3980968529,0.1956521739
123,GBP_JPY,0.525,32,0.475095136,0.5975103734
124,GBP_CHF,0.5,2,0.6090537715,0.25
125,GBP_CAD,0,1,0,0
126,USD_CAD,0.5,5,0.8455180293,0.6451612903
127,EUR_CHF,0,0,0,0
128,AUD_CAD,0.5714285714,7,1.045297764,0.7173913043
129,NZD_CHF,0.75,2,0.1228697429,0.4444444444
130,NZD_USD,0.5,3,0,0.4444444444
131,EUR_AUD,0.5714285714,3,0,0.1363636364
132,EUR_GBP,0,0,0,0
133,USD_CHF,0,1,0,0
134,GBP_AUD,0.5696202532,31,0.82239269,0.7966804979
135,GBP_NZD,0.5105485232,26,0.7846222147,0.7510373444
136,EUR_CHF,0,0,0,0
137,EUR_GBP,0.4892086331,10,0.6577479657,0.3441558442
138,USD_CAD,0.5384615385,3,0.3656378885,0.2857142857
139,AUD_CAD,0.4358974359,4,0.3789816981,0.1060606061
140,AUD_CHF,0.25,5,1.022859861,0.4411764706
141,NZD_CHF,0.5833333333,3,0,0.28
142,NZD_USD,0.5663716814,8,1.537764366,0.3741007194
143,GBP_CHF,0,1,0,0.1428571429
144,NZD_CHF,0.4520547945,7,0.673452997,0.2717391304
145,USD_CHF,0.5707317073,21,0.664838412,0.7427385892
146,GBP_CAD,0.5279503106,16,0.4925803445,0.6777777778
147,EUR_NZD,0.5,1,0,0.1428571429
148,USD_JPY,0.4958333333,26,0.390734541,0.6929460581
149,AUD_NZD,0,0,0,0
150,EUR_CAD,0,1,0,0.2083333333
151,NZD_CAD,0,2,0,0.1818181818
152,USD_CAD,0.5508474576,32,0.839886265,0.8381742739
153,GBP_USD,0.6666666667,2,0,0.7142857143
154,AUD_CAD,0.484375,9,0.685834717,0.9306930693
155,EUR_CAD,0.5327102804,13,0.456277564,0.5327868852
156,EUR_JPY,0,0,0,0
157,CHF_JPY,0.5128205128,9,0.5923764747,0.74
158,EUR_AUD,0.4742268041,15,0.7166468612,0.8671875
159,EUR_NZD,0.4915254237,8,0.7707023385,0.4285714286
160,GBP_CHF,0.6666666667,2,0,0.5
161,EUR_CHF,0,2,0,0.7142857143
162,AUD_USD,0.75,1,0,0.5714285714
163,GBP_CHF,0.5729166667,14,0.3968548695,0.3737373737
164,NZD_CHF,0.5376344086,19,0.494462051,0.8686868687
165,NZD_CAD,0.4912280702,21,0.683540619,0.5228215768
166,AUD_CHF,0.5263157895,13,0.2974094999,0.85
167,AUD_JPY,0.5,13,0.192282967,0.3375
168,CAD_JPY,0,0,0,0
169,EUR_JPY,0,0,0,0
170,NZD_JPY,0.4605263158,16,0.2425627124,0.8170731707
171,CHF_JPY,0,0,0,0
172,NZD_USD,0.5185185185,9,0.4013052139,0.5833333333
173,GBP_USD,0,0,0,0
174,AUD_NZD,0,1,0,0
175,AUD_USD,0.625,6,0.3073814969,0.4347826087
176,EUR_USD,0.375,3,0.4006543351,0.5263157895
177,EUR_CAD,0.5210084034,11,1.927361408,0.8547717842
178,GBP_AUD,0,2,0.09832177434,0.375
179,GBP_NZD,0.6666666667,2,0,0.2857142857
180,EUR_AUD,0.55,21,0.6911743295,0.8132780083
181,CHF_JPY,0.487804878,12,0.201007368,0.34
182,AUD_CHF,0.4,7,0.4338003951,0.5609756098
183,GBP_CHF,0.4871794872,9,0.5131400054,0.5
184,EUR_GBP,0.4939759036,13,0.578292649,0.2376237624
185,NZD_JPY,0.25,2,0.1164325038,0.3333333333
186,NZD_CHF,0.5609756098,12,0.148524252,0.9807692308
187,NZD_USD,0.5163934426,15,0.3355654979,0.5114503817
188,AUD_JPY,0.4851485149,7,0.3355734331,0.1367521368
189,AUD_USD,0.5094339623,12,0.6087190605,0.5416666667
190,EUR_JPY,0.5050505051,11,0.4055931513,0.3628318584
191,EUR_USD,0.5,15,0.3587647923,0.5348837209
192,GBP_JPY,0.5301724138,18,0.317550678,0.1701244813
193,GBP_USD,0.5107296137,17,0.3179964279,0.1908713693
194,GBP_CAD,0,1,0,0.25
195,EUR_CHF,0.25,2,0.9456742411,0.3333333333
196,USD_CHF,0.5,2,0,0.3076923077
197,AUD_NZD,0.4444444444,5,0.6651214426,0.4166666667
198,CAD_CHF,0.5,4,0.6337606409,0.625
199,NZD_JPY,0.5066666667,14,0.7698424109,0.7325581395
200,AUD_CHF,0,1,0,0.2
201,AUD_CAD,0,0,0,0
202,USD_JPY,0.4,4,0,0.2666666667
203,USD_CHF,0,1,0,0.9473684211
204,EUR_CHF,1,2,0,0.2
205,GBP_CAD,0.5103092784,13,0.373832595,0.356846473
206,GBP_CHF,0.4736842105,17,0.3070970195,0.575
207,GBP_AUD,0,0,0,0
208,CHF_JPY,0.5384615385,3,0.4388234832,0.56
209,GBP_NZD,0,1,0,0.25
210,EUR_CHF,0.5641025641,18,0.234204199,0.6511627907
211,GBP_AUD,0.5061728395,18,0.399745525,0.4545454545
212,GBP_NZD,0.4714285714,12,0.5527489936,0.425
213,CHF_JPY,0.4406779661,10,1.026081223,0.511627907
214,AUD_NZD,0,1,0,0.6666666667
215,NZD_CHF,0,0,0,0
216,EUR_JPY,0,0,0,0
217,NZD_CAD,0.4666666667,6,1.608598719,0.64
218,AUD_CAD,0,0,0,0
219,AUD_CHF,0.5,1,0,0.375
220,EUR_USD,0.5,2,0.8569354935,0.5714285714
221,AUD_JPY,0,1,0,0
222,NZD_JPY,0,0,0,0
223,AUD_USD,0,0,0,0
224,CAD_JPY,0,0,0,0
225,CAD_CHF,0,0,0,0
226,GBP_CHF,0.5276595745,34,0.622210829,0.5020746888
227,AUD_NZD,0.2,0,0,0
228,EUR_NZD,0,2,0.6000933789,0.75
229,USD_JPY,0.5,10,0.5283474547,0.6631578947
230,EUR_NZD,0.3333333333,1,0,0.1666666667
231,USD_CAD,0.3333333333,3,0.5234083211,0.2272727273
232,GBP_NZD,0,0,0,0
233,EUR_AUD,0,0,0,0
234,EUR_NZD,0.5555555556,6,0.4387285759,0.3333333333
235,GBP_NZD,0.5084745763,17,0.8743883503,0.7127659574
236,CAD_JPY,0,0,0,0
237,NZD_JPY,0.4285714286,0,0,0
238,AUD_NZD,0,0,0,0
239,AUD_USD,0,0,0,0
240,AUD_CHF,0.5384615385,8,0.6939313537,0.5384615385
241,AUD_JPY,0,2,0.6897543603,0.6666666667
242,GBP_JPY,0.75,4,0.3105540549,0.7777777778
243,NZD_USD,0.6,3,0.2076520744,0.2666666667
244,NZD_CAD,0,0,0,0
245,EUR_JPY,0.625,5,0,0.4545454545
246,AUD_USD,0.5769230769,8,1.116844744,0.4651162791
247,CHF_JPY,0.5462184874,53,0.657317727,0.755186722
248,EUR_USD,0.5652173913,3,0.4837891711,0.3714285714
249,USD_JPY,0.5875,45,0.675027593,0.9917012448
250,NZD_CAD,0.3333333333,2,0,0.3
251,EUR_NZD,0.488372093,14,0.382294054,0.2527472527
252,AUD_CAD,1,2,0,0.1875
253,GBP_CAD,0.6,3,1.102359853,0.2619047619
254,GBP_JPY,0.75,3,0,0.4
255,NZD_CAD,0.3076923077,4,0.5667477054,0.4
256,NZD_JPY,0.5738396624,38,0.579498811,0.3485477178
257,AUD_JPY,0.5791666667,38,0.468962988,0.3402489627
258,CAD_JPY,0.5708333333,33,0.6324755645,0.3402489627
259,EUR_CHF,1,0,0,0
260,NZD_CHF,0.5308056872,24,0.4152445834,0.2636363636
261,EUR_JPY,0.5596330275,38,0.4151715745,0.2567567568
262,EUR_CAD,0,0,0,0
263,NZD_CAD,0,0,0,0
264,GBP_AUD,0.5,1,0,0.3333333333
265,GBP_CAD,0.4933333333,6,1.033286871,0.5057471264
266,EUR_AUD,0.4,2,0,0.2
267,EUR_CAD,0.4903846154,9,1.016622396,0.7983870968
268,EUR_GBP,0.5630252101,16,1.087531673,0.6343283582
269,USD_CAD,1,0,0,0
270,AUD_NZD,0.42,9,0.8627874501,0.7121212121
271,GBP_AUD,0.4444444444,3,0,0.1739130435
272,AUD_CHF,0.4705882353,8,0.548124838,0.3157894737
273,GBP_CHF,0.6428571429,8,0,0.3076923077
274,GBP_AUD,0.2,2,0.7390847472,0.3333333333
275,EUR_CHF,0,2,0,0.5454545455
276,GBP_JPY,0.7,5,0.4214069905,0.5
277,GBP_USD,0.6,3,0.371440393,0.4615384615
278,CAD_CHF,0,0,0,0
279,EUR_NZD,0.6,3,0,0.3333333333
