config_id,verdict,primary_failure_mode,worst_fold_ratio,mean_fold_ratio,worst_fold_roi_base_pct,worst_fold_dd_base_pct,worst_fold_dd_at_0p40_pct,n_negative_folds,min_trades_per_fold,chained_max_dd_base_pct,k_safe,r_safe_pct,scalable_to_safe,worst_fold_roi_at_r_safe_pct,chained_max_dd_at_r_safe_pct,daily_dd_breaches_at_r_safe,holdout_roi_pct,holdout_dd_base_pct,holdout_n_trades
A1::full::sl_partial_close_1r_runner_trail::sl2.5::expinf,fail,step5_chained_dd_above_gate,-0.8565906054014629,-0.23510444050045107,-0.2429895958583177,0.3051756875293163,0.24414055002345303,8,365,0.7703395487863384,0.26214408050547905,0.0013107204025273953,False,-0.06369828417867665,0.2019399526936003,0,-0.24681015197129197,0.37972297198529004,2458
A1::full::sl_partial_close_1r_runner_trail::sl3.5::exp2,fail,step5_chained_dd_above_gate,-0.8754152697533621,-0.25599051502618947,-0.12252736588545987,0.18187549771068476,0.14550039816854782,8,159,0.5322495172876138,0.439861339251198,0.00219930669625599,True,-0.05389505125329993,0.23411598548993348,0,-0.009957981901021373,0.2452517378040617,943
A1::full::sl_partial_close_1r_runner_trail::sl2.5::exp2,fail,step5_chained_dd_above_gate,-0.8982691470270865,-0.19749692474429262,-0.21078078257764932,0.25769701551396784,0.20615761241117428,7,247,0.6285806790601708,0.31044208967823217,0.0015522104483911608,True,-0.06543522660741857,0.19513789953880162,0,-0.11079567528543233,0.2913765377385212,1507
A1::full::sl_partial_close_1r_runner_trail::sl3.5::expinf,fail,step5_chained_dd_above_gate,-0.9120621415725977,-0.24839337485914373,-0.22519286372103298,0.31044915382699445,0.24835932306159558,9,301,0.7375833182131221,0.2576911517194278,0.001288455758597139,False,-0.05803020841126914,0.19006869475937663,0,-0.21900398309147295,0.41561608670426914,2019
A1::full::sl_partial_close_1r_runner_trail::sl3.0::exp2,fail,step5_chained_dd_above_gate,-0.9229530675921133,-0.20199606338914844,-0.14893105839999277,0.16408678833125478,0.13126943066500382,7,205,0.6482136321412831,0.4875468696388753,0.0024377343481943765,True,-0.072610871314921,0.316034527207728,0,-0.17926770849112617,0.3520203754260139,1202
A1::full::sl_partial_close_1r_runner_trail::sl3.0::expinf,fail,step5_not_scalable,-0.9595885148955301,-0.26050147723929806,-0.26377607137547365,0.3348178057361241,0.2678542445888993,7,336,0.7863684136230138,0.23893591866810526,0.0011946795933405264,False,-0.0630255779367625,0.18789165932059537,0,-0.19923169775931804,0.40347998211933134,2273
