cell,spread_mult,slip_per_fill_pips,risk_level,fold,fold_id,trades,roi,dd,ratio
1,1.0,0.0,r_base,Holdout,0,1093,0.5197807681829949,0.055792696514496545,9.316286909487175
1,1.0,0.0,r_base,F1,1,201,0.39656269497328966,0.03258619891044335,12.169651822943907
1,1.0,0.0,r_base,F2,2,182,0.4450252508572534,0.02970628021710947,14.980847403470564
1,1.0,0.0,r_base,F3,3,179,0.5114974209350174,0.02078858886300176,24.604720614074424
1,1.0,0.0,r_base,F4,4,195,0.7161299226263349,0.07397617326590891,9.680548357809627
1,1.0,0.0,r_base,F5,5,192,0.5111252174341665,0.02438794939967703,20.958105540473827
1,1.0,0.0,r_base,F6,6,190,0.318625187738401,0.05064507774870293,6.291335740847219
1,1.0,0.0,r_base,F7,7,170,0.46479559475350785,0.032636640314482795,14.241527016101921
1,1.0,0.0,r_base,F8,8,191,0.7284068688638057,0.024757791727976302,29.42131822042537
1,1.0,0.0,r_base,F9,9,175,0.21884656225230015,0.030868006652688438,7.089753631151294
1,1.0,0.0,r_base,F10,10,196,0.5232963977476892,0.04147872808694215,12.616018423969642
1,1.0,0.0,r_base,F11,11,188,0.5758841835655819,0.025895121563253423,22.239099444228625
1,1.0,0.0,r_recommended,Holdout,0,1093,0.5361087957641053,0.05719450586440246,9.373431724982808
1,1.0,0.0,r_recommended,F1,1,201,0.40850504264846976,0.033414567520960836,12.225357769248877
1,1.0,0.0,r_recommended,F2,2,182,0.4586745937617789,0.03046072512088652,15.057901344813086
1,1.0,0.0,r_recommended,F3,3,179,0.5275284755862251,0.02132234127500014,24.740644978079295
1,1.0,0.0,r_recommended,F4,4,195,0.7399602983692903,0.07581276250996025,9.760365852280804
1,1.0,0.0,r_recommended,F5,5,192,0.5271520047460558,0.025009722270848248,21.077883194269337
1,1.0,0.0,r_recommended,F6,6,190,0.32794238624235184,0.0519194111633926,6.316373373540451
1,1.0,0.0,r_recommended,F7,7,170,0.4791647761510147,0.03346440403597034,14.31864065578363
