spread_mult,slip_per_fill_pips,utc_ratio,eet_ratio,d_ratio,utc_dd,eet_dd,d_dd,utc_holdout_roi,eet_holdout_roi,d_holdout_roi
1.0,0.0,5.285836156989429,6.291335740847219,1.00549958385779,0.0926405306379389,0.07397617326590891,-0.018664357372029983,0.5832973247227207,0.5197807681829949,-0.06351655653972577
1.0,0.5,4.915514442590058,5.987644801136374,1.0721303585463158,0.0936969665730188,0.07494729627039103,-0.01874967030262778,0.5602424021736612,0.4983339513747769,-0.061908450798884296
1.0,1.0,4.5678026263111535,5.693602162689522,1.1257995363783682,0.0947522220548666,0.07591745257040039,-0.018834769484466204,0.5375213388653748,0.47718804006521065,-0.06033329880016414
1.5,0.0,4.864361510660578,5.811760788735835,0.9473992780752569,0.0965706950732258,0.07702539199606717,-0.019545303077158627,0.5494155409965051,0.4833323189567271,-0.06608322203977801
1.5,0.5,4.521337862099744,5.444491694145789,0.9231538320460446,0.0976227214288598,0.0779934448816649,-0.0196292765471949,0.5268515031741141,0.46239719907716914,-0.06445430409694497
1.5,1.0,4.198592428540542,4.939201664556559,0.7406092360160166,0.0986735720732981,0.07896053399283302,-0.01971303808046508,0.5046142519404089,0.44175584265538337,-0.06285840928502551
2.0,0.0,4.475716692905723,5.019667265761119,0.5439505728553957,0.1004845665443895,0.08006501876508623,-0.02041954777930327,0.516250367047564,0.4477492041781488,-0.06850116286941521
2.0,0.5,4.157114905571073,4.546477342943148,0.38936243737207477,0.1015322009152004,0.08103001079004868,-0.020502190125151726,0.4941668836073307,0.42731369573978273,-0.06685318786754796
2.0,1.0,3.856775826906887,4.097433704215093,0.2406578773082062,0.1025786642986656,0.08199404196216556,-0.020584622336500047,0.4724032621941709,0.40716497652541395,-0.06523828566875695
